,EXC US Equity,EXC US Equity,EXC US Equity,EXC US Equity,EXC US Equity,EXC US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-01-02,19.374,19.5808,19.6664,19.3669,4983758.0,23282.0815
2014-01-03,18.9818,19.1815,19.2314,18.8606,10157328.0,22810.7843
2014-01-06,19.1031,18.9747,19.1494,18.9319,7421560.0,22956.4579
2014-01-07,19.2029,19.2314,19.2528,19.0318,7045515.0,23076.4245
2014-01-08,19.1601,19.2457,19.3171,19.0817,5820157.0,23025.0103
2014-01-09,19.2742,19.1672,19.3241,19.1102,5646411.0,23162.1149
2014-01-10,19.374,19.3669,19.6735,19.3241,5593009.0,23282.0815
2014-01-13,19.2385,19.3526,19.3812,19.1672,4403118.0,23119.2697
2014-01-14,19.1744,19.2457,19.4239,19.1458,5425446.0,23042.1483
2014-01-15,19.0888,19.1744,19.3063,19.0532,4731040.0,22939.3199
2014-01-16,19.5452,19.1601,19.5666,19.1173,5249989.0,23487.7384
2014-01-17,19.3954,19.5951,19.645,19.2956,4560881.0,23307.7886
2014-01-21,19.8019,19.4453,19.809,19.4239,7407301.0,23796.2238
2014-01-22,20.0586,19.752,20.0871,19.7234,7712254.0,24104.7093
2014-01-23,20.1941,19.9516,20.2511,19.9088,8749472.0,24267.521
2014-01-24,20.1584,20.1156,20.793,20.1085,13805769.0,24224.6758
2014-01-27,20.1085,20.2868,20.2868,20.023,8275201.0,24164.6926
2014-01-28,20.0372,20.244,20.2654,19.8946,5938006.0,24079.0022
2014-01-29,20.1014,20.0087,20.1513,19.9303,6116433.0,24156.1235
2014-01-30,20.6718,20.1798,20.7324,20.137,9983226.0,24841.6467
2014-01-31,20.6789,20.5363,20.9,20.5221,10412341.0,24850.2158
2014-02-03,20.6576,20.7645,20.9642,20.465,14383308.0,24824.5086
2014-02-04,20.6148,20.8287,20.8572,20.5506,9383593.0,24773.0944
2014-02-05,20.5791,20.5149,20.736,20.3723,9930753.0,24730.2492
2014-02-06,21.0283,20.5435,21.3064,20.5435,13763414.0,25270.0987
2014-02-07,20.9927,21.1781,21.1781,20.736,9390546.0,25227.2535
2014-02-10,20.9642,20.9285,21.0711,20.8429,7130167.0,25192.9774
2014-02-11,21.0141,20.9143,21.121,20.7788,7617930.0,25252.9606
2014-02-12,20.6362,20.793,20.8002,20.5292,5453861.0,24798.8015
2014-02-13,20.9642,20.5934,21.0997,20.572,9758902.0,25192.9774
2014-02-14,21.2066,20.9214,21.2494,20.8643,7361988.0,25499.6648
2014-02-18,21.4277,21.2209,21.5204,21.1317,8592493.0,25765.465
2014-02-19,21.3635,21.3635,21.6273,21.2137,7017696.0,25688.2972
2014-02-20,21.556,21.3492,21.5917,21.1995,6189211.0,25919.8005
2014-02-21,21.6915,21.5774,21.8983,21.4633,8391757.0,26082.7103
2014-02-24,21.6701,21.6915,22.0694,21.6558,10331880.0,26056.9877
2014-02-25,21.6487,21.6487,21.9197,21.5275,5712028.0,26031.2651
2014-02-26,21.6915,21.7058,21.8555,21.6345,3632197.0,26082.7103
2014-02-27,21.5132,21.6487,21.7343,21.3635,6059666.0,25868.3554
2014-02-28,21.6844,21.5988,21.802,21.5703,4558963.0,26074.1361
2014-03-03,21.4134,21.5631,21.6345,21.4063,3731141.0,25748.3166
2014-03-04,21.6772,21.5845,21.7485,21.4134,5405788.0,26065.5619
2014-03-05,21.5917,21.6844,21.7485,21.5239,3923230.0,25962.6715
2014-03-06,21.2565,21.5346,21.6701,21.1139,7124686.0,25559.6842
2014-03-07,21.2637,21.1638,21.2672,20.7788,8027872.0,25568.2584
2014-03-10,21.3064,21.2565,21.3635,21.1068,4319143.0,25619.7036
2014-03-11,21.2779,21.4918,21.4918,21.1638,3017005.0,25585.4068
2014-03-12,21.5204,21.2137,21.5275,21.1638,3311804.0,25876.9296
2014-03-13,21.7557,21.5132,21.8769,21.499,4760385.0,26159.8781
2014-03-14,21.8484,21.6986,22.0124,21.6345,5138045.0,26271.3427
2014-03-17,22.1193,21.9125,22.1443,21.7628,5664281.0,26597.1622
2014-03-18,22.212,22.1693,22.2905,22.0409,4165336.0,26708.6268
2014-03-19,22.1479,22.2406,22.483,22.0338,8728501.0,26631.459
2014-03-20,22.3689,22.0552,22.4188,21.8056,7417698.0,26897.2591
2014-03-21,23.2103,23.246,23.4385,22.7682,14184870.0,27909.0145
2014-03-24,23.4813,23.2175,23.5098,23.1889,9380261.0,28234.834
2014-03-25,23.4813,23.467,23.5562,23.1534,6488479.0,28234.834
2014-03-26,23.1319,23.4813,23.5312,22.8609,10412048.0,27814.6983
2014-03-27,23.4029,23.1462,23.467,22.9251,6203770.0,28140.5178
2014-03-28,23.738,23.3601,23.7665,23.2674,7200764.0,28543.5051
2014-03-31,23.9305,23.8164,24.2015,23.7594,7783304.0,28775.0085
2014-04-01,23.8806,23.9591,24.009,23.6096,4373977.0,28714.9891
2014-04-02,23.8949,23.8877,24.0696,23.6952,7751645.0,28765.9972
2014-04-03,24.0874,23.9377,24.1516,23.8164,5372914.0,28997.7734
2014-04-04,24.5794,24.1231,24.8682,24.0874,12336807.0,29590.0903
2014-04-07,24.7363,24.5652,24.9787,24.5652,8272738.0,29778.9449
2014-04-08,25.3424,24.6151,25.3495,24.4832,11129026.0,30508.6106
2014-04-09,25.1641,25.3709,25.4921,24.8504,10072840.0,30294.0031
2014-04-10,25.0215,25.2069,25.4208,24.9288,6041860.0,30122.317
2014-04-11,25.0714,24.9859,25.1855,24.9502,6017669.0,30182.4071
2014-04-14,25.1641,25.0643,25.1891,25.0001,7474303.0,30294.0031
2014-04-15,25.6704,25.2711,25.6704,25.2354,7257857.0,30903.4885
2014-04-16,25.8415,25.6062,25.8487,25.5064,3607052.0,31109.5118
2014-04-17,25.7132,25.756,25.8986,25.5278,6481440.0,30954.9943
2014-04-21,25.6276,25.6633,25.9592,25.4993,4116134.0,30851.9827
2014-04-22,25.592,25.592,25.7417,25.4208,4297278.0,30809.0612
2014-04-23,25.5991,25.6633,25.9842,25.5492,4688955.0,30817.6455
2014-04-24,25.6775,25.6989,25.8344,25.4565,5935549.0,30912.0728
2014-04-25,25.8558,25.6775,25.8843,25.5991,5107106.0,31126.6804
2014-04-28,26.0341,25.8915,26.0983,25.8344,4933832.0,31341.2879
2014-04-29,25.7988,25.9842,26.0626,25.6562,7561487.0,31058.006
2014-04-30,24.9787,24.4012,25.214,24.4012,22499087.0,30081.014
2014-05-01,25.6633,25.2782,25.813,25.214,14724492.0,30905.3867
2014-05-02,25.5563,25.6562,25.8772,25.214,10117056.0,30776.5784
2014-05-05,25.8415,25.5064,25.9414,25.4351,6138192.0,31120.067
2014-05-06,25.6989,26.0769,26.0911,25.6562,8674506.0,30948.3227
2014-05-07,26.2123,25.6562,26.2694,25.6562,7082684.0,31566.6022
2014-05-08,26.0127,26.141,26.1624,25.7774,5039571.0,31326.1602
2014-05-09,25.813,26.0056,26.1838,25.8059,6544362.0,31085.7182
2014-05-12,25.2426,25.8487,25.9556,25.2029,7377623.0,30398.741
2014-05-13,25.4066,25.3567,25.4993,25.2212,6628941.0,30596.2469
2014-05-14,24.8147,25.2426,25.3067,24.7648,8136624.0,29883.5081
2014-05-15,24.6365,24.829,24.9003,24.6151,6663766.0,29668.8277
2014-05-16,24.5081,24.6222,24.665,24.4297,9026608.0,29514.2578
2014-05-19,24.2229,24.4796,24.6079,24.173,7408748.0,29170.7692
2014-05-20,24.1658,24.1944,24.394,24.0803,6647880.0,29102.0715
2014-05-21,24.173,24.1944,24.2166,23.8877,7732391.0,29110.6587
2014-05-22,24.3869,24.1231,24.5081,24.0731,5910832.0,29368.2752
2014-05-23,24.3512,24.2942,24.5509,24.2728,5391389.0,29325.3391
2014-05-27,25.2283,24.722,25.6348,24.7149,13649702.0,30381.5665
2014-05-28,25.6633,25.0572,25.7275,25.05,11226498.0,30905.3867
2014-05-29,25.7132,25.7346,26.0947,25.592,13233453.0,30965.4972
2014-05-30,26.2623,25.756,26.2765,25.7132,8227167.0,31626.7127
2014-06-02,26.0983,26.1125,26.1803,25.8986,5888573.0,31429.2068
2014-06-03,26.519,26.1196,26.5617,26.0269,7580520.0,31935.8525
2014-06-04,26.576,26.4405,26.5903,26.3122,5338844.0,32004.5502
2014-06-05,26.7115,26.4548,26.7792,26.4477,11936133.0,32167.7073
2014-06-06,26.6758,26.7471,26.904,26.6259,5092104.0,32124.7712
2014-06-09,26.4405,26.5689,26.7024,26.4049,5266104.0,31841.3931
2014-06-10,26.4976,26.5118,26.6687,26.4263,4507619.0,31910.0908
2014-06-11,25.4921,25.7346,26.3407,25.4708,15367014.0,30704.8423
2014-06-12,25.0073,24.9787,25.1998,24.8219,44407688.0,30120.8062
2014-06-13,25.4708,25.0144,25.5563,24.8646,16372774.0,30946.976
2014-06-16,25.7488,25.6134,26.0234,25.5563,16125632.0,31284.863
2014-06-17,25.8772,25.8344,26.0269,25.7774,11725707.0,31440.8108
2014-06-18,26.2765,25.8415,26.33,25.8415,9111937.0,33768.4817
2014-06-19,26.5047,26.3407,26.576,26.3122,8169875.0,34061.7223
2014-06-20,26.2123,26.5261,26.5475,26.1268,7978068.0,33686.0078
2014-06-23,25.8701,26.3443,26.4334,25.6348,7060169.0,33246.147
2014-06-24,25.8202,25.8202,25.9091,25.7346,7616701.0,33182.0006
2014-06-25,25.8273,25.7774,25.9342,25.6847,5481598.0,33191.1644
2014-06-26,25.7488,25.8915,25.9628,25.6562,6052284.0,33090.363
2014-06-27,25.8772,25.6419,25.9057,25.6419,4781446.0,33255.3108
2014-06-30,26.0127,25.9913,26.1767,25.8487,6269621.0,33429.4223
2014-07-01,25.4565,25.7275,25.8558,25.3495,7031451.0,32714.6485
2014-07-02,24.665,25.3495,25.3781,24.4796,11109836.0,31697.4704
2014-07-03,24.2229,24.5081,24.5081,24.1017,8016346.0,31129.3168
