,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-01-02,27.855,27.914,27.971,27.733,36454380.0,371879.3863
2014-01-03,27.652,27.902,27.95,27.65,33384580.0,369166.5965
2014-01-06,27.96,27.852,27.999,27.688,35415640.0,373282.5326
2014-01-07,28.499,28.152,28.52,28.056,51079980.0,380477.9821
2014-01-08,28.558,28.678,28.711,28.36,44868880.0,381270.5836
2014-01-09,28.283,28.614,28.633,28.166,41711300.0,377598.9629
2014-01-10,28.282,28.505,28.505,28.083,42911200.0,377578.9385
2014-01-13,28.102,28.189,28.701,27.956,48512300.0,375173.4882
2014-01-14,28.763,28.476,28.803,28.23,49690280.0,384000.0778
2014-01-15,28.743,28.853,28.903,28.622,39020240.0,383739.4896
2014-01-16,28.934,28.755,28.976,28.728,33713980.0,386278.554
2014-01-17,28.791,28.949,29.044,28.633,55322800.0,384377.5966
2014-01-21,29.121,29.051,29.128,28.81,39621980.0,388777.507
2014-01-22,29.154,29.194,29.226,29.0,31476920.0,389218.5233
2014-01-23,29.031,29.028,29.09,28.887,39032860.0,387574.8132
2014-01-24,28.123,28.803,28.867,28.102,78526940.0,375457.4416
2014-01-27,27.557,28.18,28.19,27.083,87259560.0,367907.0869
2014-01-28,28.102,27.785,28.171,27.775,44354460.0,375183.5108
2014-01-29,27.7,28.005,28.071,27.512,48232820.0,369808.0652
2014-01-30,28.412,28.653,28.84,28.209,102822140.0,379320.8703
2014-01-31,29.553,29.312,29.692,28.806,111395880.0,394547.2176
2014-02-03,28.363,29.509,29.572,28.328,91512040.0,378664.7226
2014-02-04,28.482,28.477,28.903,28.453,56314740.0,380244.9561
2014-02-05,28.608,28.612,28.797,28.228,48012380.0,381928.7149
2014-02-06,29.027,28.806,29.032,28.717,38965080.0,389551.6799
2014-02-07,29.465,29.219,29.476,29.042,53746160.0,395422.0234
2014-02-10,29.352,29.323,29.589,29.254,38912780.0,393907.463
2014-02-11,29.783,29.533,29.826,29.334,41056260.0,399700.5652
2014-02-12,29.696,29.754,29.779,29.563,34513460.0,398788.1349
2014-02-13,30.027,29.547,30.027,29.52,36738420.0,403227.3873
2014-02-14,30.099,29.919,30.139,29.849,43886600.0,404201.9558
2014-02-18,30.301,30.064,30.351,30.029,42214600.0,406917.2254
2014-02-19,30.088,30.162,30.26,29.967,42113940.0,404047.3304
2014-02-20,30.132,30.108,30.201,30.035,34037880.0,404642.1613
2014-02-21,30.124,30.225,30.276,30.1,37263100.0,404534.6461
2014-02-24,30.342,30.163,30.534,30.157,33509220.0,407464.9883
2014-02-25,30.53,30.428,30.642,30.29,28883600.0,409982.009
2014-02-26,30.534,30.63,30.752,30.373,39676080.0,410039.1586
2014-02-27,30.51,30.489,30.636,30.455,25215880.0,409716.5078
2014-02-28,30.421,30.538,30.634,30.185,46291920.0,408520.1879
2014-03-03,30.096,30.198,30.225,29.832,42174400.0,404164.9482
2014-03-04,30.402,30.404,30.429,30.267,29420620.0,408271.5313
2014-03-05,30.486,30.406,30.607,30.315,24723800.0,409397.2805
2014-03-06,30.52,30.587,30.683,30.495,25391820.0,409850.9491
2014-03-07,30.399,30.7,30.704,30.315,30310200.0,408231.2052
2014-03-10,30.319,30.422,30.47,30.131,24308860.0,407149.0795
2014-03-11,30.029,30.374,30.387,29.945,34308460.0,403257.6319
2014-03-12,30.212,29.939,30.226,29.633,39338540.0,405714.1845
2014-03-13,29.755,30.228,30.292,29.648,46912800.0,399584.6174
2014-03-14,29.348,29.578,29.801,29.342,46035720.0,394120.4309
2014-03-17,29.831,29.51,29.956,29.481,43330940.0,400606.1909
