,HPE US Equity,HPE US Equity,HPE US Equity,HPE US Equity,HPE US Equity,HPE US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2015-10-19,9.6176,10.7508,10.7508,9.5769,1581576.0,
2015-10-20,9.8036,9.4433,9.8384,9.4433,709632.0,31681.86
2015-10-21,9.5769,10.0244,10.0825,9.5304,78598.0,30949.44
2015-10-22,9.85,9.7106,9.9082,9.4375,110000.0,31832.1
2015-10-23,9.8791,10.0244,10.0244,9.7919,59910.0,31926.0
2015-10-26,9.5421,9.943,9.943,9.4781,514799.0,30836.76
2015-10-27,9.1411,9.6234,9.7338,9.0655,636017.0,29540.94
2015-10-28,9.4607,9.2399,9.5014,9.2079,296321.0,30573.84
2015-10-29,9.2689,9.3038,9.4549,9.0365,290446.0,29954.1
2015-10-30,8.5541,9.2399,9.3561,8.5541,2449278.0,27644.16
2015-11-02,8.4205,8.711,8.8156,8.0544,40866212.0,26154.45
2015-11-03,8.3449,8.1764,8.5483,7.9469,40205820.0,25919.8
2015-11-04,7.9382,8.3624,8.4321,7.9091,31525806.0,24656.3
2015-11-05,7.7173,7.9265,8.0718,7.6243,22190459.0,23970.4
2015-11-06,8.3682,7.6592,8.4147,7.6418,30049954.0,25992.0
2015-11-09,8.252,8.2868,8.4147,8.2113,17528088.0,25631.0
2015-11-10,8.374,8.2113,8.3914,8.1415,14777765.0,26010.05
2015-11-11,8.1997,8.252,8.3159,8.188,11009387.0,25468.55
2015-11-12,7.9614,8.0253,8.0311,7.8975,20371666.0,24728.5
2015-11-13,7.7812,7.9091,7.9963,7.6418,14924533.0,24168.95
2015-11-16,7.7754,7.7696,7.9091,7.636,13781675.0,24150.9
2015-11-17,7.6825,7.7754,7.8394,7.6243,12420759.0,23862.1
2015-11-18,7.9265,7.8335,7.9788,7.6642,13020475.0,24620.2
2015-11-19,8.0079,7.8626,8.0718,7.8568,13171491.0,24872.9
2015-11-20,8.2578,8.0079,8.5018,7.9498,18559394.0,25649.05
2015-11-23,8.0486,8.2345,8.2578,7.8859,15317345.0,24999.25
2015-11-24,7.9556,7.8917,8.1503,7.8452,24110878.0,24710.45
2015-11-25,8.2055,8.0834,8.6355,8.0428,22677094.0,25486.6
2015-11-27,8.3391,8.2055,8.5077,8.1648,6041718.0,25901.75
2015-11-30,8.6355,8.2694,8.7169,8.2403,29104253.0,26822.3
2015-12-01,9.0713,8.6471,9.2282,8.6297,25106564.0,28176.05
2015-12-02,8.6878,8.9319,9.0307,8.6413,12681142.0,26984.75
2015-12-03,8.496,8.7169,8.9144,8.4728,18905240.0,26389.1
2015-12-04,8.8447,8.3624,8.8883,8.2752,12001085.0,27472.1
2015-12-07,8.9784,8.7169,8.9958,8.6704,9546047.0,27887.25
2015-12-08,8.8156,8.7692,8.8854,8.496,11617601.0,27381.85
2015-12-09,8.6297,8.711,8.9435,8.5309,14261925.0,26804.25
2015-12-10,8.5541,8.5948,8.6064,8.4437,11350209.0,26569.6
2015-12-11,8.2403,8.711,8.9493,8.2171,10616156.0,25594.9
2015-12-14,8.3914,8.3101,8.4263,8.0892,11528144.0,26064.2
