,LYV US Equity,LYV US Equity,LYV US Equity,LYV US Equity,LYV US Equity,LYV US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-01-02,20.06,19.91,20.32,19.75,1523156.0,3997.7903
2014-01-03,20.34,20.04,20.39,20.03,1599243.0,4053.592
2014-01-06,20.5,20.33,20.55,20.16,1178720.0,4085.4786
2014-01-07,20.83,20.6,20.9,20.6,1407202.0,4151.2449
2014-01-08,20.81,20.76,20.935,20.6,1933425.0,4147.2591
2014-01-09,20.65,20.87,20.87,20.4475,1182675.0,4115.3724
2014-01-10,20.66,20.64,20.67,20.425,1015702.0,4117.3653
2014-01-13,20.09,20.57,20.68,19.98,824531.0,4003.7691
2014-01-14,20.5,20.16,20.525,20.14,1083345.0,4085.4786
2014-01-15,20.9,20.6,21.06,20.49,1957407.0,4165.1953
2014-01-16,20.7,20.81,20.94,20.69,925819.0,4125.337
2014-01-17,20.85,20.89,21.09,20.66,1286791.0,4155.2307
2014-01-21,20.93,20.97,21.25,20.79,1148286.0,4171.1741
2014-01-22,21.01,21.04,21.07,20.7,1108936.0,4187.1174
2014-01-23,21.26,20.95,21.26,20.81,997811.0,4236.9403
2014-01-24,20.9,21.19,21.19,20.65,1517028.0,4165.1953
2014-01-27,20.64,20.97,21.0,20.51,1248894.0,4113.3795
2014-01-28,21.18,20.71,21.23,20.66,1476320.0,4220.997
2014-01-29,20.8,20.96,21.15,20.65,1323102.0,4145.2661
2014-01-30,21.16,20.96,21.44,20.92,1259652.0,4217.0111
2014-01-31,21.27,20.84,21.36,20.72,1248673.0,4238.9332
2014-02-03,20.77,21.18,21.41,20.55,2561294.0,4139.2874
2014-02-04,20.88,20.82,21.01,20.71,1723645.0,4161.2095
2014-02-05,21.0,20.82,21.02,20.69,1787633.0,4185.1245
2014-02-06,21.12,21.0,21.24,20.98,1872981.0,4209.0395
2014-02-07,21.36,21.48,21.7,21.01,1808966.0,4256.8695
