,MAS US Equity,MAS US Equity,MAS US Equity,MAS US Equity,MAS US Equity,MAS US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-01-02,19.942,19.9772,20.1354,19.8717,2330880.0,8100.0419
2014-01-03,20.3551,20.0123,20.3902,19.9596,3187798.0,8267.826
2014-01-06,20.0738,20.4342,20.5309,19.942,3480985.0,8153.59
2014-01-07,20.0826,20.1354,20.3068,20.0035,2902512.0,8157.1599
2014-01-08,20.2408,19.9596,20.3902,19.819,3619513.0,8221.4176
2014-01-09,20.3199,20.3024,20.4606,20.0387,2471398.0,8253.5465
2014-01-10,20.6188,20.4166,20.7418,20.3287,2645825.0,8374.9222
2014-01-13,19.9508,20.4869,20.5221,19.9244,3590123.0,8103.6118
2014-01-14,20.3902,20.1442,20.3902,19.986,3406467.0,8282.1055
2014-01-15,20.3639,20.3815,20.4518,20.1881,2177204.0,8271.3958
2014-01-16,20.2848,20.276,20.3815,19.9947,3769115.0,8239.267
2014-01-17,19.4235,20.3199,20.3815,19.3356,11167190.0,7889.4194
2014-01-21,19.3532,19.4586,19.4938,18.984,4923902.0,7860.8604
2014-01-22,19.6783,19.3619,19.7047,19.2037,3022119.0,7992.9458
2014-01-23,19.5465,19.5289,19.652,19.3312,2886461.0,7939.3977
2014-01-24,18.8522,19.4235,19.4235,18.6193,5216731.0,7657.3777
2014-01-27,19.0895,18.9049,19.2213,18.3336,6222591.0,7753.7643
2014-01-28,19.1334,19.1774,19.5289,19.0543,3890114.0,7771.6136
2014-01-29,18.8258,18.9137,19.1246,18.6852,2940825.0,7646.6681
2014-01-30,18.65,19.028,19.1159,18.527,3493761.0,7575.2706
2014-01-31,18.5973,18.3073,18.8522,18.2545,4773931.0,7553.8514
2014-02-03,18.2458,18.5797,18.7379,18.1403,5363610.0,7411.0564
2014-02-04,18.3688,18.3776,18.4918,18.1324,4307240.0,7461.0347
2014-02-05,18.2282,18.2545,18.4215,18.1052,3077944.0,7403.9167
2014-02-06,18.817,18.3161,18.8742,18.2897,2505004.0,7643.0982
2014-02-07,19.3532,18.9049,19.3707,18.8522,4790461.0,7860.8604
2014-02-10,19.0719,19.3356,19.3857,18.7028,8463336.0,7746.6245
2014-02-11,19.7311,19.7047,19.9508,19.5465,8433446.0,8014.365
2014-02-12,19.6959,19.7311,19.819,19.3707,5391736.0,8000.0855
2014-02-13,19.5465,19.4938,19.7047,19.2521,3749270.0,7939.3977
2014-02-14,19.7399,19.4674,19.8541,19.4498,2759890.0,8017.9349
2014-02-18,19.5905,19.7311,19.9069,19.4586,3167287.0,7944.2497
2014-02-19,19.3532,19.4938,19.7574,19.3004,3869389.0,7848.0206
2014-02-20,19.5992,19.3971,19.6344,19.2565,2570855.0,7947.8138
2014-02-21,19.7223,19.6432,19.8357,19.4806,2979143.0,7997.7104
2014-02-24,19.5729,19.7311,20.0605,19.5641,2458691.0,7937.1217
2014-02-25,19.9508,19.5905,20.0563,19.441,3967955.0,8090.3755
2014-02-26,20.5572,20.2145,20.6539,19.942,5516627.0,8336.2944
2014-02-27,20.4869,20.4781,20.5616,20.2848,2970768.0,8307.782
2014-02-28,20.5221,20.5133,20.6451,20.276,3101272.0,8322.0382
2014-03-03,20.1266,20.1442,20.2496,19.8234,2988931.0,8161.6563
2014-03-04,20.4957,20.4342,20.5836,20.276,2732115.0,8311.3461
2014-03-05,20.6188,20.4606,20.6539,20.399,3208588.0,8361.2427
2014-03-06,20.7682,20.6451,20.777,20.5133,2936251.0,8421.8314
2014-03-07,20.5484,20.8473,20.8561,20.4606,4202326.0,8332.7303
2014-03-10,20.3199,20.4606,20.4606,20.1969,3264687.0,8240.0652
2014-03-11,20.5133,20.3815,20.5309,20.2848,4030792.0,8318.4742
2014-03-12,20.4781,20.4342,20.6979,20.3287,5451974.0,8304.218
