,SMCI US Equity,SMCI US Equity,SMCI US Equity,SMCI US Equity,SMCI US Equity,SMCI US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-01-02,16.44,17.04,17.05,16.385,211934.0,702.9937
2014-01-03,16.71,16.46,16.77,16.36,239910.0,714.5392
2014-01-06,16.59,16.74,16.97,16.51,218903.0,709.4079
2014-01-07,16.77,16.7,17.11,16.7,175947.0,717.1049
2014-01-08,16.74,16.78,16.87,16.55,213350.0,715.822
2014-01-09,16.58,16.8,16.81,16.29,188370.0,708.9803
2014-01-10,16.92,16.61,16.98,16.43,153568.0,723.5191
2014-01-13,16.64,16.91,17.05,16.51,137349.0,711.5459
2014-01-14,17.03,16.79,17.05,16.79,166257.0,728.2228
2014-01-15,17.3,17.04,17.44,17.02,542464.0,746.2841
2014-01-16,17.99,17.33,18.19,17.31,683346.0,776.0492
2014-01-17,17.96,18.09,18.15,17.57,392495.0,774.7551
2014-01-21,18.5,18.02,18.5,17.91,517828.0,798.0495
2014-01-22,22.97,20.32,23.54,20.31,3357045.0,990.8755
2014-01-23,21.98,22.79,23.25,21.6412,1131104.0,948.1691
2014-01-24,20.98,20.75,21.47,20.4,1185165.0,905.0312
2014-01-27,21.5,20.94,21.9395,20.7604,754487.0,927.4629
2014-01-28,21.91,21.42,22.0,20.97,610769.0,945.1494
2014-01-29,21.14,21.74,22.25,20.906,531731.0,911.9333
2014-01-30,21.33,21.4,21.59,21.22,381837.0,920.1295
2014-01-31,20.56,21.06,21.282,20.411,737105.0,886.9134
2014-02-03,20.09,20.56,20.69,20.03,580988.0,866.6386
2014-02-04,20.21,20.15,20.5,19.64,449235.0,871.8151
2014-02-05,20.15,20.13,20.36,19.54,302615.0,869.2269
2014-02-06,20.75,20.23,20.95,19.968,490858.0,895.1096
2014-02-07,20.95,20.9,21.15,20.66,317857.0,915.9444
2014-02-10,21.26,20.85,21.33,20.522,429621.0,929.4978
2014-02-11,21.79,21.27,21.9,21.12,548996.0,952.6696
2014-02-12,21.9,21.89,22.09,21.37,458317.0,957.4789
2014-02-13,21.86,21.71,21.99,21.5,416724.0,955.7301
2014-02-14,21.71,21.89,21.91,21.51,512366.0,949.172
2014-02-18,22.45,21.94,22.85,21.82,774406.0,981.5252
2014-02-19,21.85,22.49,22.81,21.76,479739.0,955.2929
2014-02-20,22.17,21.8,22.382,21.8,429228.0,969.2834
2014-02-21,20.83,22.12,22.3499,20.18,1059632.0,910.698
2014-02-24,21.02,20.84,21.4,20.84,560979.0,919.0048
2014-02-25,20.84,21.11,21.11,20.38,487038.0,911.1352
2014-02-26,20.88,20.96,21.17,20.4405,634693.0,912.884
2014-02-27,20.78,20.82,21.0,20.49,410193.0,908.5119
2014-02-28,20.19,20.82,20.939,19.8401,596374.0,882.7168
2014-03-03,20.28,19.91,20.34,19.681,362911.0,886.6517
2014-03-04,20.73,20.54,21.0,20.48,378187.0,906.3259
2014-03-05,21.07,20.78,21.14,20.51,448659.0,921.1909
2014-03-06,21.06,21.31,21.405,21.0,409248.0,920.7537
2014-03-07,20.79,21.16,21.2738,20.5,188913.0,908.9491
2014-03-10,20.39,20.78,20.78,19.94,667876.0,891.4609
2014-03-11,19.0,20.4,20.49,18.82,762069.0,830.6894
2014-03-12,19.16,19.0,19.3,18.68,335036.0,837.6847
2014-03-13,18.3,19.26,19.5,18.16,311330.0,800.0851
2014-03-14,18.44,18.34,18.64,18.2,270944.0,806.206
2014-03-17,18.33,18.5,18.84,18.33,308648.0,801.3967
2014-03-18,18.71,18.39,18.77,18.22,280349.0,818.0105
2014-03-19,18.18,18.76,18.76,18.02,322587.0,794.8386
2014-03-20,18.34,18.11,18.39,17.885,306221.0,801.8339
2014-03-21,18.08,18.37,18.5499,17.83,541827.0,790.4666
2014-03-24,17.76,18.13,18.33,17.285,323362.0,776.476
2014-03-25,18.21,17.8,18.3394,17.8,273017.0,796.1503
2014-03-26,17.5,18.39,18.39,17.49,425500.0,765.1087
2014-03-27,17.29,17.54,17.91,17.0817,271219.0,755.9274
2014-03-28,17.32,17.3,17.74,17.22,250053.0,757.239
2014-03-31,17.37,17.48,17.62,17.17,296729.0,759.425
2014-04-01,17.7,17.48,17.78,17.38,183535.0,773.8528
2014-04-02,17.74,17.72,17.84,17.4,200592.0,775.6016
2014-04-03,17.87,17.79,18.09,17.69,261238.0,781.2853
2014-04-04,17.67,18.04,18.04,17.53,427683.0,772.5412
2014-04-07,17.13,17.64,17.8,17.05,321163.0,748.9321
2014-04-08,17.31,17.15,17.56,17.15,211796.0,756.8018
2014-04-09,17.64,17.41,17.67,17.2,351338.0,771.2296
2014-04-10,16.93,17.66,18.2755,16.75,418055.0,740.188
2014-04-11,16.52,16.8,16.92,16.44,331895.0,722.2626
2014-04-14,16.74,16.73,16.91,16.51,258606.0,731.8811
2014-04-15,17.23,16.77,17.23,16.4,392048.0,753.3042
2014-04-16,17.49,17.4,17.68,17.3,346939.0,764.6715
2014-04-17,17.8,17.52,17.96,17.4,344390.0,778.2248
2014-04-21,18.93,17.93,18.98,17.79,677750.0,827.629
2014-04-22,18.95,18.93,19.26,18.54,726981.0,828.5034
2014-04-23,19.34,21.91,21.97,19.15,2443767.0,845.5544
2014-04-24,19.87,19.98,20.0,19.14,776441.0,868.7263
2014-04-25,20.47,19.67,20.52,19.5401,1021120.0,894.9586
2014-04-28,20.88,20.49,21.12,20.29,736632.0,912.884
2014-04-29,20.4,20.92,20.92,20.299,315625.0,891.8981
2014-04-30,20.36,20.36,20.48,19.82,557617.0,890.1493
2014-05-01,19.83,20.3,20.35,19.58,374297.0,866.9775
2014-05-02,20.29,19.9,20.6,19.863,393974.0,887.0889
2014-05-05,19.83,20.17,20.25,19.8,246153.0,866.9775
2014-05-06,19.43,19.83,19.99,19.35,260444.0,849.4893
2014-05-07,19.18,19.38,19.499,18.57,499426.0,861.7774
2014-05-08,18.36,19.0,19.19,18.29,442522.0,824.9339
2014-05-09,18.46,18.19,18.51,18.05,399195.0,829.427
2014-05-12,18.78,18.41,18.99,18.41,448206.0,843.805
2014-05-13,18.37,18.8,18.88,18.33,473749.0,825.3832
2014-05-14,17.75,18.38,18.38,17.26,732640.0,797.526
2014-05-15,17.94,17.73,18.0,17.4,305487.0,806.0629
2014-05-16,19.76,19.0,19.88,18.61,989504.0,887.8374
2014-05-19,20.725,19.72,20.92,19.72,737766.0,931.1958
2014-05-20,20.48,20.7,20.885,20.2,517648.0,920.1877
2014-05-21,20.74,20.5,20.9,20.31,360142.0,931.8698
2014-05-22,20.61,20.75,20.8,20.42,220230.0,926.0288
2014-05-23,21.18,20.71,21.31,20.7,420436.0,951.6395
2014-05-27,21.39,21.28,21.7399,21.06,454983.0,961.075
2014-05-28,21.66,21.3,21.84,21.1625,410319.0,973.2064
2014-05-29,21.76,21.72,21.79,21.42,333050.0,977.6995
2014-05-30,21.5,21.74,21.76,21.42,693029.0,966.0174
2014-06-02,21.17,21.5,21.56,21.06,309015.0,951.1902
2014-06-03,21.16,21.14,21.289,20.8248,320954.0,950.7408
2014-06-04,21.49,21.02,22.06,20.91,476769.0,965.5681
2014-06-05,21.92,21.68,22.0,21.27,277476.0,984.8884
2014-06-06,21.83,22.0,22.0,21.66,286394.0,980.8446
2014-06-09,22.7,21.86,22.88,21.7562,417376.0,1019.9346
2014-06-10,22.76,22.66,22.79,22.25,271272.0,1022.6305
2014-06-11,22.65,22.6,22.795,22.41,208932.0,1017.6881
2014-06-12,22.35,22.58,22.734,22.26,157198.0,1004.2088
2014-06-13,23.09,22.44,23.12,22.37,283595.0,1037.4578
2014-06-16,25.57,23.52,25.66,23.11,1190149.0,1148.8867
2014-06-17,24.895,25.76,25.78,24.3,651208.0,1118.5583
2014-06-18,26.02,24.9,26.29,24.9,607353.0,1169.1057
2014-06-19,25.9,26.5,26.8,25.4,722866.0,1163.714
2014-06-20,26.03,26.05,26.2699,25.51,595555.0,1169.555
2014-06-23,25.68,26.22,26.249,25.62,373077.0,1153.8292
2014-06-24,25.34,25.52,25.98,25.303,243530.0,1138.5526
2014-06-25,25.27,25.24,25.49,24.57,491864.0,1135.4074
2014-06-26,25.45,26.0,26.0,25.21,342669.0,1143.495
2014-06-27,24.69,25.24,25.405,24.69,1532917.0,1109.3474
2014-06-30,25.27,24.69,25.39,24.61,648222.0,1135.4074
2014-07-01,25.44,25.34,25.74,25.27,500711.0,1143.0457
2014-07-02,25.55,25.47,25.675,25.4101,428821.0,1147.9881
2014-07-03,25.95,25.61,26.02,25.5,246299.0,1165.9605
2014-07-07,25.45,25.89,26.02,25.41,334565.0,1143.495
2014-07-08,24.25,25.37,25.4,23.79,689479.0,1089.5778
2014-07-09,24.9,24.32,25.19,24.11,407860.0,1118.7829
2014-07-10,24.57,24.44,24.93,23.61,446854.0,1103.9557
2014-07-11,25.08,24.49,25.27,24.25,326618.0,1126.8705
2014-07-14,24.92,25.27,25.33,24.71,327484.0,1119.6816
2014-07-15,24.43,24.93,24.93,24.15,285077.0,1097.6653
2014-07-16,24.44,24.66,24.9765,24.4127,207068.0,1098.1147
2014-07-17,24.17,24.3,24.65,24.09,252146.0,1085.9833
