Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP,Ticker
2014-01-02,53.55,54.09,54.45,53.5,1909106.0,24357.1345,ALL
2014-01-03,53.33,53.65,53.8,53.11,1570245.0,24257.0678,ALL
2014-01-06,53.12,53.54,53.68,52.83,2695962.0,24161.5496,ALL
2014-01-07,53.35,53.35,53.48,53.14,1882573.0,24266.1648,ALL
2014-01-08,53.52,53.24,53.71,53.05,3075402.0,24343.489,ALL
2014-01-09,53.83,53.62,54.0,53.55,1991611.0,24484.492,ALL
2014-01-10,54.09,53.75,54.34,53.52,2421917.0,24602.7526,ALL
2014-01-13,53.46,53.94,54.175,53.44,2964283.0,24316.1981,ALL
2014-01-14,53.99,53.59,54.04,53.46,2132794.0,24557.2678,ALL
2014-01-15,53.89,54.01,54.08,53.525,2235657.0,24511.783,ALL
2014-01-16,53.18,53.82,53.89,53.08,3703775.0,24188.8406,ALL
2014-01-17,52.9,53.24,53.29,52.845,1847913.0,24061.483,ALL
2014-01-21,52.68,53.28,53.42,52.33,2973862.0,23961.4163,ALL
2014-01-22,52.41,52.75,52.92,51.99,3169804.0,23838.6072,ALL
2014-01-23,51.64,52.01,52.18,51.3301,2879565.0,23488.3739,ALL
2014-01-24,50.62,51.22,51.65,50.62,3365446.0,23024.4285,ALL
2014-01-27,50.7,50.615,51.11,50.35,4154210.0,23060.8164,ALL
2014-01-28,51.77,50.86,51.89,50.8,3156028.0,23547.5042,ALL
2014-01-29,51.74,51.27,52.14,51.27,3602032.0,23533.8588,ALL
2014-01-30,52.3,52.05,52.365,51.84,1801689.0,23788.5739,ALL
2014-01-31,51.2,51.56,51.845,51.16,3876979.0,23288.2406,ALL
2014-02-03,49.96,51.2,51.2,49.87,3147416.0,22724.2285,ALL
2014-02-04,49.9,50.19,50.38,49.68,3540425.0,22696.9376,ALL
2014-02-05,49.55,49.78,50.0,49.179,3799499.0,22537.7407,ALL
2014-02-06,52.36,50.87,52.39,50.24,6487386.0,23815.8648,ALL
2014-02-07,52.76,52.63,52.82,51.91,4169877.0,23689.24,ALL
2014-02-10,52.09,52.62,52.62,51.5,4023481.0,23388.41,ALL
2014-02-11,52.81,51.77,53.015,51.68,3150465.0,23711.69,ALL
2014-02-12,52.53,52.61,52.75,52.28,3991580.0,23585.97,ALL
2014-02-13,52.7,52.25,52.71,52.06,1671312.0,23662.3,ALL
2014-02-14,52.96,52.66,53.06,52.3916,2195590.0,23779.04,ALL
2014-02-18,52.18,53.09,53.17,52.17,3507151.0,23428.82,ALL
2014-02-19,51.79,52.0,52.22,51.635,3506517.0,23253.71,ALL
2014-02-20,53.47,53.22,53.65,52.43,4347792.0,23906.408,ALL
2014-02-21,53.86,53.4,54.01,53.21,3665707.0,24080.7767,ALL
2014-02-24,53.86,53.59,54.3,53.25,3995921.0,24080.7767,ALL
2014-02-25,53.65,53.77,53.96,53.51,2714639.0,23986.8859,ALL
2014-02-26,53.85,53.78,54.05,53.47,2025700.0,24076.3057,ALL
2014-02-27,54.23,53.57,54.24,53.34,2373188.0,24246.2035,ALL
2014-02-28,54.26,54.27,54.8,54.01,3521555.0,24259.6165,ALL
2014-03-03,54.05,53.71,54.32,53.6,3281555.0,24165.7256,ALL
2014-03-04,54.85,54.68,54.9,54.37,3531375.0,24523.4052,ALL
2014-03-05,55.07,54.8,55.1,54.56,2218934.0,24621.7671,ALL
2014-03-06,55.17,55.2,55.48,54.96,2414658.0,24666.477,ALL
2014-03-07,55.71,55.42,55.73,55.18,2471954.0,24907.9107,ALL
2014-03-10,55.8,55.68,55.81,55.37,1956915.0,24948.1497,ALL
2014-03-11,55.61,55.9,55.93,55.5,2361901.0,24863.2008,ALL
2014-03-12,55.49,55.38,55.66,55.13,2210355.0,24809.5489,ALL
2014-03-13,55.11,55.63,55.71,55.07,2762507.0,24639.6511,ALL
2014-03-14,55.13,55.06,55.38,55.055,2695252.0,24648.5931,ALL
2014-03-17,55.52,55.52,55.68,55.33,1337954.0,24822.9618,ALL
