Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP,Ticker
2014-01-02,11.91,12.02,12.02,11.85,7971602.0,15902.4873,BSX
2014-01-03,11.93,11.94,11.99,11.865,7278892.0,15929.1917,BSX
2014-01-06,12.33,12.49,12.55,12.2,14817898.0,16463.2803,BSX
2014-01-07,12.44,12.35,12.49,12.35,8661269.0,16610.1547,BSX
2014-01-08,12.79,12.51,12.93,12.44,14313744.0,17077.4822,BSX
2014-01-09,12.78,12.68,12.87,12.64,10029340.0,17064.1299,BSX
2014-01-10,13.11,12.88,13.27,12.79,14995374.0,17504.753,BSX
2014-01-13,12.92,13.07,13.25,12.88,9197256.0,17251.0609,BSX
2014-01-14,13.18,12.91,13.2,12.91,8036162.0,17598.2185,BSX
2014-01-15,13.34,13.19,13.5,13.17,14748177.0,17811.854,BSX
2014-01-16,13.55,13.36,13.68,13.31,20084875.0,18092.2505,BSX
2014-01-17,13.51,13.63,13.64,13.45,11157044.0,18038.8416,BSX
2014-01-21,13.98,13.74,14.02,13.625,20088072.0,18666.3957,BSX
2014-01-22,13.87,13.98,14.08,13.73,11150753.0,18519.5213,BSX
2014-01-23,13.65,13.78,13.88,13.55,12428146.0,18225.7726,BSX
2014-01-24,13.34,13.55,13.65,13.34,10556561.0,17811.854,BSX
2014-01-27,13.21,13.35,13.39,13.04,10145796.0,17638.2752,BSX
2014-01-28,13.28,13.26,13.36,13.21,7322502.0,17731.7407,BSX
2014-01-29,13.18,13.13,13.38,13.08,8557749.0,17598.2185,BSX
2014-01-30,13.56,13.31,13.62,13.27,11052836.0,18105.6027,BSX
2014-01-31,13.53,13.42,13.67,13.3,14001031.0,18065.546,BSX
2014-02-03,13.01,13.55,13.55,12.96,18772368.0,17371.2309,BSX
2014-02-04,12.85,13.1,13.49,12.595,29030072.0,17157.5954,BSX
2014-02-05,12.76,12.77,12.85,12.47,22161669.0,17037.4255,BSX
2014-02-06,12.83,12.76,12.96,12.73,13854960.0,17130.891,BSX
2014-02-07,13.1,12.92,13.18,12.88,15209542.0,17491.4008,BSX
2014-02-10,12.91,13.05,13.1,12.875,11968957.0,17237.7087,BSX
2014-02-11,12.85,12.87,12.92,12.76,18535591.0,17157.5954,BSX
2014-02-12,12.96,12.83,13.04,12.83,9368145.0,17304.4698,BSX
2014-02-13,13.03,12.92,13.08,12.84,10309839.0,17397.9353,BSX
2014-02-14,13.3,13.08,13.435,13.05,14856356.0,17758.4451,BSX
2014-02-18,13.38,13.3,13.519,13.29,10683009.0,17865.2628,BSX
2014-02-19,13.06,13.35,13.43,13.04,11678972.0,17437.9919,BSX
2014-02-20,13.23,13.06,13.24,13.0,7949121.0,17664.9796,BSX
2014-02-21,13.14,13.25,13.26,13.13,6452101.0,17544.8097,BSX
2014-02-24,13.08,13.14,13.24,13.07,6551683.0,17464.6964,BSX
2014-02-25,13.39,13.09,13.45,13.05,15637019.0,17878.615,BSX
2014-02-26,13.34,13.41,13.58,13.271,7316824.0,17664.7313,BSX
2014-02-27,13.3,13.34,13.41,13.23,8489797.0,17611.7636,BSX
2014-02-28,13.1,13.28,13.34,12.98,10209066.0,17346.925,BSX
2014-03-03,13.0,12.91,13.05,12.805,9447291.0,17214.5057,BSX
2014-03-04,13.23,13.12,13.26,13.11,13015236.0,17519.0701,BSX
2014-03-05,13.38,13.25,13.48,13.22,9877387.0,17717.699,BSX
2014-03-06,13.55,13.45,13.59,13.4301,9379753.0,17942.8117,BSX
2014-03-07,13.7,13.61,13.74,13.36,16277896.0,18141.4407,BSX
2014-03-10,13.46,13.73,13.84,13.4301,8147866.0,17823.6344,BSX
2014-03-11,13.18,13.48,13.48,13.14,10731249.0,17452.8604,BSX
2014-03-12,12.88,13.11,13.16,12.82,20050835.0,17055.6026,BSX
2014-03-13,12.74,12.93,12.9799,12.61,23579816.0,16870.2156,BSX
2014-03-14,13.01,12.75,13.205,12.68,19886332.0,17227.7477,BSX
2014-03-17,12.98,13.06,13.16,12.94,9973769.0,17188.0219,BSX
2014-03-18,13.21,13.0,13.27,12.96,6499447.0,17492.5862,BSX
2014-03-19,13.15,13.23,13.38,13.04,8716568.0,17413.1346,BSX
2014-03-20,13.1,13.1,13.18,13.035,7486964.0,17346.925,BSX
2014-03-21,12.82,13.37,13.39,12.82,15490846.0,16976.151,BSX
2014-03-24,12.84,13.05,13.14,12.69,11359238.0,17002.6349,BSX
2014-03-25,13.26,12.92,13.42,12.92,13779251.0,17549.2231,BSX
2014-03-26,13.23,13.31,13.465,13.21,10501885.0,17509.519,BSX
2014-03-27,13.21,13.21,13.26,12.94,11154810.0,17483.0496,BSX
2014-03-28,13.2,13.2,13.44,13.16,6161622.0,17469.8149,BSX
2014-03-31,13.52,13.3,13.57,13.265,8554218.0,17893.3256,BSX
2014-04-01,13.62,13.55,13.65,13.49,6763744.0,18025.6726,BSX
2014-04-02,13.69,13.65,13.73,13.52,6616478.0,18118.3156,BSX
2014-04-03,13.77,13.71,13.8,13.63,9393478.0,18224.1933,BSX
2014-04-04,13.5,13.79,13.9,13.47,12360984.0,17866.8561,BSX
2014-04-07,13.22,13.46,13.545,13.16,8826939.0,17496.2843,BSX
2014-04-08,12.91,13.18,13.2,12.85,10182463.0,17086.0084,BSX
2014-04-09,13.54,12.98,13.585,12.88,15143201.0,17919.795,BSX
2014-04-10,12.93,13.53,13.59,12.88,11189217.0,17112.4778,BSX
2014-04-11,12.69,12.81,12.84,12.48,25143148.0,16794.8448,BSX
2014-04-14,13.31,13.0,13.32,12.98,16741597.0,17615.3967,BSX
2014-04-15,13.35,13.22,13.43,12.97,13633183.0,17668.3355,BSX
2014-04-16,13.5,13.57,13.64,13.37,9740700.0,17866.8561,BSX
2014-04-17,13.65,13.48,13.71,13.43,8675932.0,18065.3768,BSX
2014-04-21,13.72,13.62,13.72,13.5,9735404.0,18158.0197,BSX
2014-04-22,13.75,13.75,13.8,13.63,8953033.0,18197.7238,BSX
2014-04-23,13.69,13.8,13.82,13.62,9002742.0,18118.3156,BSX
2014-04-24,13.75,13.76,13.81,13.56,8433479.0,18197.7238,BSX
2014-04-25,13.38,13.72,13.72,13.33,10712204.0,17708.0396,BSX
2014-04-28,13.58,13.49,13.65,13.23,14544552.0,17972.7338,BSX
2014-04-29,12.73,12.79,13.32,12.64,35508150.0,16847.7836,BSX
2014-04-30,12.61,12.74,12.74,12.365,27599007.0,16688.9671,BSX
2014-05-01,12.6,12.64,12.74,12.5,14400526.0,16675.7324,BSX
2014-05-02,12.81,12.61,12.82,12.57,17337614.0,16953.6613,BSX
2014-05-05,13.07,12.75,13.1475,12.72,14657185.0,17297.7637,BSX
2014-05-06,12.95,13.04,13.08,12.85,11597504.0,17138.9472,BSX
2014-05-07,12.77,12.98,13.01,12.63,9748590.0,16900.7224,BSX
2014-05-08,12.8,12.76,12.985,12.7,7199089.0,16930.2484,BSX
2014-05-09,12.73,12.73,12.79,12.47,12957848.0,16837.6611,BSX
2014-05-12,12.93,12.8,12.94,12.72,9417041.0,17102.1963,BSX
2014-05-13,12.8,12.94,13.02,12.78,8806647.0,16930.2484,BSX
2014-05-14,12.79,12.82,12.9,12.74,12606188.0,16917.0217,BSX
2014-05-15,12.69,12.78,12.78,12.56,12954774.0,16784.7541,BSX
2014-05-16,12.8,12.67,12.88,12.59,10994048.0,16930.2484,BSX
2014-05-19,12.83,12.77,12.85,12.65,9444739.0,16969.9287,BSX
2014-05-20,12.62,12.81,12.82,12.47,11616662.0,16692.1668,BSX
2014-05-21,12.8,12.67,12.91,12.619,6774229.0,16930.2484,BSX
2014-05-22,12.68,12.78,12.83,12.63,14167930.0,16771.5274,BSX
2014-05-23,12.83,12.71,12.875,12.69,8081602.0,16969.9287,BSX
2014-05-27,12.95,12.9,13.02,12.83,8627895.0,17128.6498,BSX
2014-05-28,13.15,13.0,13.189,12.945,11589107.0,17393.1849,BSX
2014-05-29,12.99,13.15,13.1699,12.945,13999286.0,17181.5568,BSX
2014-05-30,12.83,12.99,13.08,12.79,12814622.0,16969.9287,BSX
2014-06-02,12.88,12.86,12.95,12.73,6363956.0,17036.0625,BSX
2014-06-03,12.97,12.82,12.99,12.81,6046451.0,17155.1033,BSX
2014-06-04,13.05,12.9,13.05,12.82,7743789.0,17260.9174,BSX
2014-06-05,13.18,12.96,13.19,12.96,8770689.0,17432.8652,BSX
2014-06-06,13.13,13.19,13.2,13.06,6823015.0,17366.7314,BSX
2014-06-09,12.76,13.04,13.04,12.69,16697436.0,16877.3414,BSX
2014-06-10,12.84,12.77,12.86,12.47,24582661.0,16983.1555,BSX
2014-06-11,12.87,12.79,12.91,12.62,17673344.0,17022.8357,BSX
2014-06-12,12.8,12.91,12.97,12.74,25173947.0,16930.2484,BSX
2014-06-13,12.8,12.79,12.945,12.76,11668063.0,16930.2484,BSX
2014-06-16,12.92,13.1,13.19,12.92,14079328.0,17088.9695,BSX
2014-06-17,12.6,12.8,12.8,12.28,37104584.0,16665.7133,BSX
2014-06-18,12.64,12.59,12.74,12.49,13569759.0,16718.6203,BSX
2014-06-19,12.66,12.69,12.72,12.57,17818429.0,16745.0738,BSX
2014-06-20,12.71,12.69,12.7399,12.45,12072281.0,16811.2076,BSX
2014-06-23,12.62,12.72,12.75,12.6,7133208.0,16692.1668,BSX
2014-06-24,12.58,12.66,12.72,12.565,7790416.0,16639.2598,BSX
2014-06-25,12.7,12.63,12.75,12.63,9018537.0,16797.9809,BSX
2014-06-26,12.63,12.7,12.715,12.59,14205411.0,16705.3936,BSX
2014-06-27,12.76,12.61,12.77,12.6,14360278.0,16877.3414,BSX
