Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP,Ticker
2014-01-02,82.51,83.285,83.9781,82.03,2944140.0,45046.2851,EOG
2014-01-03,82.28,82.875,83.325,81.9052,2693750.0,44920.7168,EOG
2014-01-06,82.01,82.385,82.665,81.1675,3649192.0,44773.3104,EOG
2014-01-07,83.425,82.535,83.455,81.8525,3287000.0,45545.8288,EOG
2014-01-08,83.39,83.01,83.9149,82.525,2857880.0,45526.7206,EOG
2014-01-09,83.5,83.705,84.445,82.74,3539336.0,45586.7751,EOG
2014-01-10,83.405,83.73,84.05,82.995,2949798.0,45534.9099,EOG
2014-01-13,81.73,83.705,84.135,81.485,2672664.0,44620.4446,EOG
2014-01-14,84.3,82.03,84.365,81.815,3221976.0,46023.5346,EOG
2014-01-15,85.18,84.73,86.64,84.7,4088860.0,46503.9701,EOG
2014-01-16,85.05,85.05,85.585,84.35,3342482.0,46432.9966,EOG
2014-01-17,84.48,85.48,85.94,84.46,3325724.0,46121.8055,EOG
2014-01-21,84.615,84.58,85.275,84.07,3195084.0,46195.5086,EOG
2014-01-22,85.86,85.0975,86.15,84.625,3588544.0,46875.2156,EOG
2014-01-23,84.585,84.89,85.8699,84.115,4482806.0,46179.1302,EOG
2014-01-24,82.765,84.025,84.52,82.5601,5653078.0,45185.5022,EOG
2014-01-27,81.05,82.585,82.745,80.63,3809822.0,44249.199,EOG
2014-01-28,83.61,81.69,83.75,81.145,3292674.0,45646.8295,EOG
2014-01-29,82.325,82.96,83.08,81.7702,3280418.0,44945.2845,EOG
2014-01-30,83.065,82.55,83.75,82.325,2262924.0,45349.2871,EOG
2014-01-31,82.62,82.335,83.8,81.59,2639566.0,45106.3396,EOG
2014-02-03,80.87,82.305,83.43,80.75,4528920.0,44150.9281,EOG
2014-02-04,84.29,81.335,84.495,81.25,6577434.0,46018.0751,EOG
2014-02-05,83.745,84.05,84.85,83.385,4293062.0,45720.5327,EOG
2014-02-06,86.625,83.845,86.895,83.845,5142174.0,47292.8669,EOG
2014-02-07,88.25,87.385,88.44,86.571,4184512.0,48180.0347,EOG
2014-02-10,87.1,88.38,88.38,86.535,3538252.0,47552.1929,EOG
2014-02-11,87.365,87.15,88.105,86.78,3299190.0,47696.8695,EOG
2014-02-12,87.555,87.875,88.45,87.245,2588172.0,47800.5999,EOG
2014-02-13,87.735,86.79,88.3765,86.3,3432632.0,47898.8708,EOG
2014-02-14,88.48,87.855,88.625,87.445,2340546.0,48305.6031,EOG
2014-02-18,89.96,89.06,90.13,89.005,3654694.0,49113.6082,EOG
2014-02-19,89.43,89.525,90.805,89.2,3834990.0,48824.255,EOG
2014-02-20,90.015,89.52,91.03,89.075,4511960.0,49143.6354,EOG
2014-02-21,89.0,90.235,90.485,88.97,5411032.0,48589.4968,EOG
2014-02-24,90.2,89.215,90.81,88.515,7074362.0,49270.77,EOG
2014-02-25,92.0,91.425,92.565,89.625,7465912.0,50254.0005,EOG
2014-02-26,93.22,91.805,94.2045,91.44,7214394.0,50920.4122,EOG
2014-02-27,93.735,93.205,93.8225,92.245,3779670.0,51201.7254,EOG
2014-02-28,94.71,93.86,95.54,93.555,5077904.0,51734.3085,EOG
2014-03-03,94.645,94.525,96.0,94.31,5608452.0,51698.803,EOG
2014-03-04,95.78,95.235,96.46,95.165,4266520.0,52318.7844,EOG
2014-03-05,95.245,96.02,96.61,95.025,3900792.0,52026.5465,EOG
2014-03-06,95.53,95.36,96.105,94.6643,3450578.0,52182.2246,EOG
2014-03-07,94.96,95.76,95.975,94.1005,3917102.0,51870.8683,EOG
2014-03-10,94.525,94.96,94.96,93.56,2759232.0,51633.2543,EOG
2014-03-11,92.8,94.92,95.085,92.66,4103660.0,50690.9918,EOG
2014-03-12,92.565,91.8,93.215,90.83,4087848.0,50562.6256,EOG
2014-03-13,91.455,93.125,93.325,90.885,3764290.0,49956.3002,EOG
2014-03-14,92.985,91.485,93.105,91.45,3178352.0,50792.046,EOG
2014-03-17,93.615,93.3,94.0,93.0,2722320.0,51136.1767,EOG
2014-03-18,94.58,93.7,95.26,93.59,3165938.0,51663.2975,EOG
2014-03-19,93.765,94.675,94.72,93.015,3165092.0,51218.1126,EOG
2014-03-20,95.165,93.81,95.28,93.035,4022466.0,51982.8474,EOG
2014-03-21,95.82,95.955,96.58,94.69,5331708.0,52340.634,EOG
2014-03-24,94.8,96.125,96.485,94.23,3461646.0,51783.4701,EOG
2014-03-25,95.785,95.59,96.485,95.45,3819058.0,52321.5156,EOG
2014-03-26,96.06,96.275,97.658,95.95,4117322.0,52471.7314,EOG
2014-03-27,96.73,96.145,97.7,96.01,3535222.0,52839.3116,EOG
2014-03-28,98.58,97.235,99.41,97.055,4051242.0,53849.8846,EOG
2014-03-31,98.085,99.235,99.75,97.525,4142808.0,53579.488,EOG
2014-04-01,98.98,99.38,100.36,98.26,3422983.0,54068.3868,EOG
2014-04-02,99.11,98.27,99.45,98.02,2858190.0,54139.4001,EOG
2014-04-03,100.65,99.33,101.5,99.26,5219482.0,54980.6338,EOG
2014-04-04,99.77,102.67,103.295,98.95,4030144.0,54499.9288,EOG
2014-04-07,97.93,99.72,99.98,97.45,3146581.0,53494.8184,EOG
2014-04-08,98.71,97.78,99.58,97.54,3293647.0,53920.8978,EOG
2014-04-09,98.95,98.94,99.17,97.99,3826712.0,54051.9992,EOG
2014-04-10,98.11,98.63,99.99,97.56,4706319.0,53593.1444,EOG
2014-04-11,98.63,97.67,99.44,97.57,4581572.0,53877.1974,EOG
2014-04-14,99.96,99.52,100.1,98.72,3427874.0,54603.7174,EOG
2014-04-15,101.11,99.63,101.68,99.52,4695789.0,55231.9114,EOG
2014-04-16,101.01,101.48,102.2015,100.43,3650994.0,55177.2859,EOG
2014-04-17,102.45,100.84,102.84,100.84,3253213.0,55963.894,EOG
2014-04-21,103.53,102.98,103.58,101.8401,2404788.0,56553.8502,EOG
2014-04-22,102.34,103.27,103.27,102.11,3332773.0,55903.8059,EOG
2014-04-23,105.08,102.53,105.18,102.53,3445732.0,57400.5465,EOG
2014-04-24,103.48,105.5,105.5,103.42,3715985.0,56526.5374,EOG
2014-04-25,99.04,103.25,103.3,98.52,7169791.0,54101.1622,EOG
2014-04-28,98.06,99.94,100.0,96.53,5112184.0,53565.8316,EOG
2014-04-29,99.62,98.88,101.23,98.83,4089133.0,54417.9905,EOG
2014-04-30,98.0,99.07,99.2,97.01,6297708.0,53533.0563,EOG
2014-05-01,97.12,98.33,98.77,96.81,4240561.0,53052.3513,EOG
2014-05-02,97.06,97.3,98.25,96.82,3712934.0,53019.5759,EOG
2014-05-05,99.25,96.04,99.711,96.01,4766434.0,54215.8759,EOG
2014-05-06,103.63,102.8,106.5,101.84,8515778.0,56634.3959,EOG
2014-05-07,104.79,104.61,105.45,102.64,5705837.0,57268.3426,EOG
2014-05-08,101.73,104.03,104.56,101.62,3265809.0,55596.0349,EOG
2014-05-09,102.28,102.0,102.3,100.64,3709705.0,55896.6131,EOG
2014-05-12,103.64,102.57,103.73,101.98,3351934.0,56639.8609,EOG
2014-05-13,105.17,104.58,105.5,104.07,3426618.0,57476.0148,EOG
2014-05-14,103.9,105.39,105.49,103.86,2415023.0,56781.9524,EOG
2014-05-15,102.74,103.97,103.98,101.551,2608089.0,56148.0057,EOG
2014-05-16,102.5,102.57,102.88,101.34,2846309.0,56016.8443,EOG
2014-05-19,102.3,102.5,103.36,101.96,1832776.0,55907.5432,EOG
2014-05-20,101.89,102.22,102.95,101.47,1937664.0,55683.4758,EOG
2014-05-21,104.16,102.7,104.36,102.13,1777722.0,56924.044,EOG
