Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP,Ticker
2014-01-02,49.44,49.55,49.86,49.15,5458567.0,51705.7858,LOW
2014-01-03,48.95,49.41,49.53,48.83,4257787.0,51193.3296,LOW
2014-01-06,48.26,48.97,49.1,48.04,4923053.0,50471.7075,LOW
2014-01-07,48.38,48.4,48.82,48.0,5541919.0,50597.207,LOW
2014-01-08,48.55,48.28,48.75,48.25,4875815.0,50774.998,LOW
2014-01-09,48.75,48.75,48.88,48.36,4941436.0,50984.1638,LOW
2014-01-10,49.68,48.92,49.78,48.88,5736433.0,51956.7847,LOW
2014-01-13,48.66,49.4,49.91,48.5,6403816.0,50890.0391,LOW
2014-01-14,48.9,48.61,48.93,48.365,5498908.0,51141.0381,LOW
2014-01-15,48.29,48.98,49.03,48.1,6224623.0,50503.0824,LOW
2014-01-16,48.18,48.11,48.28,47.77,4146722.0,50388.0412,LOW
2014-01-17,47.61,48.1,48.14,47.56,5764093.0,49791.9187,LOW
2014-01-21,47.82,47.59,47.86,47.26,7430557.0,50011.5428,LOW
2014-01-22,47.75,47.84,47.85,47.18,7917556.0,49938.3347,LOW
2014-01-23,48.15,47.55,48.22,47.25,6939255.0,50356.6664,LOW
2014-01-24,47.83,47.78,48.3,47.73,9089843.0,50022.0011,LOW
2014-01-27,48.0,47.78,48.32,47.34,8050640.0,50199.792,LOW
2014-01-28,46.96,46.75,47.38,46.58,13365355.0,49112.1298,LOW
2014-01-29,45.97,46.57,46.89,45.775,9922021.0,48076.7591,LOW
2014-01-30,46.5,46.31,46.78,45.96,5773231.0,48631.0485,LOW
2014-01-31,46.29,46.01,46.7951,45.62,6771509.0,48411.4244,LOW
2014-02-03,45.6,46.26,46.525,45.48,7755040.0,47689.8024,LOW
2014-02-04,44.9,45.55,45.73,44.78,8399291.0,46957.7221,LOW
2014-02-05,45.53,44.82,45.67,44.45,8036048.0,47616.5944,LOW
