Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP,Ticker
2014-01-02,12.6886,12.9048,12.9323,12.6179,2244773.0,10116.2901,NI
2014-01-03,12.7554,12.7122,12.7987,12.6395,1745586.0,10169.5502,NI
2014-01-06,12.948,12.7672,13.0875,12.7279,3988241.0,10323.0647,NI
2014-01-07,12.9912,12.9676,13.0855,12.9401,4301839.0,10357.5271,NI
2014-01-08,12.9284,12.9559,13.0109,12.8694,2622472.0,10307.3999,NI
2014-01-09,13.003,12.948,13.0345,12.893,1874354.0,10366.9259,NI
2014-01-10,13.2309,13.0737,13.3606,13.0737,3042692.0,10548.6369,NI
2014-01-13,13.062,13.172,13.2231,13.0305,2525395.0,10413.9202,NI
2014-01-14,13.0934,13.0777,13.1405,13.0048,1329885.0,10438.9837,NI
2014-01-15,13.1052,13.1405,13.1877,13.003,1908806.0,10448.3826,NI
2014-01-16,13.2859,13.1052,13.2859,13.0855,1911172.0,10592.4982,NI
2014-01-17,13.3174,13.2938,13.4038,13.2309,2172704.0,10617.5618,NI
2014-01-21,13.4864,13.4313,13.5139,13.3861,1490462.0,10752.2786,NI
2014-01-22,13.4864,13.4981,13.6278,13.4746,2064684.0,10752.2786,NI
2014-01-23,13.451,13.4235,13.5021,13.3488,1703726.0,10724.082,NI
2014-01-24,13.1995,13.3842,13.4019,13.1956,2728959.0,10523.5734,NI
2014-01-27,13.2309,13.1995,13.2742,13.1445,1812392.0,10548.6369,NI
2014-01-28,13.4313,13.2427,13.4353,13.2113,1333009.0,10708.4173,NI
2014-01-29,13.3174,13.3842,13.4392,13.2584,1868691.0,10617.5618,NI
2014-01-30,13.4628,13.3685,13.5335,13.3685,1921666.0,10733.4809,NI
2014-01-31,13.506,13.3174,13.5964,13.2977,2814722.0,10767.9433,NI
2014-02-03,13.341,13.4981,13.6514,13.2702,2740966.0,10636.3595,NI
2014-02-04,13.2584,13.3881,13.4274,13.1916,2241594.0,10570.5676,NI
2014-02-05,13.2624,13.2074,13.2938,13.0659,1927829.0,10573.7005,NI
2014-02-06,13.2663,13.1602,13.2977,13.1248,1657329.0,10576.8335,NI
2014-02-07,13.3645,13.2977,13.4195,13.2938,1676360.0,10655.1572,NI
2014-02-10,13.5689,13.341,13.5807,13.2388,1864154.0,10818.0705,NI
2014-02-11,13.6239,13.5532,13.6789,13.4981,1524177.0,10861.9318,NI
2014-02-12,13.616,13.5728,13.671,13.5453,1682568.0,10855.6659,NI
2014-02-13,13.6632,13.5453,13.7261,13.5178,2397339.0,10893.2613,NI
2014-02-14,13.8204,13.6514,13.8204,13.5492,2812396.0,11018.5792,NI
2014-02-18,13.8715,14.1308,14.4688,13.8675,3321748.0,11083.8962,NI
