Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP,Ticker
2014-01-02,80.62,80.84,81.89,80.2,544022.0,7918.392,UHS
2014-01-03,81.51,80.71,82.46,80.71,645814.0,8002.5945,UHS
2014-01-06,80.51,81.64,81.94,79.65,603909.0,7912.7427,UHS
2014-01-07,82.82,80.93,83.35,80.93,670746.0,8131.2911,UHS
2014-01-08,83.04,82.81,83.43,82.16,422549.0,8152.1052,UHS
2014-01-09,84.44,83.51,84.49,83.06,726501.0,8284.5587,UHS
2014-01-10,85.52,84.2,85.55,83.94,581825.0,8386.7371,UHS
2014-01-13,83.99,85.55,85.95,83.72,816302.0,8255.1966,UHS
2014-01-14,85.69,84.32,85.78,84.2,529535.0,8416.033,UHS
2014-01-15,85.8,85.48,86.01,85.23,502116.0,8426.44,UHS
2014-01-16,85.26,85.67,86.08,85.06,810771.0,8375.3508,UHS
2014-01-17,85.28,85.07,85.62,84.64,376719.0,8377.243,UHS
2014-01-21,83.89,85.52,85.75,82.72,933012.0,8244.8206,UHS
2014-01-22,83.81,83.89,84.37,83.29,573255.0,8237.2519,UHS
2014-01-23,82.91,83.41,83.74,82.42,662945.0,8152.1032,UHS
2014-01-24,80.32,82.52,82.52,80.28,833276.0,7899.3052,UHS
2014-01-27,79.68,80.28,80.7,78.98,733678.0,7838.755,UHS
2014-01-28,80.66,79.81,81.21,79.4001,697395.0,7931.4725,UHS
2014-01-29,79.98,79.96,81.0,79.57,387034.0,7867.1379,UHS
2014-01-30,80.9,80.38,81.1,80.03,511028.0,7954.1788,UHS
2014-01-31,82.02,80.18,82.99,79.62,695268.0,8061.2396,UHS
2014-02-03,78.68,81.68,82.25,78.51,988665.0,7741.1808,UHS
2014-02-04,78.19,79.03,79.58,77.66,874728.0,7694.8221,UHS
2014-02-05,78.2,78.19,78.64,77.12,564190.0,7695.7682,UHS
2014-02-06,78.22,78.27,78.65,77.85,591262.0,7697.6604,UHS
