Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP,Ticker
2014-01-02,73.83,74.07,74.15,72.88,966843.0,17258.2695,VRTX
2014-01-03,73.45,74.01,74.63,73.17,799560.0,17169.4418,VRTX
2014-01-06,75.5,74.92,75.9381,74.11,1701749.0,17648.6434,VRTX
2014-01-07,74.49,75.75,75.825,73.972,1025019.0,17412.549,VRTX
2014-01-08,75.23,74.55,75.38,74.1,882596.0,17585.5291,VRTX
2014-01-09,76.32,75.44,77.0,74.96,1660257.0,17840.324,VRTX
2014-01-10,78.21,76.07,78.22,75.71,1204282.0,18282.1245,VRTX
2014-01-13,77.04,77.84,78.72,76.16,2867367.0,18008.629,VRTX
2014-01-14,79.38,77.36,79.47,77.36,1841023.0,18555.6201,VRTX
2014-01-15,78.77,79.1,79.22,78.1955,1221610.0,18413.0284,VRTX
2014-01-16,81.0,79.17,81.03,78.7701,1503203.0,18934.3062,VRTX
2014-01-17,82.09,80.98,82.81,80.64,1978362.0,19189.1012,VRTX
2014-01-21,85.48,82.86,85.845,81.75,2638049.0,19981.5369,VRTX
2014-01-22,84.12,85.68,87.77,83.45,2397862.0,19663.6276,VRTX
2014-01-23,83.83,83.35,84.1997,82.485,1251187.0,19595.8381,VRTX
2014-01-24,79.77,83.12,83.12,79.75,1868018.0,18646.7852,VRTX
2014-01-27,79.37,79.75,80.97,77.01,2657122.0,18553.2825,VRTX
2014-01-28,79.3,79.69,81.23,78.99,1340726.0,18536.9195,VRTX
2014-01-29,78.82,78.56,81.75,77.8504,1973687.0,18427.2491,VRTX
2014-01-30,82.15,80.82,84.38,80.05,2458832.0,19205.7665,VRTX
2014-01-31,79.04,80.7,80.995,78.96,1572652.0,18478.6827,VRTX
2014-02-03,77.63,78.5,79.84,77.16,2404491.0,18149.0402,VRTX
2014-02-04,79.15,76.95,79.7,76.78,2141151.0,18504.3995,VRTX
2014-02-05,77.41,78.12,78.73,75.89,1843576.0,18097.6066,VRTX
2014-02-06,78.17,76.45,79.24,76.24,1685274.0,18275.2862,VRTX
2014-02-07,81.41,78.69,81.46,78.23,1466920.0,19032.7626,VRTX
2014-02-10,82.17,81.1,82.3,80.95,1590434.0,19210.4423,VRTX
2014-02-11,84.98,82.28,85.0,81.56,1439008.0,20035.8996,VRTX
2014-02-12,83.9,84.54,85.89,83.49,1265750.0,19781.2659,VRTX
2014-02-13,85.0,83.39,85.65,82.03,1492749.0,20040.6151,VRTX
2014-02-14,81.61,84.38,84.98,81.05,1774106.0,19241.3482,VRTX
2014-02-18,82.0,82.03,83.3,81.92,2043449.0,19333.2993,VRTX
2014-02-19,82.6,81.96,84.41,81.61,1242590.0,19474.7624,VRTX
2014-02-20,84.01,83.07,84.46,81.86,1234439.0,19807.2009,VRTX
2014-02-21,84.81,84.44,86.12,83.48,1911497.0,19995.8184,VRTX
2014-02-24,83.95,85.29,85.29,83.76,1287642.0,19793.0545,VRTX
