Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP,Ticker
2014-01-02,31.27,31.38,31.58,31.167,2749463.0,18222.7662,WY
2014-01-03,31.34,31.18,31.59,31.18,1945874.0,18263.5591,WY
2014-01-06,31.02,31.41,31.43,30.8,3340883.0,18077.0773,WY
2014-01-07,31.11,30.99,31.28,30.49,4501212.0,18129.5253,WY
2014-01-08,30.82,31.0,31.04,30.5722,4596574.0,17960.5262,WY
2014-01-09,31.0,30.98,31.05,30.67,2776039.0,18065.4222,WY
2014-01-10,31.06,31.11,31.32,30.98,2137604.0,18100.3875,WY
2014-01-13,30.58,30.91,31.04,30.48,2062719.0,17820.6648,WY
2014-01-14,30.94,30.69,31.08,30.62,2140825.0,18030.4568,WY
2014-01-15,31.05,30.99,31.21,30.84,2083279.0,18094.56,WY
2014-01-16,31.17,31.01,31.3,31.0,2552640.0,18164.4906,WY
2014-01-17,30.97,31.23,31.25,30.9,2515728.0,18047.9395,WY
2014-01-21,31.15,31.04,31.23,30.9,2417125.0,18152.8355,WY
2014-01-22,31.11,31.17,31.36,31.06,2194241.0,18129.5253,WY
2014-01-23,30.56,30.9,31.06,30.53,4262858.0,17809.0097,WY
2014-01-24,30.19,30.41,30.615,30.16,4907382.0,17593.3902,WY
2014-01-27,30.33,30.22,30.679,30.11,4263590.0,17674.976,WY
2014-01-28,30.73,30.46,31.05,30.45,3821639.0,17908.0782,WY
2014-01-29,30.54,30.52,30.84,30.4,2868542.0,17797.3546,WY
2014-01-30,30.77,30.75,30.89,30.58,2776920.0,17931.3884,WY
2014-01-31,29.88,29.93,30.27,29.66,6995696.0,17412.736,WY
2014-02-03,29.39,29.88,30.12,29.19,4851591.0,17127.1857,WY
2014-02-04,29.41,29.44,29.65,29.22,3551102.0,17138.8408,WY
2014-02-05,29.07,29.32,29.33,28.84,5450690.0,16940.704,WY
2014-02-06,29.51,29.12,29.61,29.06,2923506.0,17197.1164,WY
2014-02-07,29.88,29.64,29.9,29.35,3383087.0,17412.736,WY
2014-02-10,30.01,29.84,30.03,29.6,2944207.0,17488.4942,WY
2014-02-11,30.19,29.97,30.24,29.84,2543838.0,17593.3902,WY
2014-02-12,30.28,30.23,30.31,30.01,2673286.0,17645.8382,WY
2014-02-13,30.39,30.11,30.45,30.08,2301804.0,17709.9413,WY
2014-02-14,30.45,30.32,30.53,30.27,2175070.0,17744.9066,WY
2014-02-18,30.51,30.44,30.55,30.3,2122682.0,17812.6426,WY
2014-02-19,30.35,30.4,30.59,30.25,3485104.0,17719.2299,WY
2014-02-20,30.45,30.35,30.6,30.291,2719475.0,17777.6129,WY
2014-02-21,30.18,30.42,30.43,30.13,2989518.0,17619.9789,WY
2014-02-24,30.21,30.19,30.43,30.18,3287009.0,17637.4938,WY
2014-02-25,29.92,30.22,30.23,29.86,4589022.0,17468.1832,WY
2014-02-26,29.85,29.78,30.07,29.7,3814421.0,17427.3151,WY
2014-02-27,29.51,29.89,29.98,29.38,4603301.0,17228.813,WY
2014-02-28,29.51,29.55,29.65,29.32,5394170.0,17228.813,WY
2014-03-03,29.28,29.37,29.53,29.19,4771956.0,17094.5322,WY
2014-03-04,29.62,29.6,29.64,29.43,5296133.0,17293.0343,WY
2014-03-05,29.82,29.59,29.86,29.39,5059277.0,17409.8002,WY
2014-03-06,30.16,29.84,30.29,29.84,2912009.0,17608.3023,WY
2014-03-07,29.79,30.23,30.28,29.78,3323435.0,17392.2853,WY
2014-03-10,29.67,29.79,29.85,29.6,3561453.0,17322.2257,WY
2014-03-11,29.6,29.76,29.76,29.48,2474645.0,17281.3577,WY
2014-03-12,29.6,29.49,29.75,29.49,2549329.0,17281.3577,WY
2014-03-13,29.78,29.68,29.86,29.37,5842592.0,17386.447,WY
2014-03-14,29.86,29.75,30.05,29.75,3710010.0,17433.1534,WY
2014-03-17,29.33,29.97,30.02,29.3,4801603.0,17123.7237,WY
2014-03-18,29.61,29.37,29.62,29.27,4133511.0,17287.196,WY
2014-03-19,29.17,29.68,29.68,29.01,4369598.0,17030.3109,WY
2014-03-20,29.28,29.11,29.28,28.89,3591395.0,17094.5322,WY
2014-03-21,29.29,29.47,29.63,29.18,4288152.0,17100.3705,WY
2014-03-24,29.23,29.33,29.35,29.1,2511115.0,17065.3407,WY
2014-03-25,29.25,29.37,29.47,29.06,2475506.0,17077.0173,WY
2014-03-26,28.89,29.31,29.3699,28.88,2459755.0,16866.8386,WY
