,AMD US Equity,AMD US Equity,AMD US Equity,AMD US Equity,AMD US Equity,AMD US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-01-02,3.95,3.85,3.98,3.84,20569754.0,2858.563
2014-01-03,4.0,3.98,4.0,3.88,22922478.0,2894.7473
2014-01-06,4.13,4.01,4.18,3.99,42430476.0,2988.8266
2014-01-07,4.18,4.19,4.25,4.11,42963496.0,3025.0109
2014-01-08,4.18,4.23,4.26,4.14,30695472.0,3025.0109
2014-01-09,4.09,4.2,4.23,4.05,30691932.0,2959.8791
2014-01-10,4.17,4.09,4.2,4.07,20889496.0,3017.7741
2014-01-13,4.13,4.19,4.2,4.09,22882208.0,2988.8266
2014-01-14,4.3,4.14,4.3,4.13,42473444.0,3111.8534
2014-01-15,4.47,4.34,4.6,4.32,66673256.0,3234.8801
2014-01-16,4.38,4.5,4.51,4.32,47551923.0,3169.7483
2014-01-17,4.18,4.1501,4.35,4.11,45888891.0,3025.0109
2014-01-21,4.17,4.31,4.34,4.13,59709005.0,3017.7741
2014-01-22,3.67,3.79,3.82,3.66,86595469.0,2655.9307
2014-01-23,3.62,3.67,3.68,3.58,29894494.0,2619.7463
2014-01-24,3.47,3.6,3.61,3.41,48345256.0,2511.1933
2014-01-27,3.41,3.48,3.49,3.35,31356889.0,2467.7721
2014-01-28,3.54,3.43,3.57,3.41,28005291.0,2561.8514
2014-01-29,3.48,3.52,3.56,3.45,21791126.0,2518.4302
2014-01-30,3.48,3.51,3.52,3.45,17113312.0,2518.4302
2014-01-31,3.43,3.45,3.47,3.43,13991089.0,2482.2458
2014-02-03,3.33,3.43,3.44,3.33,22362916.0,2409.8771
2014-02-04,3.37,3.35,3.43,3.3,22702814.0,2438.8246
2014-02-05,3.31,3.36,3.37,3.2915,14917677.0,2395.4034
2014-02-06,3.41,3.32,3.46,3.32,16120622.0,2467.7721
2014-02-07,3.47,3.46,3.5,3.42,23147052.0,2511.1933
2014-02-10,3.63,3.5,3.64,3.45,21270432.0,2626.9832
2014-02-11,3.7,3.66,3.75,3.65,34241678.0,2677.6413
2014-02-12,3.69,3.71,3.73,3.63,18344812.0,2670.4044
2014-02-13,3.7,3.64,3.71,3.64,13369550.0,2677.6413
2014-02-14,3.69,3.7,3.72,3.64,12407198.0,2670.4044
2014-02-18,3.7,3.69,3.72,3.65,11969897.0,2686.6279
2014-02-19,3.72,3.7,3.74,3.68,14191899.0,2701.1503
2014-02-20,3.69,3.72,3.75,3.66,13333914.0,2679.3668
2014-02-21,3.69,3.71,3.75,3.66,13621903.0,2679.3668
2014-02-24,3.71,3.71,3.73,3.7,10724503.0,2693.8891
2014-02-25,3.69,3.73,3.735,3.66,9175398.0,2679.3668
2014-02-26,3.7,3.7,3.72,3.63,13223358.0,2686.6279
2014-02-27,3.71,3.69,3.77,3.68,18237447.0,2693.8891
2014-02-28,3.71,3.73,3.77,3.7,14655246.0,2693.8891
2014-03-03,3.67,3.66,3.7,3.6,19564949.0,2664.8445
2014-03-04,3.7,3.7,3.73,3.68,10535359.0,2686.6279
2014-03-05,3.71,3.7,3.73,3.69,10750403.0,2693.8891
2014-03-06,3.73,3.72,3.745,3.71,10835025.0,2708.4114
2014-03-07,3.95,3.75,4.02,3.75,55470575.0,2868.1569
2014-03-10,3.81,4.04,4.06,3.8,42225664.0,2766.5007
2014-03-11,3.85,3.86,4.01,3.83,34992924.0,2795.5453
