,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-01-02,76.27,76.04,76.5,75.9,5212460.0,134027.7199
2014-01-03,76.11,76.3,76.697,76.01,4061042.0,133746.5552
2014-01-06,75.82,76.53,76.84,75.49,6816693.0,133236.9441
2014-01-07,76.34,76.12,76.7,75.9,4511157.0,134150.7295
2014-01-08,75.22,76.13,76.28,74.81,10914858.0,132182.5763
2014-01-09,74.9,75.46,75.46,74.32,8077726.0,131620.2468
2014-01-10,75.39,75.08,75.51,74.56,6255271.0,132481.3138
2014-01-13,73.27,74.9,75.13,73.045,8248787.0,128755.8809
2014-01-14,74.45,73.71,74.58,73.29,6010335.0,130829.4709
2014-01-15,74.28,74.3,75.1,74.25,7299883.0,130530.7334
2014-01-16,74.21,74.39,74.4,73.72,5608249.0,130407.7238
2014-01-17,73.98,74.43,74.63,73.68,6688299.0,130003.5495
2014-01-21,74.2,73.99,74.88,73.3,7548136.0,130390.151
2014-01-22,75.31,74.08,75.43,74.05,6800281.0,132340.7314
2014-01-23,74.79,74.53,74.95,74.15,6281005.0,131426.946
2014-01-24,72.72,74.1,74.23,72.72,7338729.0,127789.3771
2014-01-27,72.25,72.47,72.91,71.715,7416257.0,126427.1899
2014-01-28,72.88,72.26,73.0,72.24,5509623.0,127529.6
2014-01-29,71.33,71.97,72.24,71.12,8609208.0,124817.3212
2014-01-30,73.22,72.09,73.625,72.0,7550625.0,128124.5515
2014-01-31,72.61,72.2,73.32,71.8,7750354.0,127057.1385
2014-02-03,69.99,72.66,72.73,69.85,11966489.0,122472.5124
2014-02-04,71.05,70.94,71.25,69.88,11829723.0,124327.3612
2014-02-05,71.76,72.05,72.05,70.37,11631868.0,125727.7597
2014-02-06,75.56,75.61,76.73,74.78,19822855.0,132385.5842
2014-02-07,75.67,75.08,75.7,74.61,11526738.0,132578.3107
2014-02-10,77.06,75.67,77.305,75.57,8785647.0,135013.6729
2014-02-11,77.79,77.15,77.92,77.11,8186408.0,136292.676
2014-02-12,77.91,77.66,78.01,77.64,6329539.0,136502.9231
2014-02-13,77.9,77.52,78.24,77.2,5955510.0,136485.4025
2014-02-14,79.23,77.88,79.47,77.77,7002635.0,138815.6411
2014-02-18,79.58,79.5,80.0,79.43,6140692.0,139428.8617
2014-02-19,78.87,79.5,79.78,78.8,7024022.0,138184.8998
2014-02-20,79.19,79.21,79.65,78.84,5748753.0,138745.5587
2014-02-21,80.13,79.07,80.45,78.8,8253018.0,140392.4942
2014-02-24,80.73,80.5,81.59,80.4601,6635969.0,141443.7297
2014-02-25,80.21,80.72,81.35,80.04,6065203.0,140532.659
2014-02-26,80.08,80.63,80.95,79.59,5776068.0,140304.8913
2014-02-27,80.48,80.0,80.5949,79.86,4919943.0,141005.7149
2014-02-28,80.81,80.84,81.59,80.17,7031874.0,141583.8944
2014-03-03,79.46,80.3,80.65,78.845,8451328.0,139218.6147
2014-03-04,81.71,80.6,82.17,80.54,8021840.0,143160.7476
2014-03-05,82.68,82.22,83.21,82.02,7710268.0,144860.2449
2014-03-06,83.34,82.86,83.42,82.84,5774783.0,146016.6039
2014-03-07,82.21,83.6,83.65,82.015,7478961.0,144036.7771
2014-03-10,81.97,82.18,82.425,81.695,5211542.0,143616.283
2014-03-11,81.05,82.19,82.33,80.72,7174290.0,142004.3886
2014-03-12,81.38,80.59,81.39,80.05,6378361.0,142582.5681
2014-03-13,79.93,81.75,81.98,79.66,8570629.0,140042.0824
2014-03-14,80.07,79.85,80.41,79.57,7754672.0,140287.3707
2014-03-17,81.39,80.5,81.6,80.31,7282393.0,142600.0887
2014-03-18,81.99,81.53,82.25,81.2785,5395913.0,143651.3241
2014-03-19,80.52,82.25,82.3,80.04,6403205.0,141075.7973
2014-03-20,80.81,80.59,81.02,79.76,5968527.0,141583.8944
2014-03-21,80.35,81.96,82.05,80.05,7841172.0,140777.9472
2014-03-24,79.49,80.71,80.93,79.38,7643653.0,139271.1764
2014-03-25,79.55,80.24,80.34,78.6,6693822.0,139376.3
2014-03-26,78.62,79.93,80.24,78.61,6752012.0,137746.885
2014-03-27,78.48,78.295,78.615,77.28,9194723.0,137501.5968
2014-03-28,78.99,78.73,79.46,78.31,5281656.0,138395.1469
2014-03-31,80.07,79.7,80.39,79.66,6848852.0,140287.3707
2014-04-01,81.57,80.39,81.61,80.39,6555910.0,142915.4593
2014-04-02,81.67,81.72,81.97,81.3,6073524.0,143090.6652
2014-04-03,81.69,81.92,82.24,81.14,4930098.0,143125.7064
2014-04-04,80.43,82.32,82.85,80.4,8894844.0,140918.112
2014-04-07,79.13,80.42,80.8,78.56,9001326.0,138640.4352
2014-04-08,79.57,79.27,79.65,78.12,7085161.0,139411.3412
2014-04-09,80.47,79.97,80.53,79.26,7005696.0,140988.1943
2014-04-10,77.51,80.92,80.92,77.48,10160154.0,135802.0994
2014-04-11,77.01,77.51,77.95,76.81,9206216.0,134926.0699
2014-04-14,77.62,77.7,77.83,76.85,5964923.0,135994.8259
2014-04-15,77.66,77.89,78.209,76.31,6404957.0,136064.9083
2014-04-16,78.95,78.38,78.98,78.1901,5960869.0,138325.0645
