,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-01-02,88.42,89.2,89.69,87.66,1314064.0,11352.0576
2014-01-03,87.81,88.4,88.99,87.775,524517.0,11273.7409
2014-01-06,87.82,88.24,88.25,87.29,761494.0,11275.0248
2014-01-07,88.56,88.0,88.93,87.66,658321.0,11370.0319
2014-01-08,89.04,88.54,89.34,88.01,1932872.0,11431.6581
2014-01-09,87.84,89.35,89.39,87.67,906730.0,11277.5926
2014-01-10,88.32,88.28,88.47,87.42,1850567.0,11339.2188
2014-01-13,89.12,88.15,89.13,87.59,1573309.0,11441.9291
2014-01-14,90.57,89.24,90.73,88.955,1402772.0,11628.0915
2014-01-15,90.67,90.91,91.38,90.25,1952754.0,11640.9303
2014-01-16,90.72,90.64,90.862,89.98,927528.0,11647.3497
2014-01-17,90.01,90.47,90.83,89.91,934893.0,11556.1943
2014-01-21,90.65,90.54,90.82,89.69,803697.0,11638.3626
2014-01-22,91.47,90.72,92.55,90.69,1691741.0,11743.6406
2014-01-23,92.78,91.37,92.78,90.5,2028340.0,11911.8288
2014-01-24,89.95,92.68,92.72,89.9,1813085.0,11548.491
2014-01-27,89.6,89.95,90.79,88.81,1562915.0,11503.5553
2014-01-28,89.93,89.6,90.46,89.54,1190505.0,11545.9233
2014-01-29,90.57,89.43,91.01,89.04,1245146.0,11628.0915
2014-01-30,92.29,91.01,92.58,90.58,1098470.0,11848.9187
2014-01-31,92.75,91.08,93.79,90.18,856896.0,11907.9771
2014-02-03,91.99,92.86,93.275,91.31,1632137.0,11810.4023
2014-02-04,91.62,92.2,92.739,90.06,1596547.0,11762.8988
2014-02-05,91.72,91.75,91.99,90.82,847472.0,11775.7376
2014-02-06,92.0,92.26,93.49,91.08,753920.0,11811.6862
2014-02-07,92.91,91.29,93.13,89.82,1605226.0,11928.5192
