,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-01-02,37.73,37.7,38.13,37.5,2228357.0,13653.4148
2014-01-03,39.95,38.44,40.15,38.21,7080683.0,14456.7697
2014-01-06,39.36,40.11,40.5,39.14,4640020.0,14243.2655
2014-01-07,38.69,39.58,39.98,38.45,4528381.0,14000.8115
2014-01-08,41.02,39.0,41.06,38.65,7799657.0,14843.9723
2014-01-09,43.8,44.13,46.19,43.71,24475709.0,15849.9753
2014-01-10,45.08,44.07,45.75,44.005,12793355.0,16313.1709
2014-01-13,44.6,45.31,45.9,44.3401,5529215.0,16139.4726
2014-01-14,46.75,44.81,46.78,44.75,8855385.0,16917.4965
2014-01-15,46.5,46.5,46.77,45.51,8506238.0,16827.0286
2014-01-16,47.21,46.08,47.24,46.04,4673466.0,17083.9574
2014-01-17,47.07,47.3,47.86,46.42,5887006.0,17033.2954
2014-01-21,47.91,47.55,47.92,46.89,7026789.0,17337.2675
2014-01-22,49.18,47.9,49.2,47.87,6964544.0,17796.8444
2014-01-23,48.43,48.1,48.74,47.0,11051405.0,17525.4407
2014-01-24,46.13,48.09,48.23,45.68,10896346.0,16693.1361
2014-01-27,45.27,46.14,46.97,43.88,7611286.0,16381.9265
2014-01-28,46.03,45.35,46.83,45.35,6294435.0,16656.9489
2014-01-29,45.43,45.54,46.72,45.1,5199121.0,16439.826
2014-01-30,46.43,45.97,46.75,45.76,4303662.0,16801.6976
2014-01-31,45.84,46.29,46.51,45.82,4731436.0,16588.1933
2014-02-03,43.82,45.91,45.96,43.25,9529208.0,15857.2127
2014-02-04,43.97,44.17,44.37,43.511,5430168.0,15911.4935
2014-02-05,43.61,43.49,44.02,42.96,4482108.0,15781.2197
2014-02-06,45.03,43.64,45.93,43.64,4084094.0,16295.0773
2014-02-07,45.54,45.03,46.01,44.88,3333388.0,16479.6318
2014-02-10,45.11,45.45,45.84,44.46,2780457.0,16324.0271
2014-02-11,44.01,45.43,45.43,43.3,6445292.0,15925.9683
2014-02-12,44.49,44.06,44.7201,43.35,4867734.0,16099.6667
2014-02-13,45.1,43.99,45.14,43.68,3666490.0,16320.4083
2014-02-14,44.5,45.02,45.07,44.18,3373274.0,16103.2854
2014-02-18,43.66,44.47,44.81,43.58,5539281.0,15799.3133
2014-02-19,43.28,43.53,43.84,43.0701,4052561.0,15661.8021
2014-02-20,45.69,43.33,45.85,43.33,5218664.0,16976.4076
2014-02-21,45.6,45.46,46.73,45.36,4131389.0,16942.9675
2014-02-24,46.1,45.64,46.54,45.25,3347789.0,17128.7457
2014-02-25,47.26,46.89,48.45,46.65,6162674.0,17559.751
2014-02-26,46.81,47.25,47.54,46.42,3399287.0,17392.5506
2014-02-27,46.51,46.81,47.35,46.42,3099768.0,17281.0837
2014-02-28,44.96,45.22,45.95,44.74,9395753.0,16705.1715
2014-03-03,44.01,44.26,44.26,43.38,4780425.0,16352.193
