,VLTO US Equity,VLTO US Equity,VLTO US Equity,VLTO US Equity,VLTO US Equity,VLTO US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2023-09-27,80.6,77.25,83.9,77.25,850237.0,
2023-09-28,84.65,81.5,87.5,81.01,926153.0,
2023-09-29,84.56,85.94,86.99,84.5,991246.0,
2023-10-02,85.12,83.11,89.0,81.53,23045074.0,20949.5106
2023-10-03,77.05,82.65,83.25,76.0115,12671218.0,18963.3434
2023-10-04,77.8,76.67,80.62,76.35,8358286.0,19147.9315
2023-10-05,74.45,76.3,76.99,72.65,15351915.0,18323.4383
2023-10-06,77.98,73.04,78.47,73.04,7781111.0,19192.2326
2023-10-09,74.61,76.75,78.0,73.734,7000973.0,18362.8171
2023-10-10,75.0,73.96,75.51,72.5,5385623.0,18458.8028
2023-10-11,74.47,74.44,76.56,73.61,4602585.0,18328.3606
2023-10-12,74.23,73.75,75.3,72.75,4668757.0,18269.2924
2023-10-13,71.85,73.63,73.99,70.47,5286581.0,17683.5331
2023-10-16,74.21,71.62,74.84,71.62,4555029.0,18264.3701
2023-10-17,74.48,73.13,75.125,73.01,2584906.0,18330.8218
2023-10-18,72.45,73.5,73.9305,72.2709,2959766.0,17831.2035
2023-10-19,70.29,71.82,72.74,69.95,2867355.0,17299.59
2023-10-20,69.93,70.4,70.78,68.9,3151456.0,17210.9878
2023-10-23,71.9,69.3,72.47,67.65,4089800.0,17695.839
2023-10-24,72.01,72.29,73.71,71.79,3432182.0,17722.9119
2023-10-25,70.79,71.3,72.335,69.78,3298234.0,17422.6487
2023-10-26,70.0,66.33,72.23,65.51,3537099.0,17241.564
2023-10-27,67.99,68.64,69.44,67.75,3411996.0,16746.4848
2023-10-30,68.36,68.48,69.33,67.42,3393797.0,16837.6188
2023-10-31,69.0,68.92,69.73,67.65,3370678.0,16995.2559
2023-11-01,67.51,68.16,69.19,67.47,2503527.0,16628.2569
2023-11-02,70.28,68.0,70.54,66.69,2848740.0,17310.5302
2023-11-03,70.8,70.47,71.09,69.06,2225964.0,17438.6104
2023-11-06,68.26,70.05,70.07,68.08,2854957.0,16812.988
2023-11-07,70.07,67.75,70.25,67.36,2133633.0,17258.8056
2023-11-08,69.8,69.8,70.32,69.55,2053773.0,17192.3024
2023-11-09,69.63,69.09,70.32,69.09,2020509.0,17150.43
2023-11-10,70.55,69.31,70.78,69.14,1645264.0,17377.0334
2023-11-13,72.98,70.28,73.2,70.18,2964323.0,17975.562
2023-11-14,73.63,73.85,74.1,73.01,2814594.0,18135.6622
2023-11-15,73.91,73.47,74.64,73.01,3437210.0,18204.6285
2023-11-16,70.88,72.74,73.06,70.58,2446603.0,17458.3151
2023-11-17,70.99,70.9,71.37,70.06,1500407.0,17485.409
2023-11-20,70.76,71.0,71.35,70.58,1814335.0,17428.7581
2023-11-21,72.31,70.8,72.8,70.47,1767834.0,17810.5356
2023-11-22,72.94,72.8,73.83,72.34,1906288.0,17965.7097
2023-11-24,74.01,72.66,74.13,72.23,823414.0,18229.2593
2023-11-27,73.5,73.82,73.99,73.0,1649887.0,18103.6422
2023-11-28,73.32,72.925,74.539,72.85,2062140.0,18059.3067
2023-11-29,74.22,73.4,75.25,73.24,2519236.0,18280.984
2023-11-30,77.25,74.7,77.62,74.7,8454137.0,19027.2974
2023-12-01,76.51,77.17,77.17,75.97,2039378.0,18845.0294
2023-12-04,75.78,75.97,76.92,75.49,1625807.0,18665.2246
2023-12-05,75.55,75.4,76.14,75.2191,1411618.0,18608.5737
2023-12-06,75.83,75.55,76.49,75.02,2001213.0,18677.54
2023-12-07,74.63,75.8,76.29,74.62,1295954.0,18381.9703
2023-12-08,75.43,74.6,75.645,74.27,1131349.0,18579.0167
2023-12-11,76.82,75.0,77.36,74.65,1649031.0,18921.3849
2023-12-12,77.45,76.37,77.88,75.78,2329324.0,19076.559
2023-12-13,77.74,77.17,78.7041,76.3,3854108.0,19147.9884
2023-12-14,79.33,78.51,79.72,77.63,3230981.0,19539.6182
2023-12-15,78.85,78.87,79.93,78.03,6727619.0,19421.3903
2023-12-18,80.84,79.19,80.92,78.43,1954959.0,19911.5433
2023-12-19,83.44,81.6,83.62,80.99,2902975.0,20551.9443
2023-12-20,80.64,83.55,83.885,80.62,1704062.0,19862.2817
2023-12-21,81.12,81.32,81.98,79.8103,919333.0,19980.5096
2023-12-22,81.64,80.64,81.79,80.03,712712.0,20108.5898
2023-12-26,82.13,81.7,82.335,81.39,700231.0,20229.2807
2023-12-27,83.22,82.14,83.5,81.98,1018083.0,20497.7565
2023-12-28,83.04,83.0,83.44,82.27,799382.0,20453.4211
2023-12-29,82.26,82.84,83.36,81.86,675034.0,20261.3008
