,AMD US Equity,AMD US Equity,AMD US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,3.95,2858.563,20569754.0
2014-01-03,4.0,2894.7473,22922478.0
2014-01-06,4.13,2988.8266,42430476.0
2014-01-07,4.18,3025.0109,42963496.0
2014-01-08,4.18,3025.0109,30695472.0
2014-01-09,4.09,2959.8791,30691932.0
2014-01-10,4.17,3017.7741,20889496.0
2014-01-13,4.13,2988.8266,22882208.0
2014-01-14,4.3,3111.8534,42473444.0
2014-01-15,4.47,3234.8801,66673256.0
2014-01-16,4.38,3169.7483,47551923.0
2014-01-17,4.18,3025.0109,45888891.0
2014-01-21,4.17,3017.7741,59709005.0
2014-01-22,3.67,2655.9307,86595469.0
2014-01-23,3.62,2619.7463,29894494.0
2014-01-24,3.47,2511.1933,48345256.0
2014-01-27,3.41,2467.7721,31356889.0
2014-01-28,3.54,2561.8514,28005291.0
2014-01-29,3.48,2518.4302,21791126.0
2014-01-30,3.48,2518.4302,17113312.0
2014-01-31,3.43,2482.2458,13991089.0
2014-02-03,3.33,2409.8771,22362916.0
2014-02-04,3.37,2438.8246,22702814.0
2014-02-05,3.31,2395.4034,14917677.0
2014-02-06,3.41,2467.7721,16120622.0
2014-02-07,3.47,2511.1933,23147052.0
2014-02-10,3.63,2626.9832,21270432.0
2014-02-11,3.7,2677.6413,34241678.0
2014-02-12,3.69,2670.4044,18344812.0
2014-02-13,3.7,2677.6413,13369550.0
2014-02-14,3.69,2670.4044,12407198.0
2014-02-18,3.7,2686.6279,11969897.0
2014-02-19,3.72,2701.1503,14191899.0
2014-02-20,3.69,2679.3668,13333914.0
2014-02-21,3.69,2679.3668,13621903.0
2014-02-24,3.71,2693.8891,10724503.0
2014-02-25,3.69,2679.3668,9175398.0
2014-02-26,3.7,2686.6279,13223358.0
2014-02-27,3.71,2693.8891,18237447.0
2014-02-28,3.71,2693.8891,14655246.0
2014-03-03,3.67,2664.8445,19564949.0
2014-03-04,3.7,2686.6279,10535359.0
2014-03-05,3.71,2693.8891,10750403.0
2014-03-06,3.73,2708.4114,10835025.0
2014-03-07,3.95,2868.1569,55470575.0
2014-03-10,3.81,2766.5007,42225664.0
2014-03-11,3.85,2795.5453,34992924.0
2014-03-12,3.91,2977.5335,14745331.0
2014-03-13,3.86,2939.4576,19802985.0
2014-03-14,3.85,2931.8424,18169146.0
2014-03-17,3.8,2893.7666,20004146.0
2014-03-18,3.89,2962.3031,15273746.0
2014-03-19,3.98,3030.8397,28516911.0
2014-03-20,4.05,3084.1459,23600569.0
2014-03-21,4.04,3076.5308,23985330.0
2014-03-24,4.05,3084.1459,20670291.0
2014-03-25,4.05,3084.1459,14517029.0
2014-03-26,4.05,3084.1459,14808603.0
2014-03-27,3.91,2977.5335,24531988.0
2014-03-28,3.88,2954.688,13189192.0
2014-03-31,4.01,3053.6852,15385970.0
2014-04-01,4.07,3099.3763,18778751.0
2014-04-02,4.06,3091.7611,14839491.0
2014-04-03,4.0,3046.0701,16802336.0
2014-04-04,4.01,3053.6852,23426954.0
2014-04-07,3.88,2954.688,24874646.0
2014-04-08,3.99,3038.4549,17345569.0
2014-04-09,3.98,3030.8397,11276634.0
2014-04-10,3.85,2931.8424,21364259.0
2014-04-11,3.65,2779.5389,34428811.0
2014-04-14,3.71,2825.23,22736913.0
2014-04-15,3.79,2886.1514,21754258.0
2014-04-16,3.76,2863.3059,18173275.0
2014-04-17,3.69,2809.9996,32048060.0
2014-04-21,4.12,3137.4522,102651524.0
2014-04-22,4.3,3274.5253,52806842.0
2014-04-23,4.25,3236.4494,29136254.0
2014-04-24,4.28,3259.295,27532799.0
2014-04-25,4.05,3084.1459,37810215.0
2014-04-28,3.96,3015.6094,31737060.0
2014-04-29,4.03,3068.9156,14584689.0
2014-04-30,4.09,3114.6066,18419193.0
2014-05-01,4.2,3198.3736,37807284.0
2014-05-02,4.12,3139.6125,14479712.0
2014-05-05,4.09,3116.7512,9015375.0
2014-05-06,4.01,3055.7879,17929309.0
2014-05-07,3.97,3025.3062,22381223.0
2014-05-08,3.93,2994.8245,14554485.0
2014-05-09,3.87,2949.102,15982941.0
2014-05-12,3.97,3025.3062,14788132.0
2014-05-13,4.03,3071.0287,11224010.0
2014-05-14,3.98,3032.9266,10353036.0
2014-05-15,3.96,3017.6858,18005650.0
2014-05-16,4.02,3063.4083,17166629.0
2014-05-19,4.09,3116.7512,18175213.0
2014-05-20,4.05,3086.2696,15648653.0
2014-05-21,4.1,3124.3717,13378582.0
2014-05-22,4.01,3055.7879,11903117.0
2014-05-23,4.02,3063.4083,9831127.0
2014-05-27,4.04,3078.6492,6922762.0
2014-05-28,4.0,3048.1675,12297671.0
2014-05-29,4.03,3071.0287,8877728.0
2014-05-30,4.0,3048.1675,10030744.0
2014-06-02,3.97,3025.3062,10861890.0
2014-06-03,3.94,3002.445,10858764.0
2014-06-04,4.04,3078.6492,13286017.0
2014-06-05,4.08,3109.1308,13723807.0
2014-06-06,4.06,3093.89,8471954.0
2014-06-09,4.07,3101.5104,7598296.0
2014-06-10,4.2,3200.5759,28322067.0
2014-06-11,4.29,3269.1596,20596161.0
2014-06-12,4.29,3269.1596,26709456.0
2014-06-13,4.28,3261.5392,17741533.0
2014-06-16,4.44,3383.4659,26192762.0
2014-06-17,4.47,3406.3272,19445026.0
2014-06-18,4.4,3352.9842,14702403.0
2014-06-19,4.36,3322.5026,10889007.0
2014-06-20,4.1,3124.3717,54721590.0
2014-06-23,4.01,3055.7879,49638333.0
2014-06-24,3.94,3002.445,20402398.0
2014-06-25,3.96,3017.6858,13844703.0
2014-06-26,4.03,3071.0287,21640483.0
2014-06-27,4.11,3131.9921,16043832.0
2014-06-30,4.19,3192.9554,25845516.0
2014-07-01,4.22,3215.8167,29412634.0
2014-07-02,4.34,3307.2617,20486477.0
2014-07-03,4.24,3231.0575,22521686.0
2014-07-07,4.26,3246.2984,21168195.0
