,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2022-01-19,42.0,38.0,43.0,38.0,129922.0,13719.888
2022-01-20,45.0,40.95,48.37,40.95,153414.0,14699.88
2022-01-21,45.0,43.0,49.95,42.95,329486.0,14699.88
2022-01-24,42.8,44.92,45.0,41.88,110004.0,13981.2192
2022-01-25,41.8975,42.5,44.92,41.33,23472.0,13686.4049
2022-01-26,43.22,45.01,45.06,42.25,90760.0,14118.4181
2022-01-27,45.76,47.26,49.62,43.75,151618.0,14948.1446
2022-01-28,46.75,44.55,47.6,44.15,43609.0,15271.542
2022-01-31,48.0,46.0,48.0,46.0,71314.0,15679.872
2022-02-01,49.78,47.5,50.0,47.05,298808.0,16261.3339
2022-02-02,53.01,50.0348,56.23,49.8,23860902.0,17316.4553
2022-02-03,53.62,52.19,56.57,50.3,8425481.0,17515.7203
2022-02-04,50.14,52.6,54.33,50.12,6757988.0,16378.9298
2022-02-07,46.07,50.0,50.04,46.0,9432628.0,15049.4076
2022-02-08,45.5,45.13,47.56,44.17,7277450.0,14863.2091
2022-02-09,47.31,44.75,47.45,43.88,4393344.0,15454.4709
2022-02-10,47.05,45.51,48.5,45.38,2449951.0,15369.5382
2022-02-11,48.09,46.76,48.91,46.06,3456845.0,15709.2687
2022-02-14,48.11,48.19,49.0,46.99,2155058.0,15715.802
2022-02-15,48.0,47.7,48.45,47.2,2359830.0,15679.869
2022-02-16,47.2,47.72,48.47,46.95,5855330.0,15418.5378
2022-02-17,45.29,46.32,47.08,45.19,3142569.0,14794.6097
2022-02-18,45.41,45.15,45.9,44.8,2018663.0,14833.8094
2022-02-22,43.54,45.41,45.68,43.49,2611185.0,14222.9478
2022-02-23,43.09,43.69,43.99,42.18,2791223.0,14075.949
2022-02-24,44.32,43.15,44.59,42.22,2447912.0,14477.7457
2022-02-25,43.91,44.3,44.93,43.74,2040943.0,14343.8135
2022-02-28,45.98,43.3,46.62,42.46,5534951.0,15020.0078
2022-03-01,47.79,45.62,48.05,45.35,4212869.0,15611.2695
2022-03-02,49.46,48.0,50.3,47.33,3517056.0,16156.7983
2022-03-03,49.52,49.82,50.33,47.547,2072389.0,16176.3982
2022-03-04,51.0,49.17,51.04,48.25,2544707.0,16659.8608
2022-03-07,51.65,51.06,52.58,49.87,2727118.0,16872.1923
2022-03-08,52.32,51.18,55.32,50.85,3873722.0,17091.0572
2022-03-09,51.33,52.44,53.68,50.59,3050627.0,16767.6599
2022-03-10,51.32,50.57,51.64,49.27,2692839.0,16764.3932
2022-03-11,49.32,51.42,51.84,48.29,3034078.0,16111.0654
2022-03-14,50.95,51.86,51.86,48.59,2916589.0,16643.5276
2022-03-15,51.29,51.34,51.59,49.9,2117498.0,16754.5933
2022-03-16,51.77,51.71,52.4,50.35,2989796.0,16911.392
2022-03-17,50.99,51.88,52.71,50.91,2244591.0,16656.5941
2022-03-18,49.01,50.65,51.41,48.88,9663926.0,16009.7996
2022-03-21,49.22,48.91,49.43,48.6,2451957.0,16078.399
2022-03-22,51.14,50.35,52.05,50.01,3841909.0,16705.5937
2022-03-23,50.99,50.7,51.77,50.7,2396297.0,16656.5941
2022-03-24,52.41,51.18,52.58,50.7671,2335188.0,17120.4569
2022-03-25,53.8,52.24,53.82,52.03,2441194.0,17574.5198
2022-03-28,56.78,54.38,56.85,54.05,3127207.0,18547.9783
2022-03-29,56.33,57.0,57.39,54.63,2201291.0,18400.9796
2022-03-30,57.5,56.17,57.79,55.7,1934119.0,18783.1764
2022-03-31,56.25,58.34,59.08,55.78,3817665.0,18374.8465
2022-04-01,58.02,56.36,58.3,55.7,2156475.0,18953.0416
2022-04-04,58.38,58.36,58.7,57.53,1885309.0,19070.6406
2022-04-05,59.0,58.65,60.32,58.45,2143145.0,19273.1723
2022-04-06,59.6,58.9,60.08,58.37,2559445.0,19469.1706
2022-04-07,60.91,59.76,61.07,59.35,3925803.0,19897.1004
2022-04-08,64.02,61.22,64.9,60.9,4762331.0,20913.0252
2022-04-11,60.68,64.18,64.6615,60.41,3487831.0,19821.9677
2022-04-12,61.87,61.0,63.21,60.88,2552972.0,20210.6978
2022-04-13,64.2,62.04,64.55,61.75,3405742.0,20971.8248
2022-04-14,62.55,64.12,64.72,62.181,1860085.0,20432.8293
2022-04-18,63.31,62.29,64.17,62.29,1216775.0,20681.0939
2022-04-19,66.71,63.63,66.89,62.88,2078885.0,21791.7512
2022-04-20,65.41,67.82,68.68,65.065,2182857.0,21367.0881
2022-04-21,62.67,65.0,66.3,62.15,2493684.0,20472.0289
2022-04-22,62.43,62.5,64.4558,62.29,2030484.0,20393.6296
2022-04-25,62.27,62.36,62.84,59.44,2261675.0,20341.3634
2022-04-26,59.95,61.8,62.22,59.91,2136476.0,19583.503
2022-04-27,60.09,60.01,61.19,59.73,1991612.0,19629.236
2022-04-28,61.31,60.22,61.35,58.8,3355737.0,20027.766
2022-04-29,59.21,61.5,61.86,59.15,2578438.0,19341.7717
2022-05-02,58.2,59.3,59.99,56.9,2488175.0,19011.8411
2022-05-03,59.7,58.45,60.45,58.45,2224296.0,19501.837
2022-05-04,61.81,60.12,62.295,59.8432,2628925.0,20191.0979
