,JPM US Equity,JPM US Equity,JPM US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,58.21,218822.4039,15637267.0
2014-01-03,58.66,220514.039,14220320.0
2014-01-06,59.0,221792.1633,17562447.0
2014-01-07,58.32,219235.9147,17869722.0
2014-01-08,58.87,221303.4687,14694818.0
2014-01-09,58.76,220889.9579,13248583.0
2014-01-10,58.49,219874.9768,12704391.0
2014-01-13,57.7,216905.2174,20773435.0
2014-01-14,57.74,217055.5849,30318950.0
2014-01-15,59.49,223450.3948,35223534.0
2014-01-16,58.99,221572.3448,21691909.0
2014-01-17,58.11,218266.9767,21064942.0
2014-01-21,58.17,218492.3427,19559288.0
2014-01-22,57.59,216313.8046,15484711.0
2014-01-23,56.47,212106.9725,26243452.0
2014-01-24,55.09,206923.5544,27111279.0
2014-01-27,55.09,206923.5544,23944206.0
2014-01-28,55.74,209365.0194,18061718.0
2014-01-29,55.53,208576.2384,25471398.0
2014-01-30,56.0,210341.6055,17060108.0
2014-01-31,55.36,207937.7014,18201808.0
2014-02-03,54.31,203993.7963,28572189.0
2014-02-04,54.95,206397.7004,20775934.0
2014-02-05,55.21,207374.2864,19499578.0
2014-02-06,56.48,212144.5335,20921199.0
2014-02-07,56.62,212670.3875,25065229.0
2014-02-10,56.74,213121.1195,14727327.0
2014-02-11,57.43,215712.8286,18817088.0
2014-02-12,57.52,216050.8776,13447621.0
2014-02-13,58.03,217966.4887,16607191.0
2014-02-14,58.15,218417.2207,13186804.0
2014-02-18,58.49,219694.2947,14992626.0
2014-02-19,57.26,215074.2916,18687923.0
2014-02-20,57.58,218045.4088,12463670.0
2014-02-21,57.61,218159.0136,16790791.0
2014-02-24,58.03,219749.4803,16211245.0
2014-02-25,57.03,215962.6548,17996128.0
2014-02-26,56.75,214902.3437,23674645.0
2014-02-27,56.69,214675.1342,16285365.0
2014-02-28,56.82,215167.4215,18599829.0
2014-03-03,56.21,212857.458,19154871.0
2014-03-04,57.26,216833.6247,17174334.0
2014-03-05,58.16,220241.7676,17762232.0
2014-03-06,58.9,223044.0184,19430068.0
2014-03-07,59.4,224937.4311,18615141.0
2014-03-10,59.2,224180.066,16965386.0
2014-03-11,58.19,220355.3723,19436589.0
2014-03-12,57.92,219332.9295,17937197.0
2014-03-13,57.42,217439.5167,17192490.0
2014-03-14,56.8,215091.685,18635842.0
2014-03-17,57.58,218045.4088,13589185.0
2014-03-18,58.06,219863.085,12554754.0
2014-03-19,58.3,220771.9231,21450652.0
2014-03-20,60.11,227626.0772,33736470.0
2014-03-21,60.17,227853.2867,35151970.0
2014-03-24,61.07,231261.4296,25810459.0
2014-03-25,60.93,230731.274,24053467.0
2014-03-26,59.9,226830.8438,22745202.0
2014-03-27,59.92,226906.5803,24632614.0
2014-03-28,60.04,227360.9994,14708741.0
2014-03-31,60.71,229898.1724,15216691.0
2014-04-01,60.67,229746.6994,14586580.0
2014-04-02,60.48,229027.2026,14012233.0
2014-04-03,60.66,229708.8312,11925208.0
2014-04-04,59.81,226490.0295,16966909.0
2014-04-07,59.0,223422.7009,18685680.0
2014-04-08,58.85,222854.6771,16956476.0
2014-04-09,59.27,224342.3908,15308441.0
2014-04-10,57.4,217264.2691,29977179.0
2014-04-11,55.3,209315.5764,47248387.0
2014-04-14,54.96,208028.6452,31081491.0
2014-04-15,54.8,207423.0305,26693846.0
2014-04-16,55.26,209164.1727,27050795.0
2014-04-17,55.22,209012.769,17955801.0
2014-04-21,55.03,208293.6016,12384757.0
2014-04-22,55.81,211245.9732,16265271.0
2014-04-23,56.05,212154.3952,11381029.0
2014-04-24,56.19,212684.3081,15368188.0
2014-04-25,55.7,210829.6131,15939621.0
2014-04-28,55.49,210034.7438,21394062.0
2014-04-29,56.1,212343.6498,13453407.0
2014-04-30,55.98,211889.4388,14388102.0
2014-05-01,55.72,210905.3149,12744643.0
2014-05-02,55.58,210354.3425,15153795.0
2014-05-05,54.22,205207.1329,25237392.0
2014-05-06,53.34,201876.5856,25327415.0
2014-05-07,54.05,204563.7317,18503048.0
2014-05-08,54.36,205736.9927,16091486.0
2014-05-09,54.01,204412.3432,12366481.0
2014-05-12,54.65,206834.5595,12825906.0
2014-05-13,54.62,206721.0181,12310881.0
2014-05-14,54.36,205736.9927,10334933.0
2014-05-15,53.51,202519.9868,19763012.0
2014-05-16,53.31,201763.0442,19993160.0
2014-05-19,53.83,203731.0949,12068854.0
2014-05-20,53.72,203314.7765,16888227.0
2014-05-21,54.12,204828.6616,13210922.0
2014-05-22,54.55,206456.0882,11801568.0
2014-05-23,54.53,206380.3939,10878697.0
2014-05-27,55.14,208689.0688,14503732.0
2014-05-28,55.45,209862.3298,11374958.0
2014-05-29,55.72,210884.2023,11741707.0
2014-05-30,55.57,210316.4953,11991312.0
2014-06-02,55.35,209483.8585,9440042.0
2014-06-03,55.6,210430.0367,9132297.0
2014-06-04,55.68,210732.8138,9728053.0
2014-06-05,56.63,214328.291,16804644.0
2014-06-06,56.97,215615.0934,15399844.0
2014-06-09,57.42,217318.2142,12000038.0
2014-06-10,57.9,219134.8764,11609169.0
2014-06-11,57.27,216750.5072,14232171.0
2014-06-12,57.04,215880.0233,11677911.0
2014-06-13,57.04,215880.0233,12044435.0
2014-06-16,56.87,215236.6221,11199075.0
2014-06-17,57.42,217318.2142,11200522.0
2014-06-18,57.78,218680.7108,13737143.0
2014-06-19,57.3,216864.0486,11624383.0
2014-06-20,57.55,217810.2269,17126425.0
2014-06-23,58.19,220232.4431,16009479.0
2014-06-24,57.42,217318.2142,12323320.0
2014-06-25,57.53,217734.5326,14843900.0
2014-06-26,57.39,217204.6728,11854621.0
2014-06-27,57.53,217734.5326,10178566.0
2014-06-30,57.62,218075.1568,11549859.0
2014-07-01,57.57,217885.9211,14472160.0
2014-07-02,56.97,215615.0934,19199260.0
2014-07-03,57.05,215917.8704,12599842.0
2014-07-07,56.67,214479.6795,13918743.0
2014-07-08,55.76,211035.5908,18345729.0
2014-07-09,56.02,212019.6161,10914251.0
2014-07-10,55.56,210278.6482,12436589.0
2014-07-11,55.8,211186.9793,10236860.0
2014-07-14,56.29,213041.4886,14011991.0
2014-07-15,58.27,220535.2201,36219126.0
2014-07-16,58.71,222200.4938,20515604.0
