,LOW US Equity,LOW US Equity,LOW US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,49.44,51705.7858,5458567.0
2014-01-03,48.95,51193.3296,4257787.0
2014-01-06,48.26,50471.7075,4923053.0
2014-01-07,48.38,50597.207,5541919.0
2014-01-08,48.55,50774.998,4875815.0
2014-01-09,48.75,50984.1638,4941436.0
2014-01-10,49.68,51956.7847,5736433.0
2014-01-13,48.66,50890.0391,6403816.0
2014-01-14,48.9,51141.0381,5498908.0
2014-01-15,48.29,50503.0824,6224623.0
2014-01-16,48.18,50388.0412,4146722.0
2014-01-17,47.61,49791.9187,5764093.0
2014-01-21,47.82,50011.5428,7430557.0
2014-01-22,47.75,49938.3347,7917556.0
2014-01-23,48.15,50356.6664,6939255.0
2014-01-24,47.83,50022.0011,9089843.0
2014-01-27,48.0,50199.792,8050640.0
2014-01-28,46.96,49112.1298,13365355.0
2014-01-29,45.97,48076.7591,9922021.0
2014-01-30,46.5,48631.0485,5773231.0
2014-01-31,46.29,48411.4244,6771509.0
2014-02-03,45.6,47689.8024,7755040.0
2014-02-04,44.9,46957.7221,8399291.0
2014-02-05,45.53,47616.5944,8036048.0
2014-02-06,46.58,48714.7148,6486415.0
2014-02-07,46.07,48181.342,9677370.0
2014-02-10,46.12,48233.6335,7342887.0
2014-02-11,46.76,48902.964,6922050.0
2014-02-12,46.68,48819.2977,6788184.0
2014-02-13,46.64,48777.4646,5051560.0
2014-02-14,47.28,49446.7951,3460049.0
2014-02-18,46.93,49080.755,5454547.0
2014-02-19,46.54,48672.8817,5460619.0
2014-02-20,46.66,48798.3811,7724244.0
2014-02-21,47.06,49216.7127,7675229.0
2014-02-24,47.22,49384.0454,7786661.0
2014-02-25,48.11,50314.8332,10105727.0
2014-02-26,50.72,53044.4469,18638320.0
2014-02-27,50.82,53149.0298,7249260.0
2014-02-28,50.03,52322.8249,9573614.0
2014-03-03,50.19,52490.1575,7203402.0
2014-03-04,50.63,52950.3223,6390337.0
2014-03-05,50.35,52657.4902,5217180.0
2014-03-06,50.09,52385.5746,4380847.0
2014-03-07,50.42,52730.6982,4340533.0
2014-03-10,49.99,52280.9917,5132115.0
2014-03-11,49.46,51726.7023,4553004.0
2014-03-12,49.38,51643.036,4435855.0
2014-03-13,48.71,50942.3306,5587265.0
2014-03-14,49.09,51339.7456,5299313.0
2014-03-17,49.48,51747.6189,4965197.0
2014-03-18,49.83,52113.6591,3910559.0
2014-03-19,49.58,51852.2018,4315530.0
2014-03-20,49.55,51820.8269,4145457.0
2014-03-21,49.25,51507.0783,7777483.0
2014-03-24,49.18,51433.8702,5388413.0
2014-03-25,48.36,50576.2904,5955620.0
2014-03-26,48.53,50754.0814,7082329.0
2014-03-27,48.54,50764.5397,5308720.0
2014-03-28,48.92,51161.9547,4016250.0
2014-03-31,48.9,51141.0381,6694111.0
2014-04-01,49.43,50358.0977,3570963.0
2014-04-02,49.52,50449.7875,4845956.0
2014-04-03,49.05,49970.9628,4765631.0
2014-04-04,48.44,49349.5094,5951890.0
2014-04-07,46.77,47648.1535,8818203.0
2014-04-08,46.73,47607.4025,6887625.0
2014-04-09,47.54,48432.611,6023039.0
2014-04-10,46.79,47668.529,6205077.0
2014-04-11,46.31,47179.5166,4931512.0
2014-04-14,46.64,47515.7126,4698251.0
2014-04-15,46.71,47587.027,5437911.0
2014-04-16,46.73,47607.4025,4270878.0
2014-04-17,46.8,47678.7168,4280989.0
2014-04-21,46.68,47556.4637,3140924.0
2014-04-22,47.54,48432.611,4687246.0
2014-04-23,46.22,47087.8267,7862466.0
2014-04-24,47.16,48045.4762,4674759.0
2014-04-25,46.38,47250.8309,4589154.0
2014-04-28,46.38,47250.8309,7024056.0
2014-04-29,46.43,47301.7697,3888807.0
2014-04-30,45.91,46772.0062,6618794.0
2014-05-01,46.37,47240.6431,4367068.0
2014-05-02,46.98,47862.0965,4732265.0
2014-05-05,46.29,47159.141,3984703.0
2014-05-06,45.39,46242.2426,4587009.0
2014-05-07,45.11,45956.9854,5148528.0
2014-05-08,45.02,45865.2955,3718240.0
2014-05-09,45.71,46568.251,4023693.0
2014-05-12,46.28,47148.9533,2820546.0
2014-05-13,45.76,46619.1898,3962426.0
2014-05-14,45.17,46018.1119,5480321.0
2014-05-15,44.63,45467.9729,7721711.0
2014-05-16,45.36,46211.6794,5727092.0
2014-05-19,45.55,46405.2468,4567746.0
2014-05-20,45.52,46374.6835,8857693.0
2014-05-21,45.41,46262.6182,8572158.0
2014-05-22,46.89,47770.4066,8780816.0
2014-05-23,47.06,47943.5986,5096362.0
2014-05-27,47.78,48677.1173,5534362.0
2014-05-28,46.71,47587.027,6889936.0
2014-05-29,47.01,47892.6598,3947831.0
2014-05-30,47.08,47963.9741,4288583.0
2014-06-02,47.01,47892.6598,4070791.0
2014-06-03,47.22,47093.2615,3560566.0
2014-06-04,47.17,47043.3957,4501927.0
2014-06-05,47.4,47272.7784,4300060.0
2014-06-06,47.77,47641.7853,3860498.0
2014-06-09,47.61,47482.2148,3700168.0
2014-06-10,47.59,47462.2684,3588050.0
2014-06-11,46.91,46784.0936,4244899.0
2014-06-12,45.55,45427.7438,11319012.0
2014-06-13,45.45,45328.0122,6139509.0
2014-06-16,45.42,45298.0927,6713459.0
2014-06-17,45.84,45716.9654,8366958.0
2014-06-18,45.84,45716.9654,10408444.0
2014-06-19,45.9,45776.8044,4751217.0
2014-06-20,46.02,45896.4823,13871064.0
2014-06-23,46.08,45956.3213,6532810.0
2014-06-24,46.51,46385.1672,11137660.0
2014-06-25,46.7,46574.6572,5059487.0
2014-06-26,47.2,47073.3152,5272039.0
2014-06-27,47.42,47292.7247,5216885.0
