,LYV US Equity,LYV US Equity,LYV US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,20.06,3997.7903,1523156.0
2014-01-03,20.34,4053.592,1599243.0
2014-01-06,20.5,4085.4786,1178720.0
2014-01-07,20.83,4151.2449,1407202.0
2014-01-08,20.81,4147.2591,1933425.0
2014-01-09,20.65,4115.3724,1182675.0
2014-01-10,20.66,4117.3653,1015702.0
2014-01-13,20.09,4003.7691,824531.0
2014-01-14,20.5,4085.4786,1083345.0
2014-01-15,20.9,4165.1953,1957407.0
2014-01-16,20.7,4125.337,925819.0
2014-01-17,20.85,4155.2307,1286791.0
2014-01-21,20.93,4171.1741,1148286.0
2014-01-22,21.01,4187.1174,1108936.0
2014-01-23,21.26,4236.9403,997811.0
2014-01-24,20.9,4165.1953,1517028.0
2014-01-27,20.64,4113.3795,1248894.0
2014-01-28,21.18,4220.997,1476320.0
2014-01-29,20.8,4145.2661,1323102.0
2014-01-30,21.16,4217.0111,1259652.0
2014-01-31,21.27,4238.9332,1248673.0
2014-02-03,20.77,4139.2874,2561294.0
2014-02-04,20.88,4161.2095,1723645.0
2014-02-05,21.0,4185.1245,1787633.0
2014-02-06,21.12,4209.0395,1872981.0
2014-02-07,21.36,4256.8695,1808966.0
2014-02-10,21.37,4258.8624,686427.0
2014-02-11,21.54,4292.742,608313.0
2014-02-12,21.56,4296.7278,870675.0
2014-02-13,21.74,4332.6003,803284.0
2014-02-14,21.65,4314.664,507408.0
2014-02-18,21.8,4344.5578,685567.0
2014-02-19,21.72,4328.6144,808858.0
2014-02-20,21.99,4382.4232,577737.0
2014-02-21,21.82,4348.5436,1183436.0
2014-02-24,21.85,4372.2028,2227397.0
2014-02-25,23.69,4740.3883,3646238.0
2014-02-26,23.34,4670.353,1912483.0
2014-02-27,23.02,4606.3208,1584692.0
2014-02-28,22.69,4540.2875,1626405.0
2014-03-03,22.44,4490.2623,1802078.0
2014-03-04,22.5,4502.2683,1879977.0
2014-03-05,22.94,4590.3127,2903653.0
2014-03-06,23.06,4614.3248,679863.0
2014-03-07,23.07,4616.3258,565605.0
2014-03-10,22.99,4600.3177,611543.0
2014-03-11,22.85,4572.3036,873064.0
2014-03-12,23.22,4646.3409,648807.0
2014-03-13,22.98,4598.3167,999367.0
2014-03-14,23.26,4654.345,1001423.0
2014-03-17,22.99,4600.3177,1327085.0
2014-03-18,23.14,4630.3329,966511.0
2014-03-19,22.96,4594.3147,972563.0
2014-03-20,22.86,4574.3046,332228.0
2014-03-21,22.46,4494.2643,985993.0
2014-03-24,21.89,4380.2068,1095199.0
2014-03-25,21.89,4380.2068,656029.0
2014-03-26,21.66,4334.1836,1095211.0
2014-03-27,21.55,4312.1726,1023709.0
2014-03-28,21.67,4336.1847,936031.0
2014-03-31,21.75,4352.1927,732969.0
2014-04-01,22.31,4464.2492,1449111.0
2014-04-02,22.0,4402.2179,608045.0
2014-04-03,21.59,4320.1766,1075961.0
2014-04-04,21.2,4242.1373,1453357.0
2014-04-07,20.32,4066.0486,2757960.0
2014-04-08,20.49,4100.0657,857961.0
2014-04-09,20.77,4156.0939,1045610.0
2014-04-10,20.31,4064.0475,1307164.0
2014-04-11,20.04,4010.0203,1336406.0
2014-04-14,20.18,4038.0344,1081838.0
2014-04-15,19.82,3965.9981,1384840.0
2014-04-16,20.41,4084.0576,1115488.0
2014-04-17,20.58,4118.0748,565363.0
2014-04-21,20.85,4172.102,969038.0
2014-04-22,21.36,4274.1534,832273.0
2014-04-23,21.57,4322.6973,1842116.0
2014-04-24,21.45,4298.6489,1336722.0
2014-04-25,20.93,4194.4393,920024.0
2014-04-28,20.37,4082.2135,1175898.0
2014-04-29,20.7,4148.3465,799598.0
2014-04-30,20.88,4184.4191,1138056.0
2014-05-01,21.02,4212.4755,1116527.0
2014-05-02,21.01,4210.4715,840547.0
2014-05-05,21.37,4282.6167,1295587.0
2014-05-06,20.93,4195.2907,1606280.0
2014-05-07,23.03,4616.2229,3692162.0
2014-05-08,22.19,4447.85,2120966.0
2014-05-09,22.21,4451.8589,996786.0
2014-05-12,23.17,4644.285,1177199.0
2014-05-13,22.77,4564.1075,1032995.0
2014-05-14,22.39,4487.9388,1346306.0
2014-05-15,22.34,4477.9166,1229232.0
2014-05-16,22.3,4469.8988,905069.0
2014-05-19,22.74,4558.0941,1190664.0
2014-05-20,23.01,4612.214,5613886.0
2014-05-21,23.69,4748.5158,2284411.0
2014-05-22,24.12,4834.7067,2801057.0
2014-05-23,24.25,4860.7644,770538.0
2014-05-27,24.5,4910.8754,1097716.0
2014-05-28,23.68,4746.5114,1784144.0
2014-05-29,23.9,4790.6091,1210059.0
2014-05-30,23.72,4754.5292,1945521.0
2014-06-02,23.75,4760.5425,953693.0
2014-06-03,23.57,4724.4626,962346.0
2014-06-04,23.98,4806.6446,1064140.0
2014-06-05,24.12,4834.7067,802103.0
2014-06-06,24.02,4814.6623,1036203.0
2014-06-09,24.03,4816.6668,1118004.0
2014-06-10,23.86,4782.5913,713984.0
2014-06-11,23.61,4732.4803,713599.0
2014-06-12,23.09,4628.2495,1150583.0
2014-06-13,23.51,4712.4359,2513754.0
2014-06-16,23.49,4708.4271,1293524.0
2014-06-17,23.75,4760.5425,1537589.0
2014-06-18,23.8,4770.5647,1416537.0
2014-06-19,23.94,4798.6268,1784950.0
2014-06-20,23.57,4724.4626,20953140.0
2014-06-23,23.46,4702.4137,1419841.0
2014-06-24,23.61,4732.4803,2689249.0
2014-06-25,24.11,4832.7023,1672198.0
2014-06-26,24.22,4854.7511,2926035.0
2014-06-27,24.14,4838.7156,13637760.0
2014-06-30,24.69,4948.9597,2180953.0
2014-07-01,24.94,4999.0707,2624133.0
2014-07-02,24.84,4979.0263,943473.0
2014-07-03,25.14,5039.1595,1282093.0
2014-07-07,24.95,5001.0751,1346450.0
2014-07-08,24.14,4838.7156,2004907.0
2014-07-09,24.3,4870.7866,1506309.0
2014-07-10,24.62,4934.9287,2121268.0
2014-07-11,24.11,4832.7023,1326582.0
2014-07-14,24.09,4828.6934,1028049.0
2014-07-15,23.91,4792.6135,719685.0
2014-07-16,23.91,4792.6135,1766226.0
2014-07-17,23.91,4792.6135,2392664.0
2014-07-18,24.11,4832.7023,1588009.0
2014-07-21,23.78,4766.5558,978304.0
2014-07-22,24.03,4816.6668,923760.0
2014-07-23,24.0,4810.6534,826028.0
2014-07-24,24.21,4852.7467,1245495.0
2014-07-25,24.01,4812.6579,690449.0
2014-07-28,23.96,4802.6357,784500.0
2014-07-29,23.76,4762.5469,1048500.0
2014-07-30,23.85,4780.5869,737342.0
2014-07-31,23.21,4653.8759,1299773.0
2014-08-01,21.6,4331.0521,5310345.0
2014-08-04,21.57,4325.0368,2649074.0
2014-08-05,21.51,4313.0061,1844734.0
2014-08-06,21.22,4254.8577,1464506.0
2014-08-07,21.1,4230.7963,1561867.0
2014-08-08,21.07,4224.7809,1427484.0
2014-08-11,21.07,4224.7809,902347.0
2014-08-12,20.9,4190.694,1936223.0
2014-08-13,21.34,4278.9191,1391391.0
2014-08-14,21.3,4270.8986,1171601.0
2014-08-15,21.46,4302.9805,974435.0
2014-08-18,21.77,4365.1391,785032.0
