,MAS US Equity,MAS US Equity,MAS US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,19.942,8100.0419,2330880.0
2014-01-03,20.3551,8267.826,3187798.0
2014-01-06,20.0738,8153.59,3480985.0
2014-01-07,20.0826,8157.1599,2902512.0
2014-01-08,20.2408,8221.4176,3619513.0
2014-01-09,20.3199,8253.5465,2471398.0
2014-01-10,20.6188,8374.9222,2645825.0
2014-01-13,19.9508,8103.6118,3590123.0
2014-01-14,20.3902,8282.1055,3406467.0
2014-01-15,20.3639,8271.3958,2177204.0
2014-01-16,20.2848,8239.267,3769115.0
2014-01-17,19.4235,7889.4194,11167190.0
2014-01-21,19.3532,7860.8604,4923902.0
2014-01-22,19.6783,7992.9458,3022119.0
2014-01-23,19.5465,7939.3977,2886461.0
2014-01-24,18.8522,7657.3777,5216731.0
2014-01-27,19.0895,7753.7643,6222591.0
2014-01-28,19.1334,7771.6136,3890114.0
2014-01-29,18.8258,7646.6681,2940825.0
2014-01-30,18.65,7575.2706,3493761.0
2014-01-31,18.5973,7553.8514,4773931.0
2014-02-03,18.2458,7411.0564,5363610.0
2014-02-04,18.3688,7461.0347,4307240.0
2014-02-05,18.2282,7403.9167,3077944.0
2014-02-06,18.817,7643.0982,2505004.0
2014-02-07,19.3532,7860.8604,4790461.0
2014-02-10,19.0719,7746.6245,8463336.0
2014-02-11,19.7311,8014.365,8433446.0
2014-02-12,19.6959,8000.0855,5391736.0
2014-02-13,19.5465,7939.3977,3749270.0
2014-02-14,19.7399,8017.9349,2759890.0
2014-02-18,19.5905,7944.2497,3167287.0
2014-02-19,19.3532,7848.0206,3869389.0
2014-02-20,19.5992,7947.8138,2570855.0
2014-02-21,19.7223,7997.7104,2979143.0
2014-02-24,19.5729,7937.1217,2458691.0
2014-02-25,19.9508,8090.3755,3967955.0
2014-02-26,20.5572,8336.2944,5516627.0
2014-02-27,20.4869,8307.782,2970768.0
2014-02-28,20.5221,8322.0382,3101272.0
2014-03-03,20.1266,8161.6563,2988931.0
2014-03-04,20.4957,8311.3461,2732115.0
2014-03-05,20.6188,8361.2427,3208588.0
2014-03-06,20.7682,8421.8314,2936251.0
2014-03-07,20.5484,8332.7303,4202326.0
2014-03-10,20.3199,8240.0652,3264687.0
2014-03-11,20.5133,8318.4742,4030792.0
2014-03-12,20.4781,8304.218,5451974.0
2014-03-13,19.9508,8090.3755,4882665.0
2014-03-14,20.0035,8111.7597,3968956.0
2014-03-17,20.0123,8115.3238,5004551.0
2014-03-18,20.3639,8257.8854,4478804.0
2014-03-19,20.2848,8225.8091,4222983.0
2014-03-20,19.5553,7929.9936,5362083.0
2014-03-21,19.2389,7801.6881,7007225.0
2014-03-24,19.0631,7730.4072,4793936.0
2014-03-25,19.3092,7830.2004,3178521.0
2014-03-26,19.1686,7773.1757,4717967.0
2014-03-27,19.1598,7769.6117,2877523.0
2014-03-28,19.3707,7883.3511,4204904.0
2014-03-31,19.5201,7944.1574,3580993.0
2014-04-01,19.7399,8033.5783,3367564.0
2014-04-02,20.1178,8187.3824,3113316.0
2014-04-03,20.109,8183.8055,3985030.0
2014-04-04,19.9596,8122.9993,4898675.0
2014-04-07,19.2565,7836.8522,5217128.0
2014-04-08,19.2125,7818.968,6626037.0
2014-04-09,19.3883,7890.5048,4204240.0
2014-04-10,18.9752,7722.3934,4443770.0
2014-04-11,18.7643,7636.5493,3521264.0
2014-04-14,18.9225,7700.9324,3363193.0
2014-04-15,18.8522,7672.3177,3976477.0
2014-04-16,19.3268,7865.4669,2894481.0
2014-04-17,19.3883,7890.5048,2696940.0
2014-04-21,19.3004,7854.7364,2308695.0
2014-04-22,19.5817,7969.1952,3733288.0
2014-04-23,19.4674,7922.6963,3038211.0
2014-04-24,19.7311,8030.0015,3828256.0
2014-04-25,18.2633,7432.6695,17046850.0
2014-04-28,18.2018,7407.6317,7422394.0
2014-04-29,17.7799,7235.9434,6057641.0
2014-04-30,17.6569,7185.8677,6769055.0
2014-05-01,17.6657,7189.4445,8874811.0
2014-05-02,18.0612,7350.4022,7841962.0
2014-05-05,17.736,7218.0592,4235681.0
2014-05-06,17.1735,6989.1416,7244231.0
2014-05-07,17.3229,7049.9478,5070861.0
2014-05-08,17.3405,7057.1015,4193835.0
2014-05-09,17.569,7150.0993,4279075.0
2014-05-12,18.1139,7371.8633,4996274.0
2014-05-13,18.1227,7375.4401,5361414.0
2014-05-14,17.7887,7239.5203,4677990.0
2014-05-15,17.7096,7207.3287,6909080.0
2014-05-16,18.3161,7454.1305,7991581.0
2014-05-19,18.6149,7575.743,6991362.0
2014-05-20,18.2985,7446.9769,6061510.0
2014-05-21,18.3688,7475.5916,6151915.0
2014-05-22,18.3864,7482.7453,4837202.0
2014-05-23,18.7028,7611.5114,4514333.0
2014-05-27,18.6588,7593.6272,4309994.0
2014-05-28,18.694,7607.9346,4014960.0
2014-05-29,18.7204,7618.6651,5056130.0
2014-05-30,18.7204,7618.6651,7435312.0
2014-06-02,18.7819,7643.703,5176703.0
2014-06-03,19.0455,7751.0081,5073451.0
2014-06-04,19.2653,7840.4291,7862727.0
2014-06-05,19.151,7793.9302,14297889.0
2014-06-06,19.3971,7894.0816,4996786.0
2014-06-09,19.7135,8022.8478,3940461.0
2014-06-10,19.8629,8083.654,4773448.0
2014-06-11,19.6959,8015.6941,3862940.0
2014-06-12,19.6432,7994.2331,5240777.0
2014-06-13,19.2037,7815.3912,8235550.0
2014-06-16,19.151,7793.9302,8425296.0
2014-06-17,19.0895,7768.8923,8298060.0
2014-06-18,19.2477,7833.2754,5098577.0
2014-06-19,19.4235,7904.8121,4495419.0
2014-06-20,19.0104,7736.7008,5524993.0
2014-06-23,19.0983,7772.4691,4533052.0
2014-06-24,19.0543,7754.5849,4377517.0
2014-06-25,19.3707,7883.3511,4753975.0
2014-06-26,19.4498,7915.5427,3951390.0
2014-06-27,19.5201,7944.1574,2903177.0
2014-06-30,19.5114,7940.5805,3794238.0
2014-07-01,19.5992,7976.3489,3851512.0
2014-07-02,19.4762,7926.2732,2634776.0
2014-07-03,19.6959,8015.6941,1591204.0
2014-07-07,19.3883,7890.5048,2444872.0
2014-07-08,19.0719,7761.7386,3939250.0
2014-07-09,19.0192,7740.2776,4571313.0
2014-07-10,18.6676,7597.2041,8103557.0
2014-07-11,18.6413,7586.4736,4936007.0
2014-07-14,18.6852,7604.3577,3818493.0
2014-07-15,18.5709,7557.8588,3765034.0
2014-07-16,18.7731,7640.1261,3975389.0
2014-07-17,18.3688,7475.5916,3506739.0
2014-07-18,18.4391,7504.2063,5912702.0
2014-07-21,18.4127,7493.4758,2899533.0
2014-07-22,18.5709,7557.8588,3435566.0
2014-07-23,18.5973,7568.5894,4009920.0
2014-07-24,18.1051,7368.2864,5425042.0
2014-07-25,18.3688,7475.5916,4913921.0
2014-07-28,17.8151,7250.2508,7092699.0
2014-07-29,19.0807,7738.5728,14917880.0
2014-07-30,18.7291,7595.992,6925189.0
2014-07-31,18.2809,7414.2015,5464312.0
2014-08-01,18.6413,7560.3468,5535493.0
2014-08-04,18.7379,7599.5566,2915268.0
2014-08-05,18.5534,7524.7016,3207541.0
2014-08-06,18.6325,7556.7823,2705721.0
2014-08-07,18.5094,7506.879,2731226.0
2014-08-08,18.9489,7685.105,3029324.0
2014-08-11,19.2213,7795.6051,3023896.0
2014-08-12,19.1159,7752.8309,1781827.0
2014-08-13,19.1422,7763.5245,1857166.0
2014-08-14,19.5201,7916.7988,2460763.0
2014-08-15,19.652,7970.2666,3204587.0
2014-08-18,20.109,8155.6217,2745253.0
2014-08-19,20.3815,8266.1218,4707476.0
2014-08-20,20.5397,8330.2831,2695386.0
2014-08-21,20.6627,8380.1864,2823001.0
2014-08-22,20.6539,8376.6219,1907566.0
2014-08-25,20.6803,8387.3155,2786944.0
2014-08-26,20.6188,8362.3638,1867499.0
2014-08-27,20.6627,8380.1864,3133109.0
2014-08-28,20.6627,8380.1864,2367603.0
2014-08-29,20.6275,8365.9283,1825016.0
2014-09-02,20.733,8408.7026,3402126.0
2014-09-03,20.6451,8373.0574,2925431.0
2014-09-04,20.8648,8462.1704,3465152.0
2014-09-05,20.8209,8444.3478,1926991.0
2014-09-08,21.1197,8565.5415,3659127.0
2014-09-09,20.9,8476.4285,3086301.0
2014-09-10,20.8121,8440.7833,2075505.0
2014-09-11,21.0846,8551.2834,3211895.0
2014-09-12,20.9879,8512.0737,4265944.0
2014-09-15,20.9879,8512.0737,4352405.0
2014-09-16,21.2516,8619.0093,3502859.0
2014-09-17,21.4801,8711.6868,7353089.0
2014-09-18,21.2779,8629.7028,2119405.0
