,NI US Equity,NI US Equity,NI US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,12.6886,10116.2901,2244773.0
2014-01-03,12.7554,10169.5502,1745586.0
2014-01-06,12.948,10323.0647,3988241.0
2014-01-07,12.9912,10357.5271,4301839.0
2014-01-08,12.9284,10307.3999,2622472.0
2014-01-09,13.003,10366.9259,1874354.0
2014-01-10,13.2309,10548.6369,3042692.0
2014-01-13,13.062,10413.9202,2525395.0
2014-01-14,13.0934,10438.9837,1329885.0
2014-01-15,13.1052,10448.3826,1908806.0
2014-01-16,13.2859,10592.4982,1911172.0
2014-01-17,13.3174,10617.5618,2172704.0
2014-01-21,13.4864,10752.2786,1490462.0
2014-01-22,13.4864,10752.2786,2064684.0
2014-01-23,13.451,10724.082,1703726.0
2014-01-24,13.1995,10523.5734,2728959.0
2014-01-27,13.2309,10548.6369,1812392.0
2014-01-28,13.4313,10708.4173,1333009.0
2014-01-29,13.3174,10617.5618,1868691.0
2014-01-30,13.4628,10733.4809,1921666.0
2014-01-31,13.506,10767.9433,2814722.0
2014-02-03,13.341,10636.3595,2740966.0
2014-02-04,13.2584,10570.5676,2241594.0
2014-02-05,13.2624,10573.7005,1927829.0
2014-02-06,13.2663,10576.8335,1657329.0
2014-02-07,13.3645,10655.1572,1676360.0
2014-02-10,13.5689,10818.0705,1864154.0
2014-02-11,13.6239,10861.9318,1524177.0
2014-02-12,13.616,10855.6659,1682568.0
2014-02-13,13.6632,10893.2613,2397339.0
2014-02-14,13.8204,11018.5792,2812396.0
2014-02-18,13.8715,11083.8962,3321748.0
2014-02-19,13.9107,11115.2953,2258922.0
2014-02-20,13.8754,11087.0361,2614119.0
2014-02-21,13.9107,11115.2953,2377846.0
2014-02-24,13.9265,11127.855,1918352.0
2014-02-25,13.9068,11112.1554,1320934.0
2014-02-26,13.7261,10967.7194,1752901.0
2014-02-27,13.675,10926.9005,2951222.0
2014-02-28,13.6828,10933.1803,2161327.0
2014-03-03,13.5767,10848.4027,1597906.0
2014-03-04,13.7654,10999.1185,2275586.0
2014-03-05,13.6278,10889.2215,1706166.0
2014-03-06,13.5374,10817.0035,2321340.0
2014-03-07,13.6435,10901.7812,1870666.0
2014-03-10,13.5453,10823.2834,1390442.0
2014-03-11,13.4353,10735.3658,2149848.0
2014-03-12,13.6357,10895.5014,1367165.0
2014-03-13,13.8007,11027.3778,2382455.0
2014-03-14,13.8754,11087.0361,2356835.0
2014-03-17,13.9461,11143.5546,1344712.0
2014-03-18,14.009,11193.7932,1610104.0
2014-03-19,13.7968,11024.2378,1905266.0
2014-03-20,13.7143,10958.2997,2089926.0
2014-03-21,13.7811,11011.6782,3209786.0
