,OXY US Equity,OXY US Equity,OXY US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,90.0253,75648.7193,2765153.0
2014-01-03,89.7087,75382.7196,2848082.0
2014-01-06,89.9773,75608.4163,3202335.0
2014-01-07,91.656,77019.0211,3724932.0
2014-01-08,90.927,76406.4156,3520625.0
2014-01-09,90.9749,76446.7186,3147857.0
2014-01-10,90.0253,75648.7193,3411824.0
2014-01-13,87.8094,73786.721,5188921.0
2014-01-14,88.548,74407.3871,4392468.0
2014-01-15,87.7327,73722.2362,4926434.0
2014-01-16,88.03,73972.1148,3790923.0
2014-01-17,86.8789,73004.8429,3949177.0
2014-01-21,86.3034,72521.207,4979234.0
2014-01-22,87.253,73319.2063,3928233.0
2014-01-23,85.7758,72077.8741,4373991.0
2014-01-24,84.4137,70933.269,4756051.0
2014-01-27,83.5408,70199.7546,3585682.0
2014-01-28,84.711,71183.1476,2963827.0
2014-01-29,84.241,70788.1783,4094733.0
2014-01-30,84.7014,71175.087,5523517.0
2014-01-31,84.0012,70586.6633,5798826.0
2014-02-03,83.6846,70320.6635,6228699.0
2014-02-04,83.5887,70240.0576,6190054.0
2014-02-05,83.7326,70360.9665,5590570.0
2014-02-06,84.8741,71320.1778,5375972.0
2014-02-07,86.8981,73020.9641,4957089.0
2014-02-10,86.994,73101.5701,4345501.0
2014-02-11,87.867,73835.0846,3775110.0
2014-02-12,88.4329,74310.6599,3349740.0
2014-02-13,88.5097,74375.1447,3711162.0
2014-02-14,91.8574,77188.2937,8799703.0
2014-02-18,92.3562,77607.4448,5798978.0
2014-02-19,91.0708,76527.3246,5371141.0
2014-02-20,91.5121,76898.1121,3829114.0
2014-02-21,91.5025,76890.0515,3696342.0
2014-02-24,92.1548,77438.1722,4628596.0
2014-02-25,91.915,77236.6573,2895023.0
2014-02-26,91.3202,76736.9001,3750496.0
2014-02-27,91.6368,77002.8999,2842224.0
2014-02-28,92.5865,77800.8992,3998455.0
2014-03-03,92.1356,76335.5382,3403207.0
2014-03-04,93.2579,77265.3932,3307464.0
2014-03-05,92.903,76971.3365,3063195.0
2014-03-06,92.3466,76510.3827,2987187.0
2014-03-07,93.1716,77193.8659,2971326.0
2014-03-10,93.2579,77265.3932,2397793.0
2014-03-11,92.4809,76621.6474,2491471.0
2014-03-12,92.4618,76605.7525,3053549.0
2014-03-13,91.9054,76144.7987,2621894.0
2014-03-14,92.5865,76709.0697,2951364.0
2014-03-17,92.903,76971.3365,2446482.0
2014-03-18,93.2963,77297.1832,2893094.0
2014-03-19,91.2627,75612.3176,4596516.0
2014-03-20,89.1428,73855.9247,10873941.0
2014-03-21,90.2363,74761.9373,10986668.0
2014-03-24,90.0445,74602.9877,4385976.0
2014-03-25,90.7927,75222.8911,4342015.0
2014-03-26,89.7279,73906.7453,5271084.0
2014-03-27,90.7831,74775.8646,4372013.0
2014-03-28,91.656,75494.8633,4263862.0
2014-03-31,91.4066,75289.4351,3881025.0
2014-04-01,91.0325,74981.2928,4410969.0
2014-04-02,92.1068,75866.2143,6579748.0
2014-04-03,92.5769,76253.3674,3569594.0
2014-04-04,90.6967,74704.7548,5616488.0
2014-04-07,89.7759,73946.2507,4447057.0
2014-04-08,91.0804,75020.7982,3303027.0
2014-04-09,92.0589,75826.7089,3112026.0
2014-04-10,90.5912,74617.8429,4148750.0
2014-04-11,89.5265,73740.8225,5112364.0
2014-04-14,90.4761,74523.0299,2942425.0
2014-04-15,91.0325,74981.2928,4015739.0
2014-04-16,91.9054,75700.2915,3810051.0
2014-04-17,92.6632,76324.4772,4609375.0
2014-04-21,93.4786,76996.0694,2733479.0
2014-04-22,92.9797,76585.213,3292526.0
2014-04-23,92.8263,76458.7956,2986589.0
2014-04-24,93.1812,76751.1358,1971639.0
2014-04-25,92.4426,76142.7522,2453106.0
2014-04-28,92.7399,76387.6859,4225030.0
2014-04-29,92.9222,76537.8065,3272438.0
2014-04-30,91.8478,75652.885,2811069.0
2014-05-01,91.1188,75052.4026,3138776.0
2014-05-02,90.5912,74617.8429,3526492.0
2014-05-05,90.8406,74397.6587,5651294.0
2014-05-06,91.9246,75285.4026,4656063.0
2014-05-07,92.3083,75599.6483,3386285.0
2014-05-08,91.3107,74782.6096,2670686.0
2014-05-09,92.1932,75505.3746,3690758.0
2014-05-12,92.4905,75748.915,3554093.0
2014-05-13,93.5457,76613.0905,3564008.0
2014-05-14,93.4114,76503.1045,2539555.0
2014-05-15,93.1044,76251.708,3529420.0
2014-05-16,91.7903,75175.4166,3942457.0
2014-05-19,92.0301,75371.8202,2648913.0
2014-05-20,91.5697,74994.7254,3102249.0
2014-05-21,93.6128,76668.0835,4018924.0
2014-05-22,93.2675,76385.2624,2738396.0
2014-05-23,93.0181,76181.0027,2581040.0
2014-05-27,93.4786,76558.0975,3306086.0
2014-05-28,95.0133,77815.0801,5710115.0
2014-05-29,95.7616,78427.8592,4922280.0
2014-05-30,95.6273,78317.8732,4312350.0
2014-06-02,95.6944,78372.8662,3228458.0
2014-06-03,96.1548,78749.961,3008901.0
2014-06-04,96.0781,78687.1118,3089181.0
