,SMCI US Equity,SMCI US Equity,SMCI US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,16.44,702.9937,211934.0
2014-01-03,16.71,714.5392,239910.0
2014-01-06,16.59,709.4079,218903.0
2014-01-07,16.77,717.1049,175947.0
2014-01-08,16.74,715.822,213350.0
2014-01-09,16.58,708.9803,188370.0
2014-01-10,16.92,723.5191,153568.0
2014-01-13,16.64,711.5459,137349.0
2014-01-14,17.03,728.2228,166257.0
2014-01-15,17.3,746.2841,542464.0
2014-01-16,17.99,776.0492,683346.0
2014-01-17,17.96,774.7551,392495.0
2014-01-21,18.5,798.0495,517828.0
2014-01-22,22.97,990.8755,3357045.0
2014-01-23,21.98,948.1691,1131104.0
2014-01-24,20.98,905.0312,1185165.0
2014-01-27,21.5,927.4629,754487.0
2014-01-28,21.91,945.1494,610769.0
2014-01-29,21.14,911.9333,531731.0
2014-01-30,21.33,920.1295,381837.0
2014-01-31,20.56,886.9134,737105.0
2014-02-03,20.09,866.6386,580988.0
2014-02-04,20.21,871.8151,449235.0
2014-02-05,20.15,869.2269,302615.0
2014-02-06,20.75,895.1096,490858.0
2014-02-07,20.95,915.9444,317857.0
2014-02-10,21.26,929.4978,429621.0
2014-02-11,21.79,952.6696,548996.0
2014-02-12,21.9,957.4789,458317.0
2014-02-13,21.86,955.7301,416724.0
2014-02-14,21.71,949.172,512366.0
2014-02-18,22.45,981.5252,774406.0
2014-02-19,21.85,955.2929,479739.0
2014-02-20,22.17,969.2834,429228.0
2014-02-21,20.83,910.698,1059632.0
2014-02-24,21.02,919.0048,560979.0
2014-02-25,20.84,911.1352,487038.0
2014-02-26,20.88,912.884,634693.0
2014-02-27,20.78,908.5119,410193.0
2014-02-28,20.19,882.7168,596374.0
2014-03-03,20.28,886.6517,362911.0
2014-03-04,20.73,906.3259,378187.0
2014-03-05,21.07,921.1909,448659.0
2014-03-06,21.06,920.7537,409248.0
2014-03-07,20.79,908.9491,188913.0
2014-03-10,20.39,891.4609,667876.0
2014-03-11,19.0,830.6894,762069.0
2014-03-12,19.16,837.6847,335036.0
2014-03-13,18.3,800.0851,311330.0
2014-03-14,18.44,806.206,270944.0
2014-03-17,18.33,801.3967,308648.0
2014-03-18,18.71,818.0105,280349.0
2014-03-19,18.18,794.8386,322587.0
2014-03-20,18.34,801.8339,306221.0
2014-03-21,18.08,790.4666,541827.0
2014-03-24,17.76,776.476,323362.0
2014-03-25,18.21,796.1503,273017.0
2014-03-26,17.5,765.1087,425500.0
2014-03-27,17.29,755.9274,271219.0
2014-03-28,17.32,757.239,250053.0
2014-03-31,17.37,759.425,296729.0
2014-04-01,17.7,773.8528,183535.0
2014-04-02,17.74,775.6016,200592.0
2014-04-03,17.87,781.2853,261238.0
2014-04-04,17.67,772.5412,427683.0
2014-04-07,17.13,748.9321,321163.0
2014-04-08,17.31,756.8018,211796.0
2014-04-09,17.64,771.2296,351338.0
2014-04-10,16.93,740.188,418055.0
2014-04-11,16.52,722.2626,331895.0
2014-04-14,16.74,731.8811,258606.0
2014-04-15,17.23,753.3042,392048.0
2014-04-16,17.49,764.6715,346939.0
2014-04-17,17.8,778.2248,344390.0
2014-04-21,18.93,827.629,677750.0
2014-04-22,18.95,828.5034,726981.0
2014-04-23,19.34,845.5544,2443767.0
2014-04-24,19.87,868.7263,776441.0
2014-04-25,20.47,894.9586,1021120.0
2014-04-28,20.88,912.884,736632.0
2014-04-29,20.4,891.8981,315625.0
2014-04-30,20.36,890.1493,557617.0
2014-05-01,19.83,866.9775,374297.0
2014-05-02,20.29,887.0889,393974.0
2014-05-05,19.83,866.9775,246153.0
2014-05-06,19.43,849.4893,260444.0
2014-05-07,19.18,861.7774,499426.0
2014-05-08,18.36,824.9339,442522.0
2014-05-09,18.46,829.427,399195.0
2014-05-12,18.78,843.805,448206.0
2014-05-13,18.37,825.3832,473749.0
