,STT US Equity,STT US Equity,STT US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,73.16,32117.3293,1733439.0
2014-01-03,74.7,32793.3912,2059539.0
2014-01-06,74.69,32789.0012,2520841.0
2014-01-07,75.24,33030.4518,1521808.0
2014-01-08,75.05,32947.0416,1508687.0
2014-01-09,75.35,33078.742,1298846.0
2014-01-10,74.88,32872.4114,1391996.0
2014-01-13,72.93,32016.359,2042732.0
2014-01-14,73.47,32253.4197,1514055.0
2014-01-15,74.32,32626.5707,2084706.0
2014-01-16,73.72,32363.17,1281459.0
2014-01-17,73.5,32266.5897,2353459.0
2014-01-21,74.17,32560.7205,1866410.0
2014-01-22,75.15,32990.9417,1868191.0
2014-01-23,72.76,31941.7288,2607351.0
2014-01-24,69.52,30180.6203,5519713.0
2014-01-27,68.3,29650.9835,4251184.0
2014-01-28,68.88,29902.778,3583304.0
2014-01-29,67.6,29347.0934,4065528.0
2014-01-30,68.24,29624.9357,3082027.0
2014-01-31,66.95,29064.9098,3857562.0
2014-02-03,64.6,28044.7076,5548361.0
2014-02-04,65.46,28418.0582,2955185.0
2014-02-05,64.34,27931.8342,3961209.0
2014-02-06,65.92,28617.7574,2327236.0
2014-02-07,68.23,29620.5945,4661291.0
2014-02-10,68.16,29590.2054,2665315.0
2014-02-11,68.75,29846.3413,1651003.0
2014-02-12,68.8,29868.0478,1670354.0
2014-02-13,68.5,29737.8092,2540122.0
2014-02-14,68.81,29872.389,2704631.0
2014-02-18,68.22,29616.2532,3031184.0
2014-02-19,68.05,29542.4513,2938055.0
2014-02-20,67.82,29442.6017,1868503.0
2014-02-21,68.52,29575.6016,2970874.0
2014-02-24,69.07,29813.0006,2339854.0
2014-02-25,67.87,29295.0391,2246177.0
2014-02-26,67.41,29096.4872,3216137.0
2014-02-27,67.39,29087.8545,3414523.0
2014-02-28,65.67,28345.443,7469795.0
2014-03-03,65.2,28142.5748,2822088.0
2014-03-04,66.41,28664.8526,2620769.0
2014-03-05,66.5,28703.6997,2100503.0
2014-03-06,67.73,29234.6103,3306852.0
2014-03-07,68.14,29411.5805,2833860.0
2014-03-10,68.2,29437.4785,1426741.0
2014-03-11,66.83,28846.1391,2628808.0
2014-03-12,66.16,28556.944,2357088.0
2014-03-13,64.48,27831.7979,4026601.0
2014-03-14,64.73,27939.7065,2164438.0
2014-03-17,65.44,28246.1671,2013184.0
2014-03-18,65.34,28203.0036,2288406.0
2014-03-19,66.15,28552.6276,3253550.0
2014-03-20,68.0,29351.1516,3823483.0
2014-03-21,68.81,29700.7756,6591505.0
2014-03-24,70.21,30305.064,5065640.0
