,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,37.73,13653.4148,2228357.0
2014-01-03,39.95,14456.7697,7080683.0
2014-01-06,39.36,14243.2655,4640020.0
2014-01-07,38.69,14000.8115,4528381.0
2014-01-08,41.02,14843.9723,7799657.0
2014-01-09,43.8,15849.9753,24475709.0
2014-01-10,45.08,16313.1709,12793355.0
2014-01-13,44.6,16139.4726,5529215.0
2014-01-14,46.75,16917.4965,8855385.0
2014-01-15,46.5,16827.0286,8506238.0
2014-01-16,47.21,17083.9574,4673466.0
2014-01-17,47.07,17033.2954,5887006.0
2014-01-21,47.91,17337.2675,7026789.0
2014-01-22,49.18,17796.8444,6964544.0
2014-01-23,48.43,17525.4407,11051405.0
2014-01-24,46.13,16693.1361,10896346.0
2014-01-27,45.27,16381.9265,7611286.0
2014-01-28,46.03,16656.9489,6294435.0
2014-01-29,45.43,16439.826,5199121.0
2014-01-30,46.43,16801.6976,4303662.0
2014-01-31,45.84,16588.1933,4731436.0
2014-02-03,43.82,15857.2127,9529208.0
2014-02-04,43.97,15911.4935,5430168.0
2014-02-05,43.61,15781.2197,4482108.0
2014-02-06,45.03,16295.0773,4084094.0
2014-02-07,45.54,16479.6318,3333388.0
2014-02-10,45.11,16324.0271,2780457.0
2014-02-11,44.01,15925.9683,6445292.0
2014-02-12,44.49,16099.6667,4867734.0
2014-02-13,45.1,16320.4083,3666490.0
2014-02-14,44.5,16103.2854,3373274.0
2014-02-18,43.66,15799.3133,5539281.0
2014-02-19,43.28,15661.8021,4052561.0
2014-02-20,45.69,16976.4076,5218664.0
2014-02-21,45.6,16942.9675,4131389.0
2014-02-24,46.1,17128.7457,3347789.0
2014-02-25,47.26,17559.751,6162674.0
2014-02-26,46.81,17392.5506,3399287.0
2014-02-27,46.51,17281.0837,3099768.0
2014-02-28,44.96,16705.1715,9395753.0
2014-03-03,44.01,16352.193,4780425.0
2014-03-04,45.24,16809.2072,3811717.0
2014-03-05,47.1,17500.302,4926647.0
2014-03-06,47.98,17827.2715,6104221.0
2014-03-07,47.75,17741.8136,2848132.0
2014-03-10,46.66,17336.8172,4580279.0
2014-03-11,46.2,17165.9013,2994809.0
2014-03-12,45.94,17069.2966,3210237.0
2014-03-13,44.93,16694.0248,3631950.0
2014-03-14,44.4,16497.0999,4864865.0
2014-03-17,45.64,16957.8298,4947735.0
2014-03-18,45.22,16801.7761,4338037.0
2014-03-19,44.67,16597.4201,3595624.0
2014-03-20,45.23,16805.4917,3493065.0
2014-03-21,44.33,16471.091,6295762.0
2014-03-24,44.45,16515.6778,4280287.0
2014-03-25,45.2,16794.345,3210995.0
2014-03-26,44.13,16396.7797,3312092.0
2014-03-27,43.89,16307.6062,3501109.0
2014-03-28,42.96,15962.0589,3381816.0
2014-03-31,44.63,16582.5579,3105654.0
2014-04-01,46.9,17425.9907,6528070.0
2014-04-02,47.23,17548.6043,3946326.0
2014-04-03,46.45,17258.7904,2967855.0
2014-04-04,44.88,16675.447,3915684.0
2014-04-07,44.35,16478.5221,5027027.0
2014-04-08,43.31,16092.1036,6330100.0
2014-04-09,44.52,16541.6867,9320168.0
2014-04-10,42.28,15709.4006,5767035.0
2014-04-11,41.49,15415.8711,4168601.0
2014-04-14,41.12,15278.3953,4537769.0
2014-04-15,41.98,15597.9337,5000857.0
2014-04-16,43.94,16326.184,4613910.0
2014-04-17,43.55,16181.2771,3224087.0
2014-04-21,43.78,16266.735,3539298.0
2014-04-22,45.81,17020.9943,4664219.0
2014-04-23,46.06,17113.8834,4340517.0
2014-04-24,41.53,15511.6375,15590464.0
2014-04-25,39.41,14719.8082,13221276.0
2014-04-28,39.2,14641.3723,11360706.0
2014-04-29,41.56,15522.8426,9453354.0
2014-04-30,40.87,15265.1246,8674730.0
2014-05-01,40.92,15283.7998,3201442.0
2014-05-02,40.72,15209.0989,2637734.0
2014-05-05,40.52,15134.3981,3337844.0
2014-05-06,40.09,14973.7912,2852189.0
2014-05-07,39.9,14902.8253,5593138.0
2014-05-08,40.37,15078.3724,5041266.0
2014-05-09,40.16,14999.9365,3885016.0
2014-05-12,41.58,15530.3127,5333322.0
2014-05-13,42.14,15739.4752,4172495.0
2014-05-14,41.89,15646.0991,3406656.0
2014-05-15,40.8,15238.9793,4732729.0
2014-05-16,40.51,15130.663,4289438.0
2014-05-19,41.24,15403.3212,3127062.0
2014-05-20,40.38,15082.1075,4368406.0
2014-05-21,41.32,15433.2016,6503981.0
2014-05-22,42.0,15687.1846,3589642.0
2014-05-23,43.57,16273.5865,7412246.0
2014-05-27,43.49,16243.7061,3643670.0
