,VLO US Equity,VLO US Equity,VLO US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,49.87,26907.9697,4582849.0
2014-01-03,49.35,26627.3973,4340909.0
2014-01-06,49.83,26886.3872,6317331.0
2014-01-07,51.42,27744.2912,13198337.0
2014-01-08,51.86,27981.6986,11679303.0
2014-01-09,52.9,28542.8433,10732239.0
2014-01-10,53.24,28726.2945,10084066.0
2014-01-13,51.49,27782.0606,8229045.0
2014-01-14,52.38,28262.271,7616085.0
2014-01-15,51.64,27862.9949,12484334.0
2014-01-16,50.88,27452.9276,10525789.0
2014-01-17,51.42,27744.2912,6720995.0
2014-01-21,51.89,27997.8855,5776225.0
2014-01-22,50.95,27490.6969,6845199.0
2014-01-23,51.25,27652.5656,10802348.0
2014-01-24,49.04,26460.133,10795606.0
2014-01-27,49.57,26746.101,7479398.0
2014-01-28,50.2,27086.0252,6956136.0
2014-01-29,51.4,27733.5,11734109.0
2014-01-30,51.41,27738.8956,6473056.0
2014-01-31,51.1,27571.6313,6419370.0
2014-02-03,48.85,26357.6162,9526516.0
2014-02-04,48.24,26028.4832,15607883.0
2014-02-05,46.37,25019.5018,16105923.0
2014-02-06,47.18,25456.5472,8944202.0
2014-02-07,48.82,26341.4293,9815638.0
2014-02-10,47.36,25553.6684,7970110.0
2014-02-11,47.82,25801.8671,6581110.0
2014-02-12,47.64,25704.7459,5882492.0
2014-02-13,49.01,26443.9462,6816801.0
2014-02-14,49.86,26902.5741,7064569.0
2014-02-18,50.74,27377.3889,7283152.0
2014-02-19,50.5,27247.8939,8077274.0
2014-02-20,49.59,26756.8923,11277016.0
2014-02-21,50.23,27102.2121,6853864.0
2014-02-24,50.92,27474.5101,6672678.0
2014-02-25,52.09,28105.7979,6467655.0
2014-02-26,50.72,27366.5976,7301567.0
2014-02-27,48.51,25832.0724,15346357.0
2014-02-28,47.98,25549.842,9533403.0
2014-03-03,48.35,25746.8708,7244475.0
2014-03-04,49.22,26210.1547,10644132.0
2014-03-05,50.28,26774.6156,7902341.0
2014-03-06,52.88,28159.1422,13447614.0
2014-03-07,52.99,28217.7184,7758416.0
2014-03-10,53.47,28473.3233,8101805.0
2014-03-11,53.67,28579.8253,7848649.0
2014-03-12,55.29,29442.4919,13044793.0
2014-03-13,54.04,28776.8541,8917533.0
2014-03-14,54.23,28878.0311,8602203.0
2014-03-17,54.32,28925.957,6887979.0
2014-03-18,55.08,29330.6648,5723857.0
2014-03-19,54.34,28936.6072,5009429.0
2014-03-20,55.19,29389.2409,6930003.0
2014-03-21,53.79,28654.2357,9185812.0
2014-03-24,54.13,28835.3556,6728794.0
2014-03-25,54.37,28963.205,5810232.0
2014-03-26,53.94,28734.1415,6181460.0
2014-03-27,52.17,27791.2526,7698846.0
2014-03-28,52.86,28158.8195,5656147.0
2014-03-31,53.1,28286.6688,5721134.0
2014-04-01,55.51,29570.4894,8715395.0
2014-04-02,54.85,29218.9037,6669045.0
2014-04-03,55.79,29719.647,5752059.0
2014-04-04,54.38,28968.532,6974300.0
2014-04-07,51.91,27652.7491,10304061.0
2014-04-08,51.65,27514.2457,8746970.0
2014-04-09,52.95,28206.763,5823736.0
2014-04-10,51.93,27663.4032,5189113.0
2014-04-11,50.96,27146.6788,5938014.0
2014-04-14,52.05,27727.3279,6014218.0
2014-04-15,53.57,28537.0405,7006599.0
2014-04-16,55.94,29799.5528,9455935.0
2014-04-17,56.0,29831.5151,8013209.0
2014-04-21,56.22,29948.7104,4847746.0
2014-04-22,56.55,30124.5032,8450988.0
2014-04-23,56.46,30076.5597,4387891.0
2014-04-24,56.55,30124.5032,4026463.0
2014-04-25,56.67,30188.4279,5527500.0
2014-04-28,57.97,30880.9452,9807022.0
2014-04-29,56.84,30278.9879,8051421.0
2014-04-30,57.17,30454.7807,7455843.0
2014-05-01,57.71,30742.4418,5992715.0
2014-05-02,57.91,30848.9829,6601076.0
2014-05-05,58.26,31035.4299,6595974.0
2014-05-06,58.51,31168.6063,7560198.0
2014-05-07,57.82,30801.0394,7327658.0
2014-05-08,56.81,30315.1877,4827023.0
2014-05-09,55.93,29845.5985,6609959.0
2014-05-12,56.28,30032.3669,5776311.0
2014-05-13,56.37,30080.3931,6530997.0
2014-05-14,56.52,30160.4367,5933598.0
2014-05-15,55.83,29792.236,5251195.0
2014-05-16,55.1,29402.6904,6770642.0
2014-05-19,55.27,29493.4065,4374191.0
2014-05-20,54.92,29306.6381,5622903.0
2014-05-21,54.23,28938.4374,8100829.0
2014-05-22,54.67,29173.232,3498326.0
2014-05-23,54.54,29103.8609,4197323.0
2014-05-27,53.74,28676.9616,6710528.0
2014-05-28,55.69,29717.5287,9424085.0
2014-05-29,56.64,30224.4716,4925988.0
2014-05-30,56.05,29909.6334,5165200.0
2014-06-02,56.51,30155.1005,3083201.0
2014-06-03,55.4,29562.7777,5640498.0
2014-06-04,54.55,29109.1971,6609113.0
2014-06-05,55.64,29690.8475,5216877.0
2014-06-06,55.22,29466.7253,3074446.0
2014-06-09,54.84,29263.9481,3911756.0
2014-06-10,53.3,28442.167,8210862.0
2014-06-11,53.19,28383.4683,7261285.0
2014-06-12,53.81,28714.3153,9069039.0
2014-06-13,53.74,28676.9616,3923739.0
2014-06-16,53.35,28468.8482,4963421.0
2014-06-17,54.11,28874.4025,4578036.0
2014-06-18,55.64,29690.8475,6865768.0
2014-06-19,57.09,30464.6025,8749300.0
2014-06-20,57.36,30608.681,6674923.0
2014-06-23,57.31,30581.9998,4432187.0
2014-06-24,55.99,29877.6159,6602784.0
2014-06-25,51.35,27401.5999,44023669.0
2014-06-26,52.27,27892.5341,15472097.0
2014-06-27,51.67,27572.3596,10683669.0
2014-06-30,50.1,26734.5697,13613543.0
2014-07-01,50.32,26851.967,14613839.0
2014-07-02,50.83,27124.1153,8329777.0
2014-07-03,51.0,27214.8314,4336834.0
2014-07-07,50.27,26825.2858,6025130.0
2014-07-08,49.17,26238.2992,10184374.0
2014-07-09,49.28,26296.9979,9120248.0
2014-07-10,49.21,26259.6442,7465954.0
2014-07-11,50.11,26739.9059,7377567.0
2014-07-14,49.93,26643.8536,6380469.0
2014-07-15,50.28,26830.622,13465425.0
2014-07-16,50.06,26713.2247,7499201.0
2014-07-17,48.84,26062.2033,7432445.0
2014-07-18,48.81,26046.1945,6735482.0
2014-07-21,47.82,25517.9066,7918350.0
2014-07-22,47.86,25539.2516,6755196.0
2014-07-23,48.35,25800.7274,6131061.0
2014-07-24,48.68,25976.8234,5637467.0
2014-07-25,49.2,26254.308,5078167.0
2014-07-28,49.04,26168.9281,6628006.0
2014-07-29,49.85,26601.1637,9926444.0
2014-07-30,50.06,26713.2247,10030196.0
2014-07-31,50.8,27108.1066,11043148.0
2014-08-01,50.44,26916.0019,7027771.0
2014-08-04,50.42,26905.3294,5651210.0
2014-08-05,49.73,26537.1288,5956907.0
2014-08-06,51.26,27353.5737,7191578.0
2014-08-07,50.85,26846.9347,5075093.0
2014-08-08,51.36,27116.196,4448789.0
2014-08-11,51.04,26947.2477,3960620.0
2014-08-12,51.02,26936.6885,3648857.0
2014-08-13,51.33,27100.3571,6514586.0
2014-08-14,52.78,27865.9039,6819790.0
2014-08-15,52.49,27712.7946,6434586.0
2014-08-18,53.32,28151.0041,6392545.0
2014-08-19,54.15,28589.2137,5078694.0
2014-08-20,53.94,28478.3414,4570580.0
2014-08-21,53.51,28251.3171,5242239.0
2014-08-22,53.81,28409.7061,3437722.0
2014-08-25,54.18,28605.0526,3706929.0
2014-08-26,53.77,28388.5876,4521947.0
2014-08-27,54.25,28642.01,4323211.0
2014-08-28,54.16,28594.4933,3367746.0
2014-08-29,54.14,28583.934,3793372.0
2014-09-02,53.42,28203.8004,4877508.0
2014-09-03,53.14,28055.9707,5551412.0
2014-09-04,52.6,27770.8705,4973287.0
2014-09-05,53.01,27987.3355,4865245.0
2014-09-08,53.52,28256.5968,4276203.0
2014-09-09,52.69,27818.3872,5353869.0
2014-09-10,50.96,26905.0107,10207737.0
