,VRTX US Equity,VRTX US Equity,VRTX US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,73.83,17258.2695,966843.0
2014-01-03,73.45,17169.4418,799560.0
2014-01-06,75.5,17648.6434,1701749.0
2014-01-07,74.49,17412.549,1025019.0
2014-01-08,75.23,17585.5291,882596.0
2014-01-09,76.32,17840.324,1660257.0
2014-01-10,78.21,18282.1245,1204282.0
2014-01-13,77.04,18008.629,2867367.0
2014-01-14,79.38,18555.6201,1841023.0
2014-01-15,78.77,18413.0284,1221610.0
2014-01-16,81.0,18934.3062,1503203.0
2014-01-17,82.09,19189.1012,1978362.0
2014-01-21,85.48,19981.5369,2638049.0
2014-01-22,84.12,19663.6276,2397862.0
2014-01-23,83.83,19595.8381,1251187.0
2014-01-24,79.77,18646.7852,1868018.0
2014-01-27,79.37,18553.2825,2657122.0
2014-01-28,79.3,18536.9195,1340726.0
2014-01-29,78.82,18427.2491,1973687.0
2014-01-30,82.15,19205.7665,2458832.0
2014-01-31,79.04,18478.6827,1572652.0
2014-02-03,77.63,18149.0402,2404491.0
2014-02-04,79.15,18504.3995,2141151.0
2014-02-05,77.41,18097.6066,1843576.0
2014-02-06,78.17,18275.2862,1685274.0
2014-02-07,81.41,19032.7626,1466920.0
2014-02-10,82.17,19210.4423,1590434.0
2014-02-11,84.98,20035.8996,1439008.0
2014-02-12,83.9,19781.2659,1265750.0
2014-02-13,85.0,20040.6151,1492749.0
2014-02-14,81.61,19241.3482,1774106.0
2014-02-18,82.0,19333.2993,2043449.0
2014-02-19,82.6,19474.7624,1242590.0
2014-02-20,84.01,19807.2009,1234439.0
2014-02-21,84.81,19995.8184,1911497.0
2014-02-24,83.95,19793.0545,1287642.0
2014-02-25,84.62,19951.0217,1296021.0
2014-02-26,83.95,19793.0545,1129374.0
2014-02-27,83.16,19606.7947,1374793.0
2014-02-28,80.86,19064.5192,1790443.0
2014-03-03,81.56,19229.5596,1134660.0
2014-03-04,83.12,19597.3638,1205952.0
2014-03-05,82.96,19559.6403,914210.0
2014-03-06,79.94,18847.6091,1522554.0
2014-03-07,79.94,18847.6091,1706703.0
2014-03-10,79.65,18779.2352,1316306.0
2014-03-11,79.19,18670.7801,1200974.0
2014-03-12,79.87,18831.105,946268.0
2014-03-13,77.86,18357.2034,1130437.0
2014-03-14,78.32,18465.6585,1179284.0
2014-03-17,77.7,18319.4799,1302145.0
2014-03-18,79.0,18625.9834,959585.0
2014-03-19,77.8,18343.0571,1361777.0
2014-03-20,77.77,18335.9839,957287.0
2014-03-21,73.83,17407.0425,3526016.0
2014-03-24,72.44,17079.3195,1990000.0
2014-03-25,71.9,16952.0026,1409754.0
2014-03-26,70.44,16607.7756,1659180.0
2014-03-27,70.78,16687.9381,1786222.0
2014-03-28,67.8,15985.3377,1425572.0
2014-03-31,70.72,16697.8827,1860645.0
2014-04-01,71.87,16969.4122,2319515.0
2014-04-02,72.3,17070.9406,1316698.0
2014-04-03,69.12,16320.1025,1730196.0
2014-04-04,65.84,15545.6532,2207131.0
2014-04-07,66.4,15677.8763,1646356.0
2014-04-08,65.35,15429.9581,1677401.0
2014-04-09,69.95,16516.076,2107145.0
2014-04-10,65.69,15510.2363,2545734.0
2014-04-11,63.06,14889.2602,2140072.0
2014-04-14,62.44,14742.8704,1695751.0
2014-04-15,63.25,14934.1216,1886008.0
2014-04-16,64.39,15203.29,1459473.0
2014-04-17,64.17,15151.3452,1387435.0
2014-04-21,65.47,15458.2916,1103834.0
2014-04-22,68.3,16126.4902,1862312.0
2014-04-23,66.92,15800.6548,1451854.0
2014-04-24,66.18,15625.9315,1204660.0
2014-04-25,64.19,15156.0674,1120434.0
2014-04-28,64.51,15231.6235,1333472.0
2014-04-29,67.57,15954.128,1282201.0
2014-04-30,67.7,15984.8227,1466185.0
2014-05-01,68.95,16279.9634,1837050.0
2014-05-02,66.37,15670.7929,2812998.0
2014-05-05,68.41,16158.0545,1467929.0
2014-05-06,66.56,15721.095,1373586.0
2014-05-07,65.17,15392.7849,1380855.0
2014-05-08,63.8,15069.1986,1309632.0
2014-05-09,65.05,15364.4416,1245924.0
2014-05-12,67.74,15999.8043,1462857.0
2014-05-13,66.71,15756.5242,827209.0
2014-05-14,67.69,15987.9946,1036551.0
2014-05-15,65.46,15461.2812,1538525.0
2014-05-16,65.03,15359.7177,2018828.0
2014-05-19,67.22,15876.9833,1317208.0
2014-05-20,65.49,15468.3671,1071378.0
2014-05-21,67.15,15860.4497,1076080.0
2014-05-22,71.18,16812.3128,2010722.0
2014-05-23,71.04,16779.2456,1118826.0
2014-05-27,73.36,17327.2165,1593620.0
2014-05-28,71.72,16939.8578,1460400.0
2014-05-29,72.81,17197.3096,1320969.0
2014-05-30,72.26,17067.4027,1173480.0
2014-06-02,72.63,17154.7946,1172964.0
2014-06-03,72.96,17232.7387,975462.0
2014-06-04,72.64,17157.1566,1581854.0
2014-06-05,73.06,17256.3582,1405473.0
2014-06-06,73.49,17357.9217,1185247.0
2014-06-09,74.61,17622.4594,1114369.0
2014-06-10,74.04,17487.8286,1307512.0
2014-06-11,74.08,17497.2764,1033069.0
2014-06-12,73.5,17360.2837,1028955.0
2014-06-13,73.49,17357.9217,810456.0
2014-06-16,67.12,15853.3638,3436204.0
2014-06-17,65.89,15562.8448,1576603.0
2014-06-18,65.08,15371.5274,2213216.0
2014-06-19,64.63,15265.2399,2181922.0
2014-06-20,64.96,15343.1841,2686292.0
2014-06-23,66.61,15732.9047,2166127.0
2014-06-24,93.53,22091.2562,25236837.0
2014-06-25,89.86,21224.423,7001292.0
2014-06-26,93.17,22006.2263,5511777.0
2014-06-27,93.77,22147.9429,2179748.0
2014-06-30,94.68,22362.8797,2487332.0
2014-07-01,95.85,22639.2271,2154485.0
2014-07-02,98.03,23154.1308,3182054.0
2014-07-03,98.8,23336.0004,1300894.0
2014-07-07,96.84,22873.0595,2146603.0
2014-07-08,95.04,22447.9097,2747848.0
2014-07-09,98.1,23170.6644,1906299.0
2014-07-10,97.82,23104.5299,1330241.0
2014-07-11,99.07,23399.7729,1755615.0
2014-07-14,98.38,23236.7988,1246847.0
2014-07-15,96.53,22799.8392,1558375.0
2014-07-16,96.83,22870.6975,1618852.0
2014-07-17,94.49,22318.0028,1634985.0
2014-07-18,97.2,22958.0895,1964400.0
2014-07-21,96.31,22747.8765,1152827.0
2014-07-22,97.74,23085.6344,1499340.0
2014-07-23,98.14,23180.1121,1458144.0
2014-07-24,95.77,22620.3316,1962264.0
2014-07-25,95.75,22615.6077,1259017.0
2014-07-28,95.56,22570.7307,1178298.0
2014-07-29,95.56,22570.7307,1450069.0
2014-07-30,92.01,21732.2408,2295525.0
2014-07-31,88.91,21167.8286,2470099.0
2014-08-01,87.53,20839.2761,2479512.0
2014-08-04,86.69,20639.2876,1964612.0
2014-08-05,87.0,20713.0929,1498044.0
2014-08-06,86.81,20667.8574,1195367.0
2014-08-07,84.74,20175.0287,1388780.0
2014-08-08,86.42,20575.0056,986401.0
2014-08-11,86.2,20522.6277,959534.0
2014-08-12,85.41,20334.5433,710180.0
2014-08-13,88.75,21129.7356,1386831.0
2014-08-14,90.37,21515.4277,1156441.0
2014-08-15,90.88,21636.8492,1053292.0
2014-08-18,91.3,21736.8435,1147810.0
2014-08-19,91.92,21884.454,894155.0
2014-08-20,91.3,21736.8435,1071383.0
2014-08-21,88.99,21186.8752,1007361.0
2014-08-22,90.22,21479.7154,862435.0
2014-08-25,91.76,21846.361,971946.0
2014-08-26,93.64,22293.9543,1899755.0
2014-08-27,93.03,22148.7245,837012.0
2014-08-28,92.8,22093.9658,558165.0
2014-08-29,93.57,22277.2885,723167.0
2014-09-02,92.96,22132.0588,1289795.0
2014-09-03,92.82,22098.7274,660130.0
2014-09-04,91.55,21796.3639,864859.0
2014-09-05,95.04,22627.2684,2065566.0
2014-09-08,94.49,22496.3236,1353144.0
2014-09-09,93.12,22170.1519,967455.0
2014-09-10,94.74,22555.8439,1705206.0
2014-09-11,94.25,22439.184,1339441.0
2014-09-12,92.99,22139.2013,1215564.0
2014-09-15,92.13,21934.4511,1151152.0
2014-09-16,93.86,22346.3322,1550386.0
2014-09-17,94.5,22498.7044,1275171.0
2014-09-18,97.35,23177.2367,1413902.0
2014-09-19,103.75,24700.9585,6299332.0
2014-09-22,104.71,24929.5168,2697234.0
2014-09-23,104.84,24960.4674,2410212.0
2014-09-24,111.98,26660.3695,3784410.0
2014-09-25,110.28,26255.6309,2646600.0
2014-09-26,113.6,27046.0615,2235861.0
2014-09-29,113.9,27117.486,2067143.0
2014-09-30,112.31,26738.9364,2444208.0
2014-10-01,107.25,25534.2438,2747701.0
2014-10-02,104.8,24950.9441,2361692.0
2014-10-03,108.59,25853.2731,1954194.0
2014-10-06,105.76,25179.5024,1462565.0
2014-10-07,102.83,24481.9235,1237065.0
2014-10-08,107.02,25479.4851,1470936.0
2014-10-09,105.27,25062.8424,1578339.0
2014-10-10,104.73,24934.2784,2015910.0
2014-10-13,105.91,25215.2146,2409571.0
2014-10-14,104.26,24822.3801,1802387.0
2014-10-15,101.1,24070.0425,2353867.0
2014-10-16,101.26,24108.1355,1822737.0
2014-10-17,102.35,24367.6444,1825852.0
2014-10-20,104.77,24943.8017,1178616.0
2014-10-21,108.16,25750.898,1897317.0
2014-10-22,106.17,25277.1158,1539994.0
2014-10-23,108.09,25734.2323,1261219.0
2014-10-24,109.91,26167.5407,939320.0
2014-10-27,111.59,26567.5177,1204972.0
2014-10-28,114.07,27157.9599,2170562.0
2014-10-29,109.91,26167.5407,2449051.0
2014-10-30,110.85,26391.3373,1398361.0
2014-10-31,112.64,26817.5033,1664600.0
2014-11-03,112.98,26898.451,1046824.0
2014-11-04,114.1,27165.1023,1196307.0
2014-11-05,111.59,26567.5177,1099251.0
2014-11-06,117.29,28210.8025,1533635.0
2014-11-07,115.93,27883.6928,1307194.0
2014-11-10,116.94,28126.6199,1131693.0
2014-11-11,117.49,28258.9068,861704.0
2014-11-12,116.68,28064.0842,833768.0
