,WY US Equity,WY US Equity,WY US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-01-02,31.27,18222.7662,2749463.0
2014-01-03,31.34,18263.5591,1945874.0
2014-01-06,31.02,18077.0773,3340883.0
2014-01-07,31.11,18129.5253,4501212.0
2014-01-08,30.82,17960.5262,4596574.0
2014-01-09,31.0,18065.4222,2776039.0
2014-01-10,31.06,18100.3875,2137604.0
2014-01-13,30.58,17820.6648,2062719.0
2014-01-14,30.94,18030.4568,2140825.0
2014-01-15,31.05,18094.56,2083279.0
2014-01-16,31.17,18164.4906,2552640.0
2014-01-17,30.97,18047.9395,2515728.0
2014-01-21,31.15,18152.8355,2417125.0
2014-01-22,31.11,18129.5253,2194241.0
2014-01-23,30.56,17809.0097,4262858.0
2014-01-24,30.19,17593.3902,4907382.0
2014-01-27,30.33,17674.976,4263590.0
2014-01-28,30.73,17908.0782,3821639.0
2014-01-29,30.54,17797.3546,2868542.0
2014-01-30,30.77,17931.3884,2776920.0
2014-01-31,29.88,17412.736,6995696.0
2014-02-03,29.39,17127.1857,4851591.0
2014-02-04,29.41,17138.8408,3551102.0
2014-02-05,29.07,16940.704,5450690.0
2014-02-06,29.51,17197.1164,2923506.0
2014-02-07,29.88,17412.736,3383087.0
2014-02-10,30.01,17488.4942,2944207.0
2014-02-11,30.19,17593.3902,2543838.0
2014-02-12,30.28,17645.8382,2673286.0
2014-02-13,30.39,17709.9413,2301804.0
2014-02-14,30.45,17744.9066,2175070.0
2014-02-18,30.51,17812.6426,2122682.0
2014-02-19,30.35,17719.2299,3485104.0
2014-02-20,30.45,17777.6129,2719475.0
2014-02-21,30.18,17619.9789,2989518.0
2014-02-24,30.21,17637.4938,3287009.0
2014-02-25,29.92,17468.1832,4589022.0
2014-02-26,29.85,17427.3151,3814421.0
2014-02-27,29.51,17228.813,4603301.0
2014-02-28,29.51,17228.813,5394170.0
2014-03-03,29.28,17094.5322,4771956.0
2014-03-04,29.62,17293.0343,5296133.0
2014-03-05,29.82,17409.8002,5059277.0
2014-03-06,30.16,17608.3023,2912009.0
2014-03-07,29.79,17392.2853,3323435.0
2014-03-10,29.67,17322.2257,3561453.0
2014-03-11,29.6,17281.3577,2474645.0
2014-03-12,29.6,17281.3577,2549329.0
2014-03-13,29.78,17386.447,5842592.0
2014-03-14,29.86,17433.1534,3710010.0
2014-03-17,29.33,17123.7237,4801603.0
2014-03-18,29.61,17287.196,4133511.0
2014-03-19,29.17,17030.3109,4369598.0
2014-03-20,29.28,17094.5322,3591395.0
2014-03-21,29.29,17100.3705,4288152.0
2014-03-24,29.23,17065.3407,2511115.0
2014-03-25,29.25,17077.0173,2475506.0
2014-03-26,28.89,16866.8386,2459755.0
2014-03-27,28.84,16837.6471,4620267.0
2014-03-28,29.18,17036.1492,2596806.0
2014-03-31,29.35,17135.4003,2350597.0
2014-04-01,29.79,17392.2853,3754630.0
2014-04-02,29.47,17205.4598,3046378.0
2014-04-03,29.75,17368.9321,4277739.0
2014-04-04,29.6,17281.3577,3598967.0
2014-04-07,29.01,16936.8982,4038546.0
2014-04-08,28.55,16668.3365,7066148.0
2014-04-09,28.67,16738.3961,5372461.0
2014-04-10,28.19,16458.1579,3402732.0
2014-04-11,27.72,16183.7579,4001211.0
2014-04-14,27.89,16283.009,2676399.0
2014-04-15,27.76,16207.1111,3800974.0
2014-04-16,27.9,16288.8473,3417444.0
2014-04-17,27.87,16271.3324,4481880.0
2014-04-21,28.2,16463.9962,2254331.0
2014-04-22,28.45,16609.9536,3032460.0
2014-04-23,28.6,16697.528,4220242.0
2014-04-24,28.74,16779.2642,3611717.0
2014-04-25,29.52,17234.6513,4606689.0
2014-04-28,29.81,17403.9619,3843419.0
2014-04-29,29.92,17468.1832,2857469.0
2014-04-30,29.85,17462.4668,3386138.0
2014-05-01,29.93,17509.2674,3442307.0
2014-05-02,29.94,17515.1175,2722414.0
2014-05-05,30.26,17702.3198,3228581.0
2014-05-06,30.26,17702.3198,3828507.0
2014-05-07,30.42,17795.9209,2500329.0
2014-05-08,30.17,17649.6691,2930632.0
2014-05-09,30.3,17725.7201,2570190.0
2014-05-12,30.33,17743.2703,2256513.0
2014-05-13,30.28,17714.0199,2679743.0
2014-05-14,30.48,17831.0214,3700776.0
2014-05-15,30.07,17591.1684,2330742.0
2014-05-16,30.31,17731.5701,2831668.0
2014-05-19,30.21,17673.0694,2628582.0
2014-05-20,29.89,17485.8671,2270860.0
2014-05-21,30.25,17696.4697,3153646.0
2014-05-22,30.35,17754.9704,22033722.0
2014-05-23,30.87,18059.1742,11135709.0
2014-05-27,30.9,18076.7244,6101991.0
2014-05-28,31.11,18199.576,5376515.0
2014-05-29,31.27,18293.1771,6095492.0
2014-05-30,31.42,18380.9282,3969479.0
2014-06-02,31.45,18398.4784,3485170.0
2014-06-03,31.08,18182.0257,6597738.0
2014-06-04,30.98,18123.525,12129219.0
2014-06-05,31.29,18304.8773,16633308.0
2014-06-06,31.34,18334.1276,10570858.0
2014-06-09,31.32,18322.4275,7108046.0
2014-06-10,31.24,18275.6269,7184962.0
2014-06-11,31.14,18217.1262,8965506.0
2014-06-12,30.89,18070.8744,6729072.0
2014-06-13,30.84,18041.624,3508468.0
2014-06-16,30.86,18053.3241,6107375.0
2014-06-17,30.93,18094.2747,3608115.0
2014-06-18,30.86,18053.3241,5437412.0
2014-06-19,30.87,18059.1742,4391656.0
2014-06-20,31.08,18182.0257,7489666.0
2014-06-23,31.23,18269.7768,7839439.0
