Date,PX_LAST,CUR_MKT_CAP,PX_VOLUME,Ticker
2014-01-02,10.9675,13887.5808,3534560.0,APH
2014-01-03,11.0075,13938.2308,3066808.0,APH
2014-01-06,10.9063,13810.0231,3134832.0,APH
2014-01-07,10.98,13903.4089,2441096.0,APH
2014-01-08,11.0413,13980.9666,3415336.0,APH
2014-01-09,11.1775,14153.493,4247912.0,APH
2014-01-10,11.1675,14140.8305,3076912.0,APH
2014-01-13,11.1488,14117.0884,6033296.0,APH
2014-01-14,11.5513,14626.7534,6920880.0,APH
2014-01-15,11.5063,14569.7722,5625288.0,APH
2014-01-16,11.4838,14541.2816,2910608.0,APH
2014-01-17,11.51,14574.5206,3781784.0,APH
2014-01-21,11.38,14409.9083,8489296.0,APH
2014-01-22,11.3837,14414.6568,6755424.0,APH
2014-01-23,11.0613,14006.2916,6640896.0,APH
2014-01-24,10.7363,13594.7608,5406208.0,APH
2014-01-27,10.6675,13507.7062,7146288.0,APH
2014-01-28,10.7613,13626.417,8782552.0,APH
2014-01-29,10.7038,13553.6078,9266848.0,APH
2014-01-30,10.8338,13718.2201,6212776.0,APH
2014-01-31,10.86,13751.4591,6380760.0,APH
2014-02-03,10.585,13403.2407,8024064.0,APH
2014-02-04,10.62,13447.5594,5538928.0,APH
2014-02-05,10.6663,13506.1234,4396200.0,APH
2014-02-06,10.8375,13722.9685,5010984.0,APH
2014-02-07,10.92,13827.434,4449064.0,APH
2014-02-10,10.8788,13775.2013,2970312.0,APH
2014-02-11,10.995,13922.4026,3423336.0,APH
2014-02-12,11.035,13973.0526,2576608.0,APH
2014-02-13,11.0675,14014.2057,2239896.0,APH
2014-02-14,11.0338,13971.4698,3771672.0,APH
2014-02-18,11.1063,14063.2728,3327736.0,APH
2014-02-19,11.0688,14015.7885,3720056.0,APH
2014-02-20,11.1188,14079.1009,2530120.0,APH
2014-02-21,11.02,13954.0589,4581680.0,APH
2014-02-24,11.1138,14065.5197,3843408.0,APH
