Date,PX_LAST,CUR_MKT_CAP,PX_VOLUME,Ticker
2014-01-02,34.56,39692.9067,3469457.0,BK
2014-01-03,34.96,40152.3154,4000345.0,BK
2014-01-06,34.95,40140.8301,6206862.0,BK
2014-01-07,34.54,39669.9363,6967526.0,BK
2014-01-08,34.66,39807.7589,4855021.0,BK
2014-01-09,34.7,39853.6997,3673748.0,BK
2014-01-10,34.23,39313.8946,4781979.0,BK
2014-01-13,33.5,38475.4738,6130572.0,BK
2014-01-14,33.82,38843.0007,5369710.0,BK
2014-01-15,34.16,39233.4981,6029967.0,BK
2014-01-16,33.92,38957.8529,6851314.0,BK
2014-01-17,32.7,37556.6565,8532869.0,BK
2014-01-21,33.09,38004.58,7714804.0,BK
2014-01-22,33.41,38372.1069,6127157.0,BK
2014-01-23,33.12,38039.0356,8123437.0,BK
2014-01-24,32.34,36940.365,7145116.0,BK
2014-01-27,32.04,36597.69,6479574.0,BK
2014-01-28,32.22,36803.295,5983320.0,BK
2014-01-29,31.73,36243.5925,6445434.0,BK
2014-01-30,32.41,37020.3225,4798070.0,BK
2014-01-31,31.96,36506.31,5236328.0,BK
2014-02-03,30.91,35306.9475,7764980.0,BK
2014-02-04,31.19,35626.7775,8462292.0,BK
2014-02-05,30.93,35329.7925,4187761.0,BK
2014-02-06,31.47,35946.6075,3671715.0,BK
2014-02-07,31.79,36312.1275,5292548.0,BK
2014-02-10,31.51,35992.2975,4695231.0,BK
2014-02-11,31.97,36517.7325,4739388.0,BK
2014-02-12,31.98,36529.155,2545092.0,BK
2014-02-13,31.98,36529.155,3479674.0,BK
2014-02-14,31.79,36312.1275,4978852.0,BK
2014-02-18,31.76,36277.86,3527897.0,BK
2014-02-19,31.13,35558.2425,4369587.0,BK
2014-02-20,31.18,35615.355,6169761.0,BK
2014-02-21,31.35,35809.5375,4638899.0,BK
2014-02-24,31.8,36323.55,4555386.0,BK
2014-02-25,31.45,35923.7625,5110969.0,BK
2014-02-26,31.4,35866.65,4516925.0,BK
2014-02-27,31.87,36403.5075,4527874.0,BK
2014-02-28,32.0,36321.6172,6393827.0,BK
2014-03-03,31.87,36174.0606,5903132.0,BK
2014-03-04,32.4,36775.6374,5279315.0,BK
2014-03-05,32.44,36821.0394,3789047.0,BK
2014-03-06,32.76,37184.2556,3488552.0,BK
2014-03-07,33.51,38035.5435,8248638.0,BK
2014-03-10,33.34,37842.5849,3664813.0,BK
2014-03-11,33.22,37706.3788,5377567.0,BK
2014-03-12,33.3,37797.1829,5984818.0,BK
2014-03-13,33.17,37649.6263,10375322.0,BK
2014-03-14,33.13,37604.2243,10727284.0,BK
2014-03-17,33.37,37876.6364,4961124.0,BK
2014-03-18,33.49,38012.8425,4420737.0,BK
2014-03-19,34.19,38807.3779,8468204.0,BK
2014-03-20,35.22,39976.4799,10652719.0,BK
2014-03-21,35.25,40010.5314,15036877.0,BK
2014-03-24,35.58,40385.0981,7284792.0,BK
2014-03-25,35.4,40180.789,17410465.0,BK
2014-03-26,35.15,39897.0264,5191818.0,BK
2014-03-27,35.0,39726.7688,7890218.0,BK
2014-03-28,35.1,39840.2739,3842943.0,BK
2014-03-31,35.29,40055.9335,3915845.0,BK
2014-04-01,35.41,40192.1395,5115893.0,BK
2014-04-02,35.27,40033.2324,3755231.0,BK
2014-04-03,35.39,40169.4385,3512974.0,BK
2014-04-04,34.6,39272.7486,5054936.0,BK
2014-04-07,33.82,38387.4092,5960037.0,BK
2014-04-08,33.88,38455.5122,5721090.0,BK
2014-04-09,33.97,38557.6667,5008385.0,BK
2014-04-10,33.33,37831.2344,8247781.0,BK
2014-04-11,33.12,37592.8738,6146946.0,BK
2014-04-14,33.23,37717.7293,4312079.0,BK
2014-04-15,33.25,37740.4304,5813545.0,BK
2014-04-16,33.42,37933.389,6816711.0,BK
2014-04-17,33.76,38319.3061,3610162.0,BK
2014-04-21,33.71,38262.5536,4472032.0,BK
2014-04-22,33.75,38307.9556,5785173.0,BK
2014-04-23,34.21,38830.0789,7088303.0,BK
2014-04-24,33.62,38160.3991,5899537.0,BK
2014-04-25,33.6,38137.698,5762039.0,BK
2014-04-28,33.36,37865.2859,4867647.0,BK
2014-04-29,33.82,38387.4092,4086645.0,BK
2014-04-30,33.87,38444.1617,5838816.0,BK
2014-05-01,33.95,38534.9657,4622122.0,BK
2014-05-02,34.43,39079.79,5750060.0,BK
2014-05-05,34.3,38932.2334,3745661.0,BK
2014-05-06,33.6,38137.698,4905259.0,BK
2014-05-07,34.3,38932.2334,4481884.0,BK
2014-05-08,34.47,39125.192,5783628.0,BK
2014-05-09,34.1,38705.2233,5944665.0,BK
2014-05-12,34.78,39662.1703,3882628.0,BK
2014-05-13,34.86,39753.4002,3647465.0,BK
2014-05-14,34.18,38977.9466,4320705.0,BK
2014-05-15,33.65,38373.5489,4892896.0,BK
2014-05-16,34.03,38806.8906,6807233.0,BK
2014-05-19,34.1,38886.7167,3066780.0,BK
2014-05-20,34.08,38863.9093,4968546.0,BK
2014-05-21,34.33,39149.0025,3106797.0,BK
2014-05-22,34.57,39422.692,4075008.0,BK
2014-05-23,34.59,39445.4995,3021136.0,BK
2014-05-27,34.65,39513.9218,4032680.0,BK
2014-05-28,34.37,39194.6174,3918586.0,BK
2014-05-29,34.58,39434.0957,2974598.0,BK
2014-05-30,34.56,39411.2883,3974769.0,BK
2014-06-02,34.65,39513.9218,3219203.0,BK
2014-06-03,34.58,39434.0957,2585207.0,BK
2014-06-04,34.62,39479.7107,3088778.0,BK
2014-06-05,34.95,39856.0337,3889709.0,BK
2014-06-06,35.19,40129.7232,2688752.0,BK
2014-06-09,35.44,40414.8165,2853563.0,BK
2014-06-10,35.48,40460.4314,2964908.0,BK
2014-06-11,35.38,40346.3941,3357209.0,BK
2014-06-12,35.31,40266.568,4665617.0,BK
2014-06-13,35.36,40323.5866,3804493.0,BK
2014-06-16,34.86,39753.4002,3922393.0,BK
2014-06-17,35.61,40608.6799,5047815.0,BK
2014-06-18,35.91,40950.7917,5368201.0,BK
2014-06-19,35.66,40665.6985,8834927.0,BK
2014-06-20,36.01,41064.829,8181828.0,BK
2014-06-23,36.11,41178.8663,3976651.0,BK
2014-06-24,35.97,41019.2141,7717281.0,BK
2014-06-25,36.24,41327.1148,5765071.0,BK
2014-06-26,35.86,40893.7731,5476201.0,BK
2014-06-27,36.23,41315.7111,5864372.0,BK
2014-06-30,37.48,42741.1772,12206657.0,BK
2014-07-01,37.9,43220.1339,10110910.0,BK
2014-07-02,37.61,42889.4257,5241695.0,BK
2014-07-03,37.93,43254.345,2739308.0,BK
2014-07-07,37.72,43014.8667,4301451.0,BK
2014-07-08,37.6,42878.022,6016129.0,BK
2014-07-09,37.63,42912.2332,4453868.0,BK
2014-07-10,37.72,43014.8667,5067833.0,BK
2014-07-11,37.61,42889.4257,4403721.0,BK
2014-07-14,37.64,42923.6369,5030005.0,BK
2014-07-15,38.24,43607.8606,8515346.0,BK
2014-07-16,38.11,43459.6122,6012853.0,BK
2014-07-17,38.0,43334.1711,5608460.0,BK
2014-07-18,38.43,43824.5315,5828836.0,BK
2014-07-21,38.44,43835.9352,5869024.0,BK
2014-07-22,39.06,44542.9664,7619207.0,BK
2014-07-23,39.13,44279.3494,7656370.0,BK
2014-07-24,39.77,45003.5708,6394790.0,BK
2014-07-25,39.43,44618.8282,7079314.0,BK
2014-07-28,39.48,44675.408,5538352.0,BK
2014-07-29,39.22,44381.1931,12295889.0,BK
2014-07-30,39.82,45060.1506,5994638.0,BK
2014-07-31,39.04,44177.5058,8017446.0,BK
2014-08-01,38.73,43826.711,7607721.0,BK
2014-08-04,39.2,44358.5611,6041327.0,BK
2014-08-05,38.95,44075.6621,5995935.0,BK
2014-08-06,39.33,44505.6686,4988210.0,BK
2014-08-07,38.42,43475.9163,9337221.0,BK
2014-08-08,38.5,43566.444,8204255.0,BK
2014-08-11,38.44,43498.5482,10707055.0,BK
2014-08-12,38.42,43475.9163,7330227.0,BK
2014-08-13,38.45,43509.8642,5363704.0,BK
2014-08-14,38.29,43328.8088,6325416.0,BK
2014-08-15,38.24,43272.229,6368150.0,BK
2014-08-18,38.57,43645.6557,4512268.0,BK
2014-08-19,38.59,43668.2876,2835121.0,BK
2014-08-20,38.78,43883.2908,2042207.0,BK
2014-08-21,39.14,44290.6654,3444520.0,BK
2014-08-22,39.12,44268.0335,2376195.0,BK
2014-08-25,39.47,44664.092,3765012.0,BK
2014-08-26,39.33,44505.6686,3314179.0,BK
2014-08-27,39.17,44324.6133,3337882.0,BK
2014-08-28,39.0,44132.2419,2759399.0,BK
2014-08-29,39.18,44335.9292,3926582.0,BK
2014-09-02,39.65,44867.7793,3655170.0,BK
2014-09-03,39.52,44720.6718,3013419.0,BK
2014-09-04,39.47,44664.092,4526649.0,BK
2014-09-05,39.47,44664.092,5198924.0,BK
2014-09-08,39.44,44630.1442,5502963.0,BK
2014-09-09,38.79,43894.6068,5069417.0,BK
2014-09-10,39.13,44279.3494,4213463.0,BK
2014-09-11,39.37,44550.9324,10344987.0,BK
2014-09-12,39.9,45150.6783,7548792.0,BK
2014-09-15,39.92,45173.3102,5873131.0,BK
2014-09-16,40.17,45456.2092,5906469.0,BK
2014-09-17,40.26,45558.0528,5066911.0,BK
2014-09-18,40.25,45546.7369,9829235.0,BK
2014-09-19,39.68,44901.7272,9264519.0,BK
2014-09-22,39.34,44516.9846,3839970.0,BK
2014-09-23,38.96,44086.9781,5692558.0,BK
2014-09-24,39.22,44381.1931,4971605.0,BK
2014-09-25,38.65,43736.1834,5376542.0,BK
2014-09-26,38.94,44064.3462,3197478.0,BK
2014-09-29,38.61,43690.9195,3139160.0,BK
2014-09-30,38.73,43826.711,5619293.0,BK
2014-10-01,38.22,43249.5971,3441473.0,BK
2014-10-02,38.21,43238.2811,3856390.0,BK
2014-10-03,38.7,43792.7632,4255443.0,BK
