Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP,Ticker
2014-01-02,10.469,10.6,10.659,10.431,22824550.0,16197.2277,CMG
2014-01-03,10.626,10.48,10.68,10.47,20455850.0,16441.0696,CMG
2014-01-06,10.546,10.694,10.694,10.462,20754600.0,16317.6014,CMG
2014-01-07,10.661,10.576,10.714,10.527,15446500.0,16495.2223,CMG
2014-01-08,10.717,10.59,10.724,10.562,20564800.0,16581.5572,CMG
2014-01-09,10.821,10.739,10.963,10.723,26490400.0,16741.8492,CMG
2014-01-10,10.771,10.842,10.897,10.734,18961450.0,16665.7259,CMG
2014-01-13,10.596,10.794,10.89,10.527,25517950.0,16394.3435,CMG
2014-01-14,10.606,10.64,10.669,10.528,18658250.0,16409.1968,CMG
2014-01-15,10.645,10.68,10.706,10.596,12148400.0,16470.1573,CMG
2014-01-16,10.59,10.657,10.684,10.556,13019350.0,16385.3697,CMG
2014-01-17,10.552,10.713,10.713,10.522,20185600.0,16326.5753,CMG
2014-01-21,10.511,10.634,10.635,10.464,19327600.0,16263.4487,CMG
2014-01-22,10.319,10.571,10.58,10.266,31163700.0,15965.7636,CMG
2014-01-23,10.069,10.256,10.279,9.971,53142050.0,15578.9586,CMG
2014-01-24,9.85,9.905,10.047,9.79,44673600.0,15239.4985,CMG
2014-01-27,9.786,9.847,9.94,9.654,28162750.0,15141.4047,CMG
2014-01-28,9.837,9.839,9.976,9.775,19901350.0,15220.6224,CMG
2014-01-29,9.69,9.8,9.841,9.617,32888450.0,14992.5622,CMG
2014-01-30,9.879,9.739,9.989,9.708,64118100.0,15285.2962,CMG
2014-01-31,11.039,11.068,11.378,10.922,106763800.0,17080.0715,CMG
2014-02-03,10.864,11.004,11.076,10.707,53564050.0,16808.9985,CMG
2014-02-04,10.812,10.929,10.935,10.729,27842750.0,16728.2336,CMG
2014-02-05,10.849,10.776,10.89,10.62,24920500.0,16828.4395,CMG
2014-02-06,10.889,10.852,11.097,10.841,22473800.0,16891.7288,CMG
2014-02-07,10.986,10.866,11.011,10.801,24791100.0,17041.2652,CMG
2014-02-10,10.962,11.05,11.05,10.86,17216400.0,17004.0362,CMG
2014-02-11,10.897,10.966,11.036,10.88,20550250.0,16903.8282,CMG
2014-02-12,10.915,10.979,11.035,10.792,24262450.0,16931.1295,CMG
2014-02-13,11.153,10.792,11.23,10.78,26648400.0,17300.6273,CMG
2014-02-14,11.082,11.04,11.179,10.94,16498900.0,17190.8017,CMG
2014-02-18,11.057,11.023,11.128,11.008,15185000.0,17152.0215,CMG
2014-02-19,11.044,11.076,11.217,11.021,20875900.0,17130.9251,CMG
2014-02-20,11.006,11.022,11.099,10.97,15289750.0,17071.9792,CMG
2014-02-21,10.99,11.028,11.104,10.971,20421650.0,17047.4701,CMG
2014-02-24,11.088,11.019,11.132,10.983,13977550.0,17199.1783,CMG
2014-02-25,11.092,11.141,11.209,11.067,16830400.0,17206.6241,CMG
2014-02-26,11.102,11.141,11.27,11.003,27547000.0,17222.1361,CMG
2014-02-27,11.223,11.033,11.24,11.033,15289100.0,17408.9016,CMG
2014-02-28,11.304,11.245,11.463,11.19,33828400.0,17535.17,CMG
2014-03-03,11.092,11.22,11.279,11.034,26383950.0,17206.0036,CMG
2014-03-04,11.697,11.23,11.719,11.182,50207400.0,18143.8642,CMG
2014-03-05,11.625,11.7,11.72,11.57,27740450.0,18032.7977,CMG
2014-03-06,11.865,11.682,11.89,11.674,31801250.0,18405.7082,CMG
2014-03-07,11.868,11.996,11.999,11.754,15404900.0,18410.0515,CMG
2014-03-10,11.759,11.796,11.879,11.706,18107200.0,18240.9698,CMG
2014-03-11,11.685,11.781,11.873,11.66,15173000.0,18126.4906,CMG
2014-03-12,11.774,11.666,11.775,11.547,12244150.0,18263.9277,CMG
2014-03-13,11.59,11.789,11.838,11.556,15617100.0,17978.5054,CMG
2014-03-14,11.519,11.5,11.642,11.44,16700800.0,17868.6798,CMG
2014-03-17,11.525,11.609,11.618,11.45,13086550.0,17877.9871,CMG
2014-03-18,11.851,11.647,11.904,11.561,30126700.0,18383.0605,CMG
2014-03-19,11.93,11.77,11.969,11.77,22134750.0,18505.9162,CMG
2014-03-20,12.232,11.914,12.284,11.914,40336200.0,18973.7607,CMG
2014-03-21,12.222,12.329,12.458,12.147,38944750.0,18959.4896,CMG
2014-03-24,11.771,12.204,12.262,11.712,41016900.0,18258.9638,CMG
2014-03-25,11.414,11.802,11.862,11.31,48995550.0,17704.8722,CMG
2014-03-26,11.278,11.469,11.519,11.276,29137950.0,17493.9079,CMG
2014-03-27,11.184,11.28,11.321,11.085,27812800.0,17384.4509,CMG
2014-03-28,11.343,11.23,11.48,11.216,26922250.0,17632.8535,CMG
2014-03-31,11.361,11.415,11.42,11.3,22101900.0,17660.2119,CMG
2014-04-01,11.579,11.36,11.605,11.36,15676400.0,17999.7059,CMG
2014-04-02,11.524,11.651,11.651,11.444,14858150.0,17913.8997,CMG
2014-04-03,11.418,11.58,11.657,11.31,20551750.0,17748.5052,CMG
2014-04-04,11.103,11.42,11.426,11.021,34355900.0,17259.4723,CMG
2014-04-07,10.712,11.0,11.1,10.584,40242550.0,16651.057,CMG
2014-04-08,11.015,10.8,11.06,10.783,28993150.0,17121.7472,CMG
2014-04-09,11.128,11.045,11.136,10.941,20521400.0,17298.0229,CMG
2014-04-10,10.68,11.102,11.123,10.679,30034000.0,16601.9361,CMG
2014-04-11,10.697,10.56,10.87,10.535,49428300.0,16628.6728,CMG
2014-04-14,10.82,10.81,10.93,10.682,22100250.0,16818.6277,CMG
2014-04-15,10.811,10.865,10.993,10.64,24396250.0,16804.9484,CMG
2014-04-16,11.048,10.9,11.072,10.8,31739200.0,17173.6662,CMG
2014-04-17,10.392,11.654,11.774,10.37,194214500.0,16151.0437,CMG
2014-04-21,10.131,10.434,10.44,10.114,68727750.0,15744.7887,CMG
2014-04-22,10.253,10.167,10.283,10.083,45698700.0,15935.3276,CMG
2014-04-23,10.081,10.22,10.239,10.041,24180550.0,15667.392,CMG
2014-04-24,10.152,10.172,10.226,10.065,26536950.0,15777.7367,CMG
2014-04-25,10.046,10.145,10.145,9.97,20207100.0,15613.3076,CMG
2014-04-28,9.526,10.051,10.051,9.448,71799550.0,14804.2168,CMG
2014-04-29,9.831,9.596,9.9,9.558,37348450.0,15279.476,CMG
2014-04-30,9.97,9.771,9.998,9.689,33275650.0,15494.8813,CMG
2014-05-01,10.003,9.97,10.1,9.9,23139300.0,15546.1683,CMG
2014-05-02,10.035,9.926,10.087,9.926,23589000.0,15596.5227,CMG
2014-05-05,10.254,10.088,10.371,10.022,30923850.0,15935.6384,CMG
2014-05-06,10.038,10.258,10.286,10.016,21811000.0,15600.8744,CMG
2014-05-07,10.017,10.132,10.132,9.867,28592200.0,15567.3047,CMG
2014-05-08,10.007,9.9,10.277,9.9,18526850.0,15552.3849,CMG
2014-05-09,10.154,9.995,10.17,9.923,22343400.0,15780.2233,CMG
2014-05-12,10.204,10.145,10.264,10.103,21540150.0,15858.8634,CMG
2014-05-13,10.083,10.199,10.219,10.036,14623100.0,15670.8111,CMG
2014-05-14,10.086,10.133,10.29,10.02,24589850.0,15675.7844,CMG
2014-05-15,9.918,10.094,10.094,9.823,25274200.0,15414.6871,CMG
2014-05-16,10.01,9.986,10.03,9.811,29518250.0,15557.669,CMG
2014-05-19,10.026,9.978,10.078,9.978,13550050.0,15581.6029,CMG
2014-05-20,9.913,10.0,10.024,9.865,15797350.0,15406.2947,CMG
2014-05-21,10.084,9.922,10.099,9.92,22246050.0,15671.4328,CMG
2014-05-22,10.41,10.13,10.491,10.124,29754050.0,16178.0859,CMG
2014-05-23,10.446,10.44,10.469,10.307,15560450.0,16235.2786,CMG
2014-05-27,10.721,10.44,10.795,10.44,28304650.0,16661.7376,CMG
2014-05-28,10.765,10.662,10.799,10.582,27405450.0,16730.7418,CMG
2014-05-29,10.908,10.777,10.938,10.77,30895350.0,16953.2962,CMG
2014-05-30,10.942,10.939,10.985,10.85,22707050.0,17005.2048,CMG
2014-06-02,11.031,10.96,11.057,10.905,19975500.0,17144.1459,CMG
2014-06-03,11.012,10.963,11.05,10.96,17886500.0,17113.9954,CMG
