Date,PX_LAST,CUR_MKT_CAP,PX_VOLUME,Ticker
2014-01-02,47.7441,6961.9009,1782716.0,DRI
2014-01-03,47.4665,6958.3245,1824586.0,DRI
2014-01-06,46.5711,6827.0601,2244802.0,DRI
2014-01-07,47.0815,6901.8808,1480372.0,DRI
2014-01-08,46.2129,6774.5543,1867490.0,DRI
2014-01-09,45.9712,6739.1129,805996.0,DRI
2014-01-10,46.6696,6841.4992,1329201.0,DRI
2014-01-13,45.5145,6672.1681,1116631.0,DRI
2014-01-14,45.81,6715.4854,914289.0,DRI
2014-01-15,46.4457,6808.6831,1144260.0,DRI
2014-01-16,46.7771,6857.2509,1989946.0,DRI
2014-01-17,45.6309,6689.2325,1100264.0,DRI
2014-01-21,45.4608,6664.2923,1182701.0,DRI
2014-01-22,45.5593,6678.7313,881268.0,DRI
2014-01-23,45.7473,6706.2969,1282747.0,DRI
2014-01-24,44.8608,6576.3451,1044961.0,DRI
2014-01-27,44.9772,6593.4095,1007711.0,DRI
2014-01-28,44.9146,6584.221,1122974.0,DRI
2014-01-29,44.0281,6454.2693,1701404.0,DRI
2014-01-30,44.3236,6497.5865,1473576.0,DRI
2014-01-31,44.2699,6489.7106,1185662.0,DRI
2014-02-03,42.3716,6211.4302,1627484.0,DRI
2014-02-04,42.7208,6262.6233,1530430.0,DRI
2014-02-05,42.3716,6211.4302,1394552.0,DRI
2014-02-06,42.8193,6277.0624,854342.0,DRI
2014-02-07,43.2133,6334.8187,962532.0,DRI
2014-02-10,43.3476,6354.5083,1475005.0,DRI
2014-02-11,43.7237,6409.6394,1032806.0,DRI
2014-02-12,43.4192,6365.0095,774588.0,DRI
2014-02-13,43.1327,6323.0049,1157081.0,DRI
2014-02-14,43.3207,6350.5704,719050.0,DRI
2014-02-18,43.8848,6433.267,1639730.0,DRI
2014-02-19,43.8401,6426.7037,1216579.0,DRI
2014-02-20,45.219,6628.8509,2182510.0,DRI
2014-02-21,45.6757,6695.7957,2043272.0,DRI
