Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP,Ticker
2014-01-02,61.16,61.69,61.84,60.92,2061600.0,24830.96,DVN
2014-01-03,61.03,61.3,61.68,60.8,1735556.0,24778.18,DVN
2014-01-06,60.25,60.5,60.65,60.07,2566422.0,24461.5,DVN
2014-01-07,61.48,60.92,61.99,60.78,3499660.0,24960.88,DVN
2014-01-08,61.31,61.48,61.79,60.94,3503762.0,24891.86,DVN
2014-01-09,60.78,61.28,61.52,59.99,2831453.0,24676.68,DVN
2014-01-10,60.53,60.96,61.06,60.26,2296904.0,24575.18,DVN
2014-01-13,59.18,60.49,60.79,59.02,3198772.0,24027.08,DVN
2014-01-14,59.78,59.15,60.1,59.12,2414382.0,24270.68,DVN
2014-01-15,59.21,59.91,60.2999,59.12,3032792.0,24039.26,DVN
2014-01-16,59.37,59.11,59.58,58.95,3042150.0,24104.22,DVN
2014-01-17,59.01,59.45,59.58,58.7,3311997.0,23958.06,DVN
2014-01-21,59.68,59.62,60.1401,59.0,2750908.0,24230.08,DVN
2014-01-22,60.41,60.09,60.72,59.59,3092742.0,24526.46,DVN
2014-01-23,60.12,60.32,60.59,59.84,2484479.0,24408.72,DVN
2014-01-24,59.52,59.61,59.89,59.146,3823785.0,24165.12,DVN
2014-01-27,58.67,59.47,59.5,58.462,3576159.0,23820.02,DVN
2014-01-28,59.29,58.91,59.52,58.75,2483435.0,24071.74,DVN
2014-01-29,59.01,58.71,59.57,58.21,3097642.0,23958.06,DVN
2014-01-30,59.67,59.11,60.5,58.73,4712022.0,24226.02,DVN
2014-01-31,59.22,58.91,59.7525,58.8,3442144.0,24043.32,DVN
2014-02-03,57.85,59.19,59.63,57.6729,4388693.0,23487.1,DVN
2014-02-04,59.32,58.73,59.79,58.63,4608803.0,24083.92,DVN
2014-02-05,59.08,59.42,59.64,58.61,3927610.0,23986.48,DVN
2014-02-06,60.45,59.48,60.67,59.04,3738308.0,24542.7,DVN
2014-02-07,61.02,60.49,61.11,60.2,3020933.0,24774.12,DVN
2014-02-10,60.8,60.86,60.94,60.3,2284646.0,24684.8,DVN
2014-02-11,61.54,60.78,61.795,60.56,2033453.0,24985.24,DVN
2014-02-12,61.18,61.87,61.87,60.989,2341868.0,24839.08,DVN
2014-02-13,62.27,60.89,62.46,60.72,3316279.0,25281.62,DVN
2014-02-14,62.05,62.27,62.43,61.57,2318562.0,25192.3,DVN
2014-02-18,62.91,62.35,63.37,62.13,5137014.0,25541.46,DVN
2014-02-19,64.25,63.97,65.64,63.31,9710989.0,26085.5,DVN
2014-02-20,64.56,64.21,64.93,64.05,3788188.0,26211.36,DVN
2014-02-21,63.67,64.67,64.82,63.61,4596629.0,25850.02,DVN
2014-02-24,64.37,63.9,64.91,63.9,3368476.0,26134.22,DVN
2014-02-25,63.91,64.07,64.15,63.19,3765449.0,25947.46,DVN
2014-02-26,63.73,63.81,64.04,63.32,3244520.0,25874.38,DVN
2014-02-27,64.31,63.47,64.42,63.4,3066489.0,26109.86,DVN
2014-02-28,64.42,64.34,64.75,64.08,2457261.0,26154.52,DVN
2014-03-03,63.78,64.0,65.04,63.71,3815535.0,25983.9716,DVN
2014-03-04,64.64,64.28,64.85,63.77,3990299.0,26334.3356,DVN
