Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP,Ticker
2014-01-02,8.01,8.0,8.02,7.82,11104645.0,3559.8659,ON
2014-01-03,8.05,8.01,8.1,7.95,4825688.0,3577.643,ON
2014-01-06,8.03,8.05,8.08,7.97,3523009.0,3568.7545,ON
2014-01-07,8.095,8.04,8.19,7.97,11341101.0,3597.6423,ON
2014-01-08,8.54,8.18,8.64,8.13,18823970.0,3795.4126,ON
2014-01-09,8.48,8.58,8.64,8.4,6067956.0,3768.7469,ON
2014-01-10,8.61,8.49,8.71,8.48,7814130.0,3826.5225,ON
2014-01-13,8.64,8.75,8.75,8.615,9220053.0,3839.8554,ON
2014-01-14,8.795,8.88,8.97,8.75,14206486.0,3908.7417,ON
2014-01-15,8.86,8.84,8.92,8.8,7294352.0,3937.6295,ON
2014-01-16,8.86,8.85,8.89,8.73,4993218.0,3937.6295,ON
2014-01-17,8.79,8.96,8.96,8.75,4588106.0,3906.5195,ON
2014-01-21,8.83,8.88,8.89,8.76,3728690.0,3924.2966,ON
2014-01-22,8.85,8.82,8.9,8.8,8658067.0,3933.1852,ON
2014-01-23,8.71,8.8,8.855,8.675,7085151.0,3870.9653,ON
2014-01-24,8.42,8.69,8.76,8.4,7528208.0,3742.0813,ON
2014-01-27,8.41,8.41,8.52,8.31,5663178.0,3737.637,ON
2014-01-28,8.45,8.39,8.485,8.35,4155712.0,3755.4141,ON
2014-01-29,8.41,8.4,8.6,8.39,5950988.0,3737.637,ON
2014-01-30,8.55,8.48,8.56,8.41,3446730.0,3799.8569,ON
2014-01-31,8.36,8.47,8.58,8.33,5289778.0,3715.4156,ON
2014-02-03,8.07,8.37,8.39,8.02,4940284.0,3586.5316,ON
2014-02-04,8.21,8.1,8.3,8.03,4825710.0,3648.7514,ON
2014-02-05,8.11,8.15,8.19,8.03,2621276.0,3604.3087,ON
2014-02-06,8.32,8.14,8.38,8.08,8878862.0,3697.6385,ON
2014-02-07,9.035,9.05,9.27,8.92,29480927.0,4015.4043,ON
2014-02-10,8.88,8.87,9.11,8.845,9198927.0,3946.518,ON
2014-02-11,8.97,8.87,9.03,8.76,9451731.0,3986.5165,ON
2014-02-12,8.94,9.02,9.02,8.87,7213519.0,3973.1837,ON
2014-02-13,9.28,8.93,9.38,8.91,9759249.0,4124.2891,ON
2014-02-14,9.42,9.32,9.43,9.28,7216707.0,4186.509,ON
2014-02-18,9.45,9.45,9.47,9.35,7557697.0,4199.8418,ON
2014-02-19,9.46,9.49,9.555,9.37,7211537.0,4204.2861,ON
2014-02-20,9.47,9.48,9.57,9.41,6590115.0,4208.7304,ON
2014-02-21,9.38,9.67,9.67,9.295,8447860.0,4131.1575,ON
2014-02-24,9.42,9.4,9.54,9.37,4503070.0,4148.7743,ON
2014-02-25,9.31,9.41,9.47,9.21,4958641.0,4100.3279,ON
2014-02-26,9.44,9.32,9.5,9.32,3624371.0,4157.5828,ON
2014-02-27,9.3,9.4,9.41,9.23,4523164.0,4095.9237,ON
2014-02-28,9.34,9.3,9.53,9.26,5496951.0,4113.5406,ON
2014-03-03,9.35,9.23,9.38,9.12,3577081.0,4117.9448,ON
2014-03-04,9.6,9.47,9.61,9.44,4207853.0,4228.0503,ON
2014-03-05,9.64,9.62,9.72,9.545,4537657.0,4245.6672,ON
2014-03-06,9.7,9.66,9.74,9.585,5078867.0,4272.0925,ON
2014-03-07,9.68,9.64,9.75,9.62,5282411.0,4263.284,ON
2014-03-10,9.53,9.66,9.71,9.42,5893515.0,4197.2208,ON
2014-03-11,9.4,9.56,9.6,9.35,4988930.0,4139.9659,ON
2014-03-12,9.41,9.35,9.47,9.26,5840431.0,4144.3701,ON
2014-03-13,9.2,9.45,9.51,9.16,3645272.0,4051.8815,ON
2014-03-14,9.18,9.19,9.34,9.15,4391986.0,4043.0731,ON
2014-03-17,9.26,9.21,9.33,9.2,4054467.0,4078.3068,ON
2014-03-18,9.45,9.38,9.48,9.2799,5188035.0,4161.987,ON
2014-03-19,9.53,9.5,9.67,9.45,5360710.0,4197.2208,ON
2014-03-20,9.45,9.51,9.6,9.41,11730155.0,4161.987,ON
2014-03-21,9.36,9.49,9.59,9.33,7116315.0,4122.349,ON
2014-03-24,9.39,9.4,9.46,9.26,13407233.0,4135.5617,ON
2014-03-25,9.27,9.43,9.45,9.18,8484242.0,4082.7111,ON
2014-03-26,9.15,9.31,9.4,9.12,5469685.0,4029.8604,ON
2014-03-27,9.11,9.15,9.305,9.05,5852827.0,4012.2436,ON
2014-03-28,9.19,9.12,9.3,9.11,4044411.0,4047.4773,ON
2014-03-31,9.4,9.26,9.43,9.24,5629550.0,4139.9659,ON
2014-04-01,9.45,9.43,9.46,9.36,9476827.0,4161.987,ON
2014-04-02,9.5,9.43,9.58,9.42,12677858.0,4184.0081,ON
2014-04-03,9.75,9.7,9.935,9.66,20924627.0,4294.1136,ON
2014-04-04,9.51,9.78,9.84,9.41,15322581.0,4188.4123,ON
2014-04-07,9.58,9.46,9.68,9.42,7682516.0,4219.2419,ON
2014-04-08,9.89,9.8,9.93,9.71,10444035.0,4355.7726,ON
2014-04-09,10.0,9.9,10.0,9.81,7183095.0,4404.2191,ON
2014-04-10,9.69,9.95,10.07,9.675,9780493.0,4267.6883,ON
2014-04-11,9.58,9.65,9.79,9.55,6731627.0,4221.4021,ON
2014-04-14,9.56,9.67,9.71,9.45,4942832.0,4212.5891,ON
2014-04-15,9.71,9.56,9.76,9.475,5374131.0,4278.6863,ON
2014-04-16,9.51,9.85,9.85,9.21,10563805.0,4190.5568,ON
2014-04-17,9.56,9.47,9.64,9.32,7734008.0,4212.5891,ON
2014-04-21,9.57,9.63,9.65,9.42,3679357.0,4216.9956,ON
2014-04-22,9.7,9.57,9.75,9.55,5493733.0,4274.2798,ON
2014-04-23,9.73,9.74,9.79,9.68,3988234.0,4287.4992,ON
2014-04-24,9.77,9.81,9.81,9.58,2864503.0,4305.1251,ON
2014-04-25,9.45,9.79,9.79,9.37,7941925.0,4164.1179,ON
2014-04-28,9.27,9.56,9.578,9.13,4959478.0,4084.8014,ON
2014-04-29,9.38,9.32,9.41,9.27,3557718.0,4133.2726,ON
2014-04-30,9.41,9.38,9.44,9.25,5740569.0,4146.492,ON
