Date,PX_LAST,CUR_MKT_CAP,PX_VOLUME,Ticker
2014-01-02,102.03,10727.2574,878923.0,SJM
2014-01-03,101.51,10672.5855,620874.0,SJM
2014-01-06,100.9,10608.4512,776228.0,SJM
2014-01-07,101.52,10673.6369,817810.0,SJM
2014-01-08,98.17,10321.4237,1424205.0,SJM
2014-01-09,97.98,10301.4475,1168315.0,SJM
2014-01-10,98.42,10347.7083,908134.0,SJM
2014-01-13,97.39,10239.4159,1055344.0,SJM
2014-01-14,99.34,10444.4355,972475.0,SJM
2014-01-15,98.69,10376.0956,907041.0,SJM
2014-01-16,98.55,10361.3763,623853.0,SJM
2014-01-17,97.2,10219.4396,668072.0,SJM
2014-01-21,97.2,10219.4396,875040.0,SJM
2014-01-22,98.45,10350.8624,832073.0,SJM
2014-01-23,98.08,10311.9613,717096.0,SJM
2014-01-24,97.97,10300.3961,1076731.0,SJM
2014-01-27,98.63,10369.7873,997765.0,SJM
2014-01-28,99.31,10441.2813,931171.0,SJM
2014-01-29,97.11,10209.9772,1081606.0,SJM
2014-01-30,97.86,10288.8309,566602.0,SJM
2014-01-31,96.39,10134.2776,932629.0,SJM
2014-02-03,93.93,9875.6375,1119759.0,SJM
2014-02-04,93.71,9852.507,746440.0,SJM
2014-02-05,92.82,9758.934,1105939.0,SJM
2014-02-06,93.59,9839.8905,598844.0,SJM
2014-02-07,93.37,9816.76,875356.0,SJM
2014-02-10,93.7,9851.4557,901888.0,SJM
2014-02-11,94.03,9886.1513,1648894.0,SJM
2014-02-12,93.71,9852.507,1199664.0,SJM
2014-02-13,95.14,10002.8548,1261187.0,SJM
2014-02-14,91.81,9652.7443,4272235.0,SJM
2014-02-18,95.31,10020.7283,1869457.0,SJM
2014-02-19,95.55,10045.9615,1500111.0,SJM
2014-02-20,98.28,10332.9889,2207066.0,SJM
2014-02-21,97.94,10297.2419,1618138.0,SJM
2014-02-24,98.7,10377.147,1136633.0,SJM
2014-02-25,99.01,10409.7399,1109438.0,SJM
2014-02-26,98.61,10367.6846,1153599.0,SJM
2014-02-27,99.64,10331.5654,1071450.0,SJM
2014-02-28,100.01,10369.9303,1185414.0,SJM
2014-03-03,99.05,10270.3889,1244908.0,SJM
2014-03-04,99.27,10293.2005,1155195.0,SJM
2014-03-05,98.43,10206.1018,723816.0,SJM
2014-03-06,97.63,10123.1507,794801.0,SJM
2014-03-07,97.54,10113.8187,613729.0,SJM
2014-03-10,97.21,10079.6013,462651.0,SJM
2014-03-11,96.55,10011.1666,848499.0,SJM
2014-03-12,97.98,10159.4418,763313.0,SJM
2014-03-13,96.99,10056.7897,599544.0,SJM
2014-03-14,96.18,9972.8017,1052783.0,SJM
2014-03-17,96.12,9966.5804,531824.0,SJM
2014-03-18,97.72,10132.4827,808008.0,SJM
2014-03-19,96.14,9968.6541,672584.0,SJM
2014-03-20,96.7,10026.7199,624689.0,SJM
2014-03-21,96.02,9956.2115,1213522.0,SJM
2014-03-24,96.21,9975.9124,664533.0,SJM
2014-03-25,95.94,9947.9164,496420.0,SJM
2014-03-26,95.93,9946.8795,456596.0,SJM
2014-03-27,96.07,9961.3959,503225.0,SJM
2014-03-28,96.48,10003.9084,344413.0,SJM
2014-03-31,97.24,10082.712,791397.0,SJM
2014-04-01,97.14,10072.3431,742279.0,SJM
2014-04-02,97.79,10139.7409,572735.0,SJM
2014-04-03,97.9,10151.1467,468951.0,SJM
2014-04-04,97.55,10114.8555,615959.0,SJM
