Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP,Ticker
2014-01-02,73.16,73.35,73.555,72.92,1733439.0,32117.3293,STT
2014-01-03,74.7,73.17,74.99,73.17,2059539.0,32793.3912,STT
2014-01-06,74.69,74.99,76.24,74.53,2520841.0,32789.0012,STT
2014-01-07,75.24,75.19,75.66,74.92,1521808.0,33030.4518,STT
2014-01-08,75.05,75.18,75.2,74.34,1508687.0,32947.0416,STT
2014-01-09,75.35,75.39,75.66,74.83,1298846.0,33078.742,STT
2014-01-10,74.88,75.32,75.46,74.68,1391996.0,32872.4114,STT
2014-01-13,72.93,74.8,74.89,72.79,2042732.0,32016.359,STT
2014-01-14,73.47,73.27,73.64,72.87,1514055.0,32253.4197,STT
2014-01-15,74.32,73.73,74.46,73.415,2084706.0,32626.5707,STT
2014-01-16,73.72,74.05,74.24,73.49,1281459.0,32363.17,STT
2014-01-17,73.5,73.75,74.61,73.38,2353459.0,32266.5897,STT
2014-01-21,74.17,73.78,74.66,73.71,1866410.0,32560.7205,STT
2014-01-22,75.15,74.43,75.34,74.43,1868191.0,32990.9417,STT
2014-01-23,72.76,74.56,74.56,72.54,2607351.0,31941.7288,STT
2014-01-24,69.52,67.82,70.6,66.66,5519713.0,30180.6203,STT
2014-01-27,68.3,69.36,69.81,68.12,4251184.0,29650.9835,STT
2014-01-28,68.88,69.53,69.53,68.15,3583304.0,29902.778,STT
2014-01-29,67.6,68.04,68.48,67.3801,4065528.0,29347.0934,STT
2014-01-30,68.24,68.34,68.65,68.03,3082027.0,29624.9357,STT
2014-01-31,66.95,67.07,67.64,66.74,3857562.0,29064.9098,STT
2014-02-03,64.6,66.94,67.24,64.485,5548361.0,28044.7076,STT
2014-02-04,65.46,65.01,66.04,64.56,2955185.0,28418.0582,STT
2014-02-05,64.34,65.4,65.67,64.3,3961209.0,27931.8342,STT
2014-02-06,65.92,64.56,66.04,64.45,2327236.0,28617.7574,STT
2014-02-07,68.23,66.34,68.3,66.3,4661291.0,29620.5945,STT
2014-02-10,68.16,68.12,68.32,67.74,2665315.0,29590.2054,STT
2014-02-11,68.75,68.14,69.07,67.88,1651003.0,29846.3413,STT
2014-02-12,68.8,68.84,69.31,68.57,1670354.0,29868.0478,STT
2014-02-13,68.5,68.15,68.92,68.03,2540122.0,29737.8092,STT
2014-02-14,68.81,68.4,68.87,68.25,2704631.0,29872.389,STT
2014-02-18,68.22,67.92,68.435,67.92,3031184.0,29616.2532,STT
