Date,PX_LAST,CUR_MKT_CAP,PX_VOLUME,Ticker
2014-01-02,80.62,7918.392,544022.0,UHS
2014-01-03,81.51,8002.5945,645814.0,UHS
2014-01-06,80.51,7912.7427,603909.0,UHS
2014-01-07,82.82,8131.2911,670746.0,UHS
2014-01-08,83.04,8152.1052,422549.0,UHS
2014-01-09,84.44,8284.5587,726501.0,UHS
2014-01-10,85.52,8386.7371,581825.0,UHS
2014-01-13,83.99,8255.1966,816302.0,UHS
2014-01-14,85.69,8416.033,529535.0,UHS
2014-01-15,85.8,8426.44,502116.0,UHS
2014-01-16,85.26,8375.3508,810771.0,UHS
2014-01-17,85.28,8377.243,376719.0,UHS
2014-01-21,83.89,8244.8206,933012.0,UHS
2014-01-22,83.81,8237.2519,573255.0,UHS
2014-01-23,82.91,8152.1032,662945.0,UHS
2014-01-24,80.32,7899.3052,833276.0,UHS
2014-01-27,79.68,7838.755,733678.0,UHS
2014-01-28,80.66,7931.4725,697395.0,UHS
2014-01-29,79.98,7867.1379,387034.0,UHS
2014-01-30,80.9,7954.1788,511028.0,UHS
2014-01-31,82.02,8061.2396,695268.0,UHS
2014-02-03,78.68,7741.1808,988665.0,UHS
2014-02-04,78.19,7694.8221,874728.0,UHS
2014-02-05,78.2,7695.7682,564190.0,UHS
2014-02-06,78.22,7697.6604,591262.0,UHS
2014-02-07,78.64,7737.3964,607743.0,UHS
2014-02-10,80.12,7877.4187,688029.0,UHS
2014-02-11,80.87,7942.081,417145.0,UHS
2014-02-12,80.28,7891.7145,749477.0,UHS
2014-02-13,82.03,8057.2814,530348.0,UHS
2014-02-14,82.5,8101.7479,440850.0,UHS
2014-02-18,83.42,8188.7888,468525.0,UHS
2014-02-19,82.0,8054.4431,513243.0,UHS
2014-02-20,82.19,8072.419,762733.0,UHS
2014-02-21,82.1,8063.9041,609929.0,UHS
2014-02-24,83.11,8159.4598,597276.0,UHS
2014-02-25,81.23,7985.9123,1026950.0,UHS
2014-02-26,82.43,8099.4439,806252.0,UHS
2014-02-27,82.2,8105.7287,742115.0,UHS
2014-02-28,80.28,7919.2507,1413416.0,UHS
2014-03-03,81.07,7994.2619,876608.0,UHS
2014-03-04,81.5,8036.0424,677447.0,UHS
2014-03-05,80.87,7976.2233,475837.0,UHS
2014-03-06,79.94,7887.919,563798.0,UHS
2014-03-07,79.24,7821.4534,845089.0,UHS
2014-03-10,78.52,7745.769,611741.0,UHS
2014-03-11,77.11,7605.7032,1007170.0,UHS
2014-03-12,76.77,7573.4199,1282247.0,UHS
2014-03-13,75.1,7409.0693,1279238.0,UHS
2014-03-14,74.59,7360.6444,1105132.0,UHS
2014-03-17,74.35,7337.8562,529973.0,UHS
2014-03-18,76.95,7584.7285,1467662.0,UHS
2014-03-19,76.87,7576.4736,821790.0,UHS
2014-03-20,76.81,7570.7766,641772.0,UHS
2014-03-21,75.6,7455.886,1075902.0,UHS
2014-03-24,75.27,7423.7836,822511.0,UHS
2014-03-25,75.97,7490.2493,762729.0,UHS
2014-03-26,78.17,7705.2166,1371356.0,UHS
2014-03-27,78.22,7709.9641,616736.0,UHS
2014-03-28,79.7,7850.4914,779452.0,UHS
2014-03-31,82.07,8087.1633,1040004.0,UHS
2014-04-01,82.31,8109.9515,981518.0,UHS
2014-04-02,82.58,8135.5883,603725.0,UHS
2014-04-03,83.04,8179.2657,1380595.0,UHS
2014-04-04,81.33,8016.8997,1056844.0,UHS
2014-04-07,77.85,7686.4706,1281242.0,UHS
2014-04-08,77.78,7679.824,924303.0,UHS
2014-04-09,77.65,7675.6329,897346.0,UHS
2014-04-10,75.87,7492.3433,808730.0,UHS
2014-04-11,74.61,7372.5727,450536.0,UHS
2014-04-14,75.09,7418.1996,678404.0,UHS
2014-04-15,75.04,7413.4468,605509.0,UHS
2014-04-16,74.89,7399.1884,439354.0,UHS
2014-04-17,74.65,7376.375,667164.0,UHS
2014-04-21,75.49,7456.222,462680.0,UHS
2014-04-22,75.72,7478.0849,283545.0,UHS
2014-04-23,76.6,7561.7343,636195.0,UHS
2014-04-24,78.12,7706.2194,1137983.0,UHS
2014-04-25,82.92,8162.4885,1706994.0,UHS
2014-04-28,83.12,8181.4997,1156301.0,UHS
2014-04-29,82.89,8159.6368,937406.0,UHS
2014-04-30,81.79,8055.0751,855388.0,UHS
2014-05-01,83.32,8200.5109,904125.0,UHS
2014-05-02,83.4,8208.1154,1095831.0,UHS
2014-05-05,83.38,8206.2143,423943.0,UHS
2014-05-06,82.69,8140.6256,745855.0,UHS
2014-05-07,82.46,8145.042,573659.0,UHS
2014-05-08,81.91,8095.4315,610776.0,UHS
2014-05-09,82.57,8158.2139,451712.0,UHS
2014-05-12,84.32,8324.6825,683670.0,UHS
2014-05-13,86.0,8491.2261,817234.0,UHS
2014-05-14,85.86,8477.9086,834957.0,UHS
2014-05-15,84.94,8390.3937,469266.0,UHS
2014-05-16,84.83,8379.9299,719977.0,UHS
2014-05-19,85.98,8489.3236,714959.0,UHS
2014-05-20,87.23,8608.2297,773188.0,UHS
2014-05-21,88.29,8709.0621,1140101.0,UHS
2014-05-22,88.24,8704.3058,586964.0,UHS
2014-05-23,89.43,8817.5045,895038.0,UHS
2014-05-27,89.06,8782.3083,581593.0,UHS
2014-05-28,89.35,8809.8945,727685.0,UHS
2014-05-29,89.74,8846.9932,611473.0,UHS
2014-05-30,89.57,8830.822,907590.0,UHS
2014-06-02,89.92,8864.1157,556439.0,UHS
2014-06-03,92.83,9167.3884,1308161.0,UHS
2014-06-04,92.72,9156.9246,523347.0,UHS
2014-06-05,95.26,9416.4376,986377.0,UHS
2014-06-06,94.82,9374.5826,712552.0,UHS
2014-06-09,94.0,9296.5802,586850.0,UHS
2014-06-10,93.37,9236.6515,491136.0,UHS
2014-06-11,92.77,9179.5766,471613.0,UHS
2014-06-12,92.5,9153.8928,515688.0,UHS
2014-06-13,94.07,9303.2389,619075.0,UHS
2014-06-16,94.71,9364.1189,753461.0,UHS
2014-06-17,95.29,9416.5466,955662.0,UHS
2014-06-18,95.35,9422.2541,449078.0,UHS
2014-06-19,96.35,9517.379,410056.0,UHS
2014-06-20,97.06,9584.9177,495652.0,UHS
2014-06-23,98.75,9745.6787,568464.0,UHS
2014-06-24,96.89,9568.7464,631447.0,UHS
2014-06-25,96.99,9578.1125,708918.0,UHS
2014-06-26,95.94,9470.8389,1382298.0,UHS
2014-06-27,95.0,9388.1918,1460776.0,UHS
2014-06-30,95.76,9460.4868,1027948.0,UHS
2014-07-01,95.67,9453.7553,875327.0,UHS
2014-07-02,96.48,9530.8065,448593.0,UHS
2014-07-03,96.2,9504.1715,350310.0,UHS
2014-07-07,94.2,9313.9217,408391.0,UHS
2014-07-08,92.8,9171.5246,977578.0,UHS
2014-07-09,93.73,9259.9907,463021.0,UHS
2014-07-10,92.45,9138.2309,794909.0,UHS
2014-07-11,92.46,9139.1821,490524.0,UHS
2014-07-14,92.22,9116.3521,595989.0,UHS
2014-07-15,91.83,9079.2534,619563.0,UHS
2014-07-16,96.98,9570.6105,2044598.0,UHS
2014-07-17,95.52,9438.0959,693309.0,UHS
2014-07-18,96.3,9512.2934,582061.0,UHS
2014-07-21,95.88,9472.3409,405743.0,UHS
2014-07-22,96.9,9569.3683,1325870.0,UHS
2014-07-23,97.56,9632.1507,1144112.0,UHS
2014-07-24,97.54,9630.2482,1139901.0,UHS
2014-07-25,104.23,10284.4563,2853185.0,UHS
2014-07-28,108.07,10649.736,2140477.0,UHS
2014-07-29,109.04,10782.007,1107524.0,UHS
2014-07-30,108.12,10694.4921,873496.0,UHS
2014-07-31,106.6,10531.8968,1017888.0,UHS
2014-08-01,105.37,10414.8932,899924.0,UHS
2014-08-04,106.45,10517.6281,739157.0,UHS
2014-08-05,106.88,10558.5318,750556.0,UHS
2014-08-06,106.8,10550.9218,545856.0,UHS
2014-08-07,107.45,10616.376,741043.0,UHS
2014-08-08,107.12,10625.2196,651997.0,UHS
2014-08-11,106.9,10604.2094,532540.0,UHS
2014-08-12,107.21,10633.8147,652763.0,UHS
2014-08-13,108.88,10793.3016,640700.0,UHS
2014-08-14,109.92,10897.3429,470744.0,UHS
2014-08-15,109.62,10868.6926,301094.0,UHS
2014-08-18,111.7,11072.0916,457021.0,UHS
2014-08-19,112.19,11118.8872,484427.0,UHS
2014-08-20,112.34,11133.2123,421019.0,UHS
2014-08-21,112.38,11137.0324,507137.0,UHS
2014-08-22,113.0,11196.2431,500643.0,UHS
2014-08-25,113.16,11211.5232,426177.0,UHS
2014-08-26,113.64,11257.3638,472149.0,UHS
2014-08-27,113.4,11234.4435,585522.0,UHS
2014-08-28,113.57,11250.6787,392236.0,UHS
2014-08-29,114.44,11333.7647,441385.0,UHS
2014-09-02,114.66,11354.7749,606790.0,UHS
2014-09-03,111.45,11055.754,1366623.0,UHS
2014-09-04,108.0,10709.9558,2855286.0,UHS
2014-09-05,107.55,10666.9803,948019.0,UHS
2014-09-08,110.05,10911.0753,1016403.0,UHS
2014-09-09,111.62,11071.8428,1073929.0,UHS
2014-09-10,111.16,11020.8869,618323.0,UHS
2014-09-11,113.25,11227.3267,712375.0,UHS
2014-09-12,111.71,11080.255,797467.0,UHS
2014-09-15,111.25,11036.3245,1334392.0,UHS
2014-09-16,112.07,11114.6354,1407087.0,UHS
2014-09-17,111.67,11072.8491,720822.0,UHS
2014-09-18,112.56,11157.8451,872535.0,UHS
2014-09-19,113.93,11298.6708,13966781.0,UHS
2014-09-22,113.19,11228.0,1241212.0,UHS
2014-09-23,112.79,11189.7995,987906.0,UHS
2014-09-24,114.84,11385.5768,780535.0,UHS
2014-09-25,111.73,11088.5684,827093.0,UHS
2014-09-26,109.03,10830.7154,1840113.0,UHS
2014-09-29,109.55,10880.376,1706162.0,UHS
2014-09-30,104.5,10398.0954,2255958.0,UHS
2014-10-01,103.61,10313.0994,1582949.0,UHS
2014-10-02,105.75,10517.4718,1192732.0,UHS
2014-10-03,107.4,10675.0486,989064.0,UHS
2014-10-06,105.47,10490.7315,1254788.0,UHS
2014-10-07,105.72,10514.6068,1073237.0,UHS
2014-10-08,108.17,10748.5845,813413.0,UHS
2014-10-09,104.32,10348.486,705270.0,UHS
2014-10-10,103.86,10304.5554,756510.0,UHS
2014-10-13,102.14,10131.3655,952927.0,UHS
2014-10-14,102.93,10206.8113,943311.0,UHS
2014-10-15,100.26,9951.8234,1785531.0,UHS
2014-10-16,103.24,10236.4167,1298983.0,UHS
2014-10-17,103.31,10243.1017,863236.0,UHS
2014-10-20,104.91,10398.9771,594576.0,UHS
2014-10-21,106.96,10594.7544,767424.0,UHS
2014-10-22,105.3,10436.2225,769934.0,UHS
2014-10-23,106.58,10558.4639,846564.0,UHS
2014-10-24,108.59,10750.4212,835554.0,UHS
2014-10-27,108.42,10734.186,934808.0,UHS
2014-10-28,107.45,10641.5499,1309457.0,UHS
2014-10-29,104.72,10380.8319,1264627.0,UHS
2014-10-30,102.66,10181.1724,1664145.0,UHS
2014-10-31,103.71,10281.4485,878667.0,UHS
2014-11-03,103.44,10261.9568,908740.0,UHS
2014-11-04,102.1,10133.9854,1756048.0,UHS
2014-11-05,98.7,9809.2816,2036486.0,UHS
2014-11-06,100.25,9957.3083,1230041.0,UHS
2014-11-07,97.93,9717.1199,2942096.0,UHS
2014-11-10,97.81,9705.6826,1071395.0,UHS
2014-11-11,98.82,9801.9466,719219.0,UHS
2014-11-12,99.06,9824.8212,1546675.0,UHS
2014-11-13,98.81,9800.9935,1236910.0,UHS
2014-11-14,97.93,9717.1199,909285.0,UHS
2014-11-17,100.93,10003.0527,1241430.0,UHS
2014-11-18,103.5,10248.0018,927437.0,UHS
2014-11-19,102.21,10125.0507,1102489.0,UHS
2014-11-20,103.06,10206.0649,1003365.0,UHS
2014-11-21,103.55,10252.7673,916702.0,UHS
2014-11-24,103.76,10277.4296,1021102.0,UHS
2014-11-25,104.73,10369.8812,732551.0,UHS
2014-11-26,104.0,10300.3042,555831.0,UHS
2014-11-28,104.62,10359.397,288287.0,UHS
2014-12-01,103.88,10288.8669,555410.0,UHS
2014-12-02,104.34,10332.7099,450156.0,UHS
2014-12-03,105.86,10477.5825,588070.0,UHS
2014-12-04,106.92,10578.6121,661340.0,UHS
2014-12-05,107.5,10633.8924,856869.0,UHS
2014-12-08,108.28,10708.235,710504.0,UHS
2014-12-09,107.3,10614.8303,513765.0,UHS
2014-12-10,106.41,10530.0035,809963.0,UHS
2014-12-11,108.15,10695.8446,426562.0,UHS
2014-12-12,106.64,10551.925,1168721.0,UHS
2014-12-15,106.45,10533.816,936652.0,UHS
2014-12-16,104.37,10328.983,837759.0,UHS
2014-12-17,105.6,10446.2154,1027772.0,UHS
2014-12-18,109.67,10834.1309,712913.0,UHS
2014-12-19,109.87,10853.1931,1235498.0,UHS
2014-12-22,110.66,10928.4887,472729.0,UHS
2014-12-23,110.88,10949.4571,677185.0,UHS
2014-12-24,111.87,11043.8149,269366.0,UHS
2014-12-26,112.32,11086.7049,485817.0,UHS
2014-12-29,111.63,11049.5906,620658.0,UHS
2014-12-30,111.51,11038.1533,585848.0,UHS
2014-12-31,111.26,11014.3255,1030736.0,UHS
2015-01-02,110.97,10986.6854,630993.0,UHS
2015-01-05,108.7,10770.3295,803888.0,UHS
2015-01-06,108.74,10774.142,1030435.0,UHS
2015-01-07,111.99,11083.9025,914486.0,UHS
2015-01-08,113.14,11193.5101,1013194.0,UHS
2015-01-09,112.85,11165.8699,747345.0,UHS
2015-01-12,106.24,10526.4975,1161977.0,UHS
2015-01-13,106.25,10527.4506,1260548.0,UHS
2015-01-14,104.31,10316.4951,1172386.0,UHS
2015-01-15,105.66,10445.1649,846312.0,UHS
2015-01-16,108.22,10689.1608,975498.0,UHS
2015-01-20,107.13,10585.2719,942535.0,UHS
2015-01-21,108.29,10713.1398,666121.0,UHS
2015-01-22,110.37,10911.3866,628726.0,UHS
2015-01-23,106.51,10539.3883,1157556.0,UHS
2015-01-26,107.84,10666.1518,1108045.0,UHS
2015-01-27,106.84,10570.8409,607030.0,UHS
2015-01-28,105.68,10460.2802,829700.0,UHS
2015-01-29,105.44,10437.4056,883889.0,UHS
2015-01-30,102.53,10160.0508,591015.0,UHS
2015-02-02,103.14,10218.1904,848181.0,UHS
2015-02-03,104.86,10382.1252,881126.0,UHS
2015-02-04,105.23,10417.3903,591920.0,UHS
2015-02-05,105.82,10473.6237,429396.0,UHS
2015-02-06,104.99,10394.5157,451609.0,UHS
2015-02-09,103.82,10283.0019,431138.0,UHS
2015-02-10,106.08,10498.4046,639255.0,UHS
2015-02-11,106.13,10503.1701,370963.0,UHS
2015-02-12,104.09,10308.7358,963627.0,UHS
2015-02-13,104.93,10388.797,817881.0,UHS
2015-02-17,106.79,10565.6362,401388.0,UHS
2015-02-18,106.95,10584.4718,305809.0,UHS
2015-02-19,107.18,10606.3934,275799.0,UHS
2015-02-20,107.87,10674.5363,684230.0,UHS
2015-02-23,108.39,10724.098,1024767.0,UHS
2015-02-24,108.52,10742.2697,658574.0,UHS
2015-02-25,109.19,10806.128,413254.0,UHS
2015-02-26,112.49,11124.94,1112960.0,UHS
2015-02-27,113.35,11206.8863,892592.0,UHS
2015-03-02,114.49,11329.9982,874177.0,UHS
2015-03-03,112.73,11151.8691,572154.0,UHS
2015-03-04,115.75,11458.6186,1413687.0,UHS
2015-03-05,114.88,11375.7195,634936.0,UHS
2015-03-06,114.05,11296.6319,549614.0,UHS
2015-03-09,113.53,11247.083,602461.0,UHS
2015-03-10,112.98,11194.6755,598792.0,UHS
2015-03-11,113.92,11284.2446,531760.0,UHS
2015-03-12,114.48,11337.605,746327.0,UHS
2015-03-13,114.08,11299.4905,389659.0,UHS
2015-03-16,116.2,11501.4975,668321.0,UHS
2015-03-17,116.17,11498.6389,642691.0,UHS
2015-03-18,117.29,11605.3596,783138.0,UHS
2015-03-19,118.73,11742.5719,546098.0,UHS
2015-03-20,118.76,11745.4305,653133.0,UHS
2015-03-23,121.33,11990.3164,611016.0,UHS
2015-03-24,120.0,11863.5855,471627.0,UHS
2015-03-25,117.98,11671.1072,886885.0,UHS
2015-03-26,117.34,11610.1239,617560.0,UHS
2015-03-27,118.1,11682.5415,506304.0,UHS
2015-03-30,119.97,11860.727,500837.0,UHS
2015-03-31,117.71,11645.3798,929675.0,UHS
2015-04-01,112.96,11192.7698,3475890.0,UHS
2015-04-02,116.69,11548.1878,1279625.0,UHS
2015-04-06,118.11,11683.4944,851209.0,UHS
2015-04-07,117.92,11665.39,533527.0,UHS
2015-04-08,118.98,11766.3935,752635.0,UHS
2015-04-09,118.7,11755.5044,556322.0,UHS
2015-04-10,118.44,11730.6953,300187.0,UHS
2015-04-13,118.39,11725.9243,377419.0,UHS
2015-04-14,119.15,11798.4431,446985.0,UHS
2015-04-15,121.09,11983.5567,545134.0,UHS
2015-04-16,119.98,11877.6412,420675.0,UHS
2015-04-17,119.78,11858.5573,466965.0,UHS
2015-04-20,120.93,11968.2896,445941.0,UHS
2015-04-21,120.95,11970.198,511774.0,UHS
2015-04-22,121.07,11981.6483,508843.0,UHS
2015-04-23,122.6,12127.6399,648991.0,UHS
2015-04-24,122.69,12155.7977,384159.0,UHS
2015-04-27,120.25,11914.049,651523.0,UHS
2015-04-28,121.84,12071.582,1120030.0,UHS
2015-04-29,119.71,11860.5473,668721.0,UHS
2015-04-30,116.95,11587.0938,1060751.0,UHS
2015-05-01,116.81,11573.223,835835.0,UHS
2015-05-04,119.38,11827.8517,786094.0,UHS
2015-05-05,116.27,11519.7212,743541.0,UHS
2015-05-06,115.37,11430.5516,623522.0,UHS
2015-05-07,118.49,11739.6729,957843.0,UHS
2015-05-08,120.63,11952.2285,681393.0,UHS
2015-05-11,122.13,12100.8511,724339.0,UHS
2015-05-12,119.54,11844.2295,498127.0,UHS
2015-05-13,119.85,11874.9448,605061.0,UHS
2015-05-14,122.11,12098.8695,637911.0,UHS
2015-05-15,122.25,12112.7409,614748.0,UHS
2015-05-18,125.76,12460.5178,818034.0,UHS
2015-05-19,127.91,12673.5435,790921.0,UHS
2015-05-20,126.78,12561.5812,1071638.0,UHS
2015-05-21,126.69,12552.6638,758379.0,UHS
2015-05-22,126.8,12563.5628,451395.0,UHS
2015-05-26,126.68,12551.673,606608.0,UHS
2015-05-27,131.72,13051.0449,1516255.0,UHS
2015-05-28,129.94,12874.6794,1281897.0,UHS
2015-05-29,129.58,12839.01,654856.0,UHS
2015-06-01,131.03,12982.6785,678506.0,UHS
2015-06-02,129.33,12814.2396,470682.0,UHS
2015-06-03,129.11,12792.4416,540732.0,UHS
2015-06-04,127.23,12606.1679,524419.0,UHS
2015-06-05,127.43,12625.9843,498187.0,UHS
2015-06-08,126.46,12529.875,340720.0,UHS
2015-06-09,127.44,12626.9751,619342.0,UHS
2015-06-10,131.34,13013.3938,1127130.0,UHS
2015-06-11,132.33,13111.4847,730908.0,UHS
2015-06-12,130.24,12904.4039,462652.0,UHS
2015-06-15,131.2,12999.5224,553685.0,UHS
2015-06-16,130.06,12886.5692,428436.0,UHS
2015-06-17,131.29,13008.4397,401315.0,UHS
2015-06-18,132.11,13089.6868,446865.0,UHS
2015-06-19,134.72,13348.2901,961921.0,UHS
2015-06-22,135.17,13392.8768,728842.0,UHS
2015-06-23,134.37,13313.6115,609582.0,UHS
2015-06-24,130.68,12947.9999,954096.0,UHS
2015-06-25,140.78,13948.7253,4001262.0,UHS
2015-06-26,142.69,14124.4742,1293068.0,UHS
2015-06-29,141.32,13993.7434,774954.0,UHS
2015-06-30,142.1,14068.174,738249.0,UHS
2015-07-01,143.09,14162.6437,696747.0,UHS
2015-07-02,142.71,14126.3827,611476.0,UHS
2015-07-06,142.41,14097.7555,800861.0,UHS
2015-07-07,141.65,14025.2333,883139.0,UHS
2015-07-08,139.98,13865.8753,665662.0,UHS
2015-07-09,140.89,13952.7111,508896.0,UHS
2015-07-10,141.76,14035.7299,486999.0,UHS
2015-07-13,143.0,14154.0556,553398.0,UHS
2015-07-14,143.38,14190.3167,505718.0,UHS
2015-07-15,142.43,14099.6639,523188.0,UHS
2015-07-16,141.25,13987.0637,788768.0,UHS
2015-07-17,141.23,13985.1552,520854.0,UHS
2015-07-20,142.01,14059.5859,421878.0,UHS
2015-07-21,140.25,13891.6398,385973.0,UHS
2015-07-22,141.02,13965.1162,350584.0,UHS
2015-07-23,141.79,14038.5926,405208.0,UHS
2015-07-24,140.99,13962.2535,500862.0,UHS
2015-07-27,140.29,13895.4567,645696.0,UHS
2015-07-28,141.37,13998.5146,430907.0,UHS
2015-07-29,142.31,14088.2131,492812.0,UHS
2015-07-30,141.44,14005.1943,690393.0,UHS
2015-07-31,145.23,14366.851,1402686.0,UHS
2015-08-03,145.8,14421.2426,658050.0,UHS
2015-08-04,146.24,14463.2291,508228.0,UHS
2015-08-05,143.96,14258.7209,1222204.0,UHS
2015-08-06,142.52,14121.3104,768126.0,UHS
2015-08-07,142.74,14133.999,420036.0,UHS
2015-08-10,143.28,14185.4967,397859.0,UHS
2015-08-11,141.4,14006.2085,497677.0,UHS
2015-08-12,142.09,14072.0111,536647.0,UHS
2015-08-13,142.28,14085.8514,391159.0,UHS
2015-08-14,143.09,14163.0979,567749.0,UHS
2015-08-17,145.5,14392.9301,398336.0,UHS
2015-08-18,145.45,14388.1618,499730.0,UHS
2015-08-19,145.97,14437.7521,531195.0,UHS
2015-08-20,141.14,13977.1341,595842.0,UHS
2015-08-21,140.69,13934.2193,1168870.0,UHS
2015-08-24,132.85,13186.5494,1495477.0,UHS
2015-08-25,132.18,13122.6542,906645.0,UHS
2015-08-26,136.9,13572.782,1104125.0,UHS
2015-08-27,140.97,13960.9218,756488.0,UHS
2015-08-28,140.37,13895.5094,514888.0,UHS
